Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.21571;5663	-13674	7502;140	-108	56;182	-143	-133;4113935.000;53.166;31.127
30.22021;5670	-13666	7430;134	-112	64;124	-95	-152;4113935.000;53.166;31.089
30.22470;5672	-13736	7473;134	-112	64;172	-92	-168;4113935.000;53.166;31.089
30.22920;5651	-13665	7426;134	-111	59;181	-121	-218;4113969.000;53.166;31.089
30.23370;5669	-13657	7389;134	-111	59;175	-43	-203;4113969.000;53.166;31.089
30.23820;5662	-13572	7330;141	-110	62;124	-66	-149;4113969.000;53.166;31.089
30.24269;5673	-13574	7368;141	-110	62;172	-111	-146;4113969.000;53.166;31.089
30.24719;5654	-13567	7365;133	-108	57;149	-95	-190;4113969.000;53.166;31.089
30.25169;5704	-13566	7276;133	-108	57;114	-66	-178;4113969.000;53.123;31.089
30.25619;5748	-13606	7390;133	-109	60;140	-114	-222;4113969.000;53.123;31.089
30.26068;5697	-13575	7346;133	-109	60;88	-72	-161;4113969.000;53.123;31.089
30.26518;5687	-13577	7378;138	-110	59;114	-72	-214;4113926.000;53.123;31.089
30.26968;5720	-13566	7425;138	-110	59;88	-76	-202;4113926.000;53.123;31.089
30.27418;5680	-13719	7384;140	-111	63;108	-82	-170;4113926.000;53.123;31.089
30.27867;5683	-13755	7488;140	-111	63;101	-95	-183;4113926.000;53.123;31.089
30.28317;5773	-13708	7505;137	-111	59;15	-50	-224;4113926.000;53.123;31.089
30.28767;5780	-13754	7444;137	-111	59;40	-73	-192;4113926.000;53.123;31.089
30.29217;5781	-13730	7461;126	-114	57;-8	-18	-177;4113926.000;53.123;31.089
30.29666;5706	-13695	7478;126	-114	57;24	-8	-145;4113926.000;53.123;31.089
30.30116;5641	-13752	7523;135	-106	58;34	-47	-136;4113944.000;53.123;31.089
30.30566;5674	-13808	7488;135	-106	58;-1	-27	-218;4113944.000;53.123;31.089
30.31016;5641	-13796	7539;141	-107	61;5	-53	-101;4113944.000;53.123;31.089
30.31465;5711	-13848	7466;141	-107	61;5	-98	-205;4113944.000;53.123;31.089
30.31915;5746	-13824	7382;136	-108	60;-1	5	-86;4113944.000;53.123;31.089
30.32365;5667	-13844	7401;136	-108	60;50	-15	-167;4113944.000;53.123;31.089
30.32815;5710	-13797	7472;137	-107	55;27	14	-171;4113944.000;53.123;31.089
30.33264;5665	-13720	7412;137	-107	55;59	-5	-118;4113944.000;53.123;31.089
30.33714;5744	-13631	7463;135	-108	59;5	24	-140;4114040.000;53.123;31.089
30.34164;5750	-13613	7463;135	-108	59;-43	11	-159;4114040.000;53.123;31.089
30.34614;5761	-13773	7476;132	-109	59;-62	24	-127;4114040.000;53.123;31.108
30.35063;5766	-13769	7465;132	-109	59;-91	24	-161;4114040.000;53.123;31.108
30.35513;5762	-13866	7465;135	-113	64;-30	63	-149;4114040.000;53.123;31.108
30.35963;5782	-13835	7533;135	-113	64;18	72	-139;4114040.000;53.123;31.108
30.36413;5716	-13770	7535;141	-112	63;34	111	-161;4114040.000;53.123;31.108
30.36862;5765	-13834	7588;141	-112	63;59	111	-79;4114040.000;53.123;31.108
30.37312;5749	-13737	7623;137	-106	59;69	66	-168;4113926.000;53.123;31.108
30.37762;5777	-13751	7623;137	-106	59;63	137	-42;4113926.000;53.046;31.108
30.38212;5763	-13706	7622;137	-110	55;21	194	-45;4113926.000;53.046;31.108
30.38661;5689	-13709	7638;137	-110	55;-1	194	-180;4113926.000;53.046;31.108
30.39111;5710	-13679	7587;135	-108	54;2	165	-57;4113926.000;53.046;31.108
30.39561;5724	-13620	7607;136	-102	54;-56	197	-214;4113926.000;53.046;31.108
30.40011;5684	-13657	7534;136	-102	54;-50	185	-89;4113926.000;53.046;31.108
30.40460;5688	-13681	7524;136	-110	58;-40	214	-174;4113840.000;53.046;31.108
30.40910;5722	-13693	7493;136	-110	58;-49	146	-148;4113840.000;53.046;31.108
30.41360;5725	-13691	7519;138	-106	62;-46	159	-158;4113840.000;53.046;31.108
30.41810;5778	-13669	7488;138	-106	62;-40	217	-136;4113840.000;53.046;31.108
30.42259;5683	-13811	7521;135	-111	68;18	178	-164;4113840.000;53.046;31.108
30.42709;5724	-13811	7557;135	-111	68;-11	223	-161;4113840.000;53.046;31.108
30.43159;5787	-13875	7582;137	-107	60;-43	166	-192;4113840.000;53.046;31.108
30.43609;5746	-13810	7544;137	-107	60;-49	210	-233;4113840.000;53.046;31.108
30.44058;5767	-13788	7481;134	-111	64;-69	256	-39;4113845.000;53.046;31.108
30.44508;5728	-13846	7493;134	-111	64;-72	252	-249;4113845.000;53.046;31.108
30.44958;5682	-13782	7510;135	-108	60;-53	262	-29;4113845.000;53.046;31.108
30.45408;5629	-13849	7501;135	-108	60;-14	191	-244;4113845.000;53.046;31.108
30.45857;5743	-13810	7529;141	-109	58;-24	162	8;4113845.000;53.046;31.108
30.46307;5728	-13798	7515;141	-109	58;-46	178	-181;4113845.000;53.046;31.108
30.46757;5795	-13791	7476;136	-105	63;-5	140	-149;4113845.000;53.046;31.108
30.47207;5722	-13820	7443;136	-105	63;8	198	-76;4113845.000;53.046;31.108
30.47656;5681	-13756	7423;136	-108	60;8	197	-48;4113854.000;53.046;31.127
30.48106;5631	-13763	7461;136	-108	60;8	159	-86;4113854.000;53.046;31.127
30.48556;5639	-13796	7412;136	-108	57;28	108	-70;4113854.000;53.046;31.127
30.49006;5688	-13726	7434;136	-108	57;40	75	-59;4113854.000;53.046;31.127
30.49455;5653	-13733	7511;134	-111	60;79	107	-118;4113854.000;53.046;31.127
30.49905;5645	-13757	7524;134	-111	60;82	114	-18;4113854.000;53.046;31.127
30.50355;5614	-13722	7517;140	-106	63;69	82	-99;4113854.000;52.933;31.127
30.50805;5685	-13712	7480;140	-106	63;21	59	-57;4113854.000;52.933;31.127
30.51254;5717	-13812	7509;133	-105	59;24	72	-92;4113757.000;52.933;31.127
30.51704;5629	-13874	7497;133	-105	59;31	85	-23;4113757.000;52.933;31.127
30.52154;5714	-13776	7455;136	-110	64;47	72	-14;4113757.000;52.933;31.127
