Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.36413;12822	-6524	5093;-169	-300	-246;-3082	-4624	2850;4109010.000;54.766;30.064
30.36862;12813	-6470	5150;-163	-295	-248;-2928	-4663	2901;4109010.000;54.766;30.046
30.37312;12895	-6432	5130;-163	-295	-248;-2771	-4647	2780;4109010.000;54.766;30.046
30.37762;12970	-6489	5232;-165	-295	-245;-2617	-4712	2642;4109010.000;54.766;30.046
30.38212;13002	-6586	5125;-165	-295	-245;-2538	-4514	2414;4109010.000;54.766;30.046
30.38661;13029	-6795	5163;-162	-299	-241;-2394	-4462	2337;4109010.000;54.766;30.046
30.39111;13006	-7092	5397;-162	-299	-241;-2237	-4482	2242;4109010.000;54.766;30.046
30.39561;13038	-7055	5468;-163	-295	-241;-2236	-4443	1943;4109010.000;54.766;30.046
30.40011;13144	-6921	5569;-163	-295	-241;-2265	-4404	1944;4108986.000;54.812;30.046
30.40460;13141	-6649	5582;-159	-302	-239;-2278	-4343	1966;4108986.000;54.812;30.046
30.40910;13258	-6385	5606;-159	-302	-239;-2353	-4326	1899;4108986.000;54.812;30.046
30.41360;13360	-6379	5600;-165	-306	-242;-2394	-4307	1767;4108986.000;54.812;30.046
30.41810;13632	-6451	5563;-165	-306	-242;-2538	-4187	1793;4108986.000;54.812;30.046
30.42259;13685	-6581	5601;-157	-307	-241;-2764	-4054	1921;4108986.000;54.812;30.046
30.42709;13621	-6632	5554;-157	-307	-241;-2912	-3944	1873;4108986.000;54.812;30.046
30.43159;13533	-6661	5532;-161	-310	-235;-3053	-3791	2002;4108986.000;54.812;30.046
30.43609;13414	-6650	5549;-161	-310	-235;-3201	-3752	1929;4108990.000;54.812;30.046
30.44058;13454	-6657	5432;-150	-314	-233;-3236	-3726	1829;4108990.000;54.812;30.046
30.44508;13510	-6623	5300;-150	-314	-233;-3305	-3717	1897;4108990.000;54.812;30.046
30.44958;13510	-6778	5216;-155	-308	-236;-3314	-3665	1812;4108990.000;54.812;30.046
30.45408;13547	-6878	5029;-155	-308	-236;-3251	-3652	1745;4108990.000;54.812;30.046
30.45857;13547	-7085	4779;-151	-307	-236;-3192	-3545	1707;4108990.000;54.812;30.046
30.46307;13508	-7332	4605;-151	-307	-236;-3085	-3461	1639;4108990.000;54.812;30.046
30.46757;13406	-7500	4466;-146	-312	-236;-2815	-3432	1562;4108990.000;54.812;30.046
30.47207;13439	-7668	4153;-146	-312	-236;-2482	-3509	1492;4108942.000;54.812;30.046
30.47656;13460	-7695	3970;-144	-314	-234;-2233	-3412	1386;4108942.000;54.812;30.046
30.48106;13392	-7614	3977;-144	-314	-234;-1963	-3399	1271;4108942.000;54.812;30.046
30.48556;13507	-7416	3864;-140	-310	-233;-1624	-3392	1361;4108942.000;54.812;30.046
30.49006;13584	-7413	3911;-140	-310	-233;-1388	-3377	1415;4108942.000;54.812;30.046
30.49455;13708	-7548	3830;-139	-312	-231;-1165	-3425	1486;4108942.000;54.812;30.064
30.49905;13784	-7658	3972;-139	-312	-231;-863	-3237	1522;4108942.000;54.812;30.064
30.50355;13872	-7695	4107;-139	-313	-229;-706	-3159	1467;4108942.000;54.812;30.064
30.50805;13731	-7449	4463;-148	-318	-231;-549	-3078	1471;4108944.000;54.812;30.064
30.51254;13602	-7119	4613;-148	-318	-231;-335	-2955	1611;4108944.000;54.812;30.064
30.51704;13360	-6918	5058;-144	-313	-228;-232	-2819	1578;4108944.000;54.812;30.064
30.52154;13174	-6674	5154;-144	-313	-228;-282	-2789	1623;4108944.000;54.812;30.064
30.52604;13219	-6118	4826;-145	-319	-229;-571	-2793	1642;4108944.000;54.707;30.064
30.53053;13282	-6009	4711;-145	-319	-229;-933	-2786	1575;4108944.000;54.707;30.064
30.53503;13289	-6231	4544;-146	-319	-227;-1278	-2682	1674;4108944.000;54.707;30.064
30.53953;13255	-6878	4467;-146	-319	-227;-1561	-2579	1793;4108952.000;54.707;30.064
30.54403;13277	-7266	4202;-141	-316	-227;-1705	-2663	1869;4108952.000;54.707;30.064
30.54852;13188	-7483	3979;-141	-316	-227;-1762	-2605	1863;4108952.000;54.707;30.064
30.55302;13140	-7451	3808;-139	-315	-224;-1715	-2592	1851;4108952.000;54.707;30.064
30.55752;13269	-7407	3663;-139	-315	-224;-1746	-2747	1918;4108952.000;54.707;30.064
30.56202;13334	-7511	3378;-143	-318	-229;-1749	-2767	2008;4108952.000;54.707;30.064
