Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.35013;-8346	12154	6308;-230	-7	215;56	-390	146;4089060.000;55.639;29.771
30.35413;-8347	12141	6425;-230	-7	215;111	-471	35;4089060.000;55.639;29.771
30.35813;-8350	12127	6356;-233	-7	216;121	-474	120;4089060.000;55.639;29.771
30.36213;-8260	12310	6335;-233	-7	216;34	-483	67;4089060.000;55.639;29.771
30.36613;-8305	12437	6307;-232	-10	214;-18	-490	129;4089060.000;55.639;29.771
30.37012;-8274	12493	6197;-232	-10	214;-14	-522	103;4089060.000;55.549;29.771
30.37412;-8227	12461	6140;-236	-10	221;-56	-416	77;4089060.000;55.549;29.771
30.37812;-8185	12445	6173;-236	-10	221;-53	-396	134;4089083.000;55.549;29.771
30.38212;-8128	12476	6378;-232	-8	213;-59	-313	46;4089083.000;55.549;29.771
30.38611;-8169	12543	6292;-232	-8	213;-43	-342	67;4089083.000;55.549;29.771
30.39011;-8186	12577	6368;-235	-5	207;-40	-336	-39;4089083.000;55.549;29.771
30.39411;-8200	12574	6398;-235	-5	207;2	-307	-52;4089083.000;55.549;29.771
30.39811;-8188	12578	6490;-237	-10	215;-11	-310	-37;4089083.000;55.549;29.771
30.40211;-8282	12651	6454;-238	-11	214;-56	-329	-92;4089083.000;55.549;29.771
30.40610;-8288	12786	6472;-238	-11	214;-104	-291	-54;4089083.000;55.549;29.771
30.41010;-8276	12741	6551;-239	-7	215;-120	-287	-145;4088805.000;55.549;29.771
30.41410;-8300	12599	6564;-239	-7	215;-162	-291	-161;4088805.000;55.549;29.771
30.41810;-8274	12617	6639;-235	-6	211;-171	-319	-215;4088805.000;55.549;29.771
30.42209;-8369	12676	6516;-235	-6	211;-165	-352	-174;4088805.000;55.549;29.771
30.42609;-8325	12687	6395;-228	-9	215;-85	-294	-249;4088805.000;55.549;29.771
30.43009;-8335	12724	6439;-228	-9	215;-75	-358	-214;4088805.000;55.549;29.771
