Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-5856	-8030	14498;-33	41	30;15159	12718	9139;4089418.000;58.942;29.924
0.00850;-2345	-6596	11482;-38	44	39;15133	13052	8135;4089418.000;58.942;29.924
0.01250;-3648	-8146	13136;-38	44	39;15133	11120	8088;4089418.000;58.942;29.924
0.01650;-5728	-7720	13849;-41	48	33;14944	12921	8701;4089418.000;58.942;29.924
0.02050;-7076	-6362	13473;-41	48	33;14302	13068	9507;4089418.000;58.942;29.885
0.02450;-5664	-6098	13221;-54	50	44;14039	12853	9390;4089418.000;58.942;29.885
0.02850;-5627	-6233	13207;-54	50	44;13565	12754	9271;4089273.000;58.942;29.885
0.03250;-6003	-6305	13305;-51	49	51;13289	12555	9544;4089273.000;58.942;29.885
0.03700;-5968	-6323	13306;-51	49	51;13202	12343	9346;4089273.000;58.942;29.885
0.04150;-6110	-6046	13456;-62	61	54;12949	12192	9441;4089273.000;58.942;29.885
0.04600;-6377	-5686	13650;-62	61	54;12622	11984	9432;4089273.000;59.078;29.885
0.05050;-6412	-5565	13721;-65	56	55;12214	11801	9404;4089273.000;59.078;29.885
0.05500;-6570	-5441	13607;-65	56	55;11675	11582	9381;4089273.000;59.078;29.885
0.05950;-6711	-5419	12977;-72	64	61;11207	11191	9177;4089273.000;59.078;29.885
0.06400;-7149	-5026	13454;-72	64	61;10829	10915	9228;4089207.000;59.078;29.885
0.06850;-7365	-4895	13550;-76	65	56;10483	10562	9180;4089207.000;59.078;29.885
0.07300;-7059	-4764	15889;-87	64	59;10650	9474	8493;4089207.000;59.078;29.885
0.07750;-8119	-4448	13787;-87	64	59;9582	10068	9092;4089207.000;59.078;29.885
0.08200;-7566	-4201	13745;-81	64	67;8722	9574	9108;4089207.000;59.078;29.885
0.08650;-7163	-3960	13510;-81	64	67;8222	9477	9035;4089207.000;59.078;29.885
0.09100;-7165	-3970	12864;-91	68	74;7984	9327	9048;4089207.000;59.078;29.885
0.09550;-7158	-3894	12140;-91	68	74;7946	9471	8894;4089207.000;59.078;29.885
0.10000;-7232	-3710	11778;-98	71	72;7953	9404	8954;4089163.000;59.078;29.885
0.10450;-7191	-3569	11663;-98	71	72;8007	9371	8879;4089163.000;59.078;29.885
0.10900;-7070	-3384	11411;-99	73	75;8055	9288	8929;4089163.000;59.078;29.885
0.11350;-6968	-3175	11182;-99	73	75;8071	9336	9098;4089163.000;59.078;29.885
0.11800;-6902	-2861	11088;-102	69	77;8078	9416	9001;4089163.000;59.078;29.885
0.12250;-7115	-2699	11134;-102	69	77;8167	9545	9070;4089163.000;59.078;29.885
0.12700;-7345	-2568	11381;-105	71	84;8270	9551	9076;4089163.000;59.078;29.885
0.13150;-7318	-2199	11657;-105	71	84;8286	9529	9051;4089163.000;59.078;29.885
0.13600;-7113	-1548	11795;-112	70	84;8026	9561	9039;4089091.000;59.078;29.885
0.14050;-7184	-1176	11839;-112	70	84;7750	9644	8985;4089091.000;59.078;29.885
0.14500;-7365	-858	11684;-119	76	94;7411	9647	9057;4089091.000;59.078;29.885
0.14950;-7459	-693	11441;-119	76	94;7054	9532	8979;4089091.000;59.078;29.885
0.15400;-7577	-429	11227;-118	77	93;6621	9487	9001;4089091.000;59.078;29.885
0.15850;-7607	-291	10875;-118	77	93;6185	9416	8992;4089091.000;59.078;29.885
0.16300;-7883	113	10405;-131	75	99;5704	9031	8879;4089091.000;59.078;29.885
0.16750;-7991	443	10454;-131	75	99;5226	8919	8919;4089091.000;59.078;29.885
0.17200;-8074	913	10389;-131	79	102;4688	8758	8863;4089002.000;59.058;29.885
0.17650;-8068	1102	10278;-131	79	102;4152	8550	8794;4089002.000;59.058;29.885
0.18100;-8165	977	9896;-137	78	108;4040	8274	8772;4089002.000;59.058;29.885
0.18550;-8137	552	9070;-137	78	108;4585	7895	8555;4089002.000;59.058;29.885
0.19000;-8164	249	8716;-139	77	104;5182	7805	8430;4089002.000;59.058;29.885
0.19450;-8128	706	8380;-139	77	104;5775	7616	8263;4089002.000;59.058;29.885
0.19900;-8085	1187	8159;-137	79	104;6326	7446	8194;4089002.000;59.058;29.885
0.20350;-8197	1695	8070;-137	79	104;6743	7385	8044;4089002.000;59.058;29.885
0.20800;-8291	1961	7760;-142	72	113;6965	7414	7956;4088995.000;59.058;29.885
0.21250;-8201	2206	7253;-142	72	113;7285	7484	7799;4088995.000;59.058;29.885
0.21700;-8374	2284	7036;-151	76	117;7590	7526	7692;4088995.000;59.058;29.885
0.22150;-8593	2369	6785;-151	76	117;7882	7420	7545;4088995.000;59.058;29.885
0.22600;-8895	2614	6757;-155	77	115;8174	7244	7381;4088995.000;59.058;29.885
0.23050;-8995	2964	6749;-155	77	115;8353	7112	7344;4088995.000;59.058;29.885
