Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.33314;-11989	1399	8939;-9	-71	-81;697	-846	756;4116157.000;52.476;31.338
30.33764;-12023	1269	9031;-9	-71	-81;505	-762	609;4116364.000;52.476;31.338
30.34214;-12078	1107	9172;-8	-75	-82;223	-685	355;4116364.000;52.476;31.338
30.34664;-12138	980	9230;-8	-75	-82;14	-586	186;4116364.000;52.476;31.338
30.35113;-12164	682	9305;-10	-74	-78;-198	-570	0;4116364.000;52.476;31.338
30.35563;-12234	494	9505;-10	-74	-78;-301	-544	-131;4116364.000;52.476;31.338
30.36013;-12173	279	9638;-10	-78	-82;-326	-464	-200;4116364.000;52.476;31.338
30.36463;-12240	-84	9741;-10	-78	-82;-275	-454	-376;4116364.000;52.476;31.338
30.36912;-12368	-237	9909;-13	-76	-83;-243	-371	-414;4116364.000;52.476;31.338
30.37362;-12440	-344	9926;-13	-76	-83;-159	-313	-495;4116364.000;52.476;31.338
30.37812;-12496	-500	9964;-12	-68	-83;-18	-306	-571;4116364.000;52.649;31.338
30.38262;-12585	-634	9924;-12	-68	-83;136	-297	-564;4116364.000;52.649;31.338
30.38711;-12717	-696	9913;-10	-73	-79;296	-271	-599;4116364.000;52.649;31.338
30.39161;-12806	-635	9867;-10	-73	-79;467	-258	-624;4116364.000;52.649;31.338
30.39611;-13004	-628	9809;-12	-75	-81;537	-162	-593;4116364.000;52.649;31.338
30.40061;-13018	-483	9840;-12	-75	-81;704	-142	-609;4116364.000;52.649;31.338
30.40510;-13099	-326	9860;-9	-78	-78;726	-133	-612;4116364.000;52.649;31.338
30.40960;-13116	-307	9869;-9	-78	-78;810	-123	-614;4116376.000;52.649;31.338
30.41410;-13131	-307	9885;-8	-72	-87;890	-81	-687;4116376.000;52.649;31.338
30.41860;-13168	-340	9842;-8	-72	-87;954	-4	-633;4116376.000;52.649;31.338
30.42309;-13282	-297	9938;-6	-73	-80;964	137	-630;4116376.000;52.649;31.338
30.42759;-13330	-361	9966;-6	-73	-80;983	147	-700;4116376.000;52.649;31.338
