Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-10098	8621	3112;-198	11	-24;2901	1077	2017;4090963.000;53.636;30.325
0.00850;-10536	9138	2604;-203	2	-23;2211	843	1870;4090963.000;53.636;30.325
0.01250;-10112	9492	2162;-203	2	-23;1528	708	1609;4090963.000;53.636;30.344
0.01650;-9333	9382	2253;-206	10	-29;848	936	1383;4090963.000;53.636;30.344
0.02050;-9489	9249	2353;-206	10	-29;364	1068	1248;4091009.000;53.636;30.344
0.02450;-9402	8792	2033;-203	4	-26;11	1026	1208;4091009.000;53.636;30.344
0.02850;-9261	8606	2260;-203	4	-26;-123	1045	1079;4091009.000;53.636;30.344
0.03250;-9522	8924	2473;-206	6	-25;-216	997	1157;4091009.000;53.636;30.344
0.03700;-9688	9101	2069;-206	6	-25;-217	795	1060;4091009.000;53.632;30.344
0.04150;-9454	8953	2045;-205	6	-24;-37	660	928;4091009.000;53.632;30.344
0.04600;-9116	8884	1951;-205	6	-24;252	535	781;4091009.000;53.632;30.344
0.05050;-8939	9263	1842;-205	8	-26;547	259	643;4091009.000;53.632;30.344
0.05500;-8855	9624	1732;-203	8	-26;774	85	568;4090961.000;53.632;30.344
0.05950;-8715	9819	1505;-203	8	-26;1079	-165	304;4090961.000;53.632;30.344
0.06400;-8450	10178	1341;-204	5	-30;1333	-319	150;4090961.000;53.632;30.344
0.06850;-8201	10563	1326;-204	5	-30;1512	-506	12;4090961.000;53.632;30.344
0.07300;-8048	10940	1044;-207	6	-19;1599	-628	-202;4090961.000;53.632;30.344
0.07750;-8009	11178	1107;-207	6	-19;1589	-650	-236;4090961.000;53.632;30.344
0.08200;-8080	11230	1332;-208	5	-24;1496	-807	-440;4090961.000;53.632;30.344
0.08650;-8225	11185	1217;-208	5	-24;1323	-897	-531;4090961.000;53.632;30.344
0.09100;-8388	10959	1207;-208	9	-19;1271	-1080	-710;4091017.000;53.632;30.344
0.09550;-8434	10602	1251;-208	9	-19;1326	-1203	-810;4091017.000;53.632;30.344
0.10000;-8498	10314	1345;-209	9	-26;1358	-1161	-883;4091017.000;53.632;30.344
0.10450;-8882	9987	1346;-209	9	-26;1313	-1209	-924;4091017.000;53.632;30.344
0.10900;-9156	9658	1231;-208	4	-28;1185	-1373	-1078;4091017.000;53.632;30.344
0.11350;-9205	9094	1155;-208	4	-28;1089	-1524	-1184;4091017.000;53.632;30.344
0.11800;-9299	8747	1130;-214	2	-22;1047	-1504	-1347;4091017.000;53.632;30.344
0.12250;-9549	8451	714;-214	2	-22;929	-1639	-1397;4091017.000;53.632;30.344
0.12700;-9617	8153	408;-210	7	-25;723	-1844	-1410;4091007.000;53.632;30.344
0.13150;-9533	7980	306;-210	7	-25;435	-2050	-1414;4091007.000;53.632;30.344
0.13600;-9361	7870	-210;-206	2	-24;143	-2102	-1464;4091007.000;53.632;30.306
0.14050;-9168	7965	-89;-206	2	-24;-152	-2320	-1536;4091007.000;53.632;30.306
0.14500;-9152	8406	428;-216	9	-23;-601	-2554	-1533;4091007.000;53.632;30.306
0.14950;-9081	9024	115;-216	9	-23;-1211	-2602	-1718;4091007.000;53.632;30.306
0.15400;-8802	10039	375;-207	2	-27;-1509	-2493	-1991;4091007.000;53.632;30.306
0.15850;-8902	10344	1098;-207	2	-27;-1724	-2445	-1944;4091007.000;53.632;30.306
