Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-5196	12236	8869;-403	-236	-136;608	-1123	-1337;4109075.000;57.687;29.092
0.00850;-5116	12165	8910;-403	-236	-136;599	-1132	-1244;4109075.000;57.687;29.092
0.01250;-5101	12111	8815;-401	-233	-138;649	-1126	-1270;4109075.000;57.687;29.092
0.01650;-5137	12096	8800;-401	-233	-138;759	-1175	-1193;4109075.000;57.687;29.092
0.02050;-5217	11994	8675;-406	-232	-134;881	-1181	-1215;4109075.000;57.687;29.092
0.02450;-5192	12043	8651;-406	-232	-134;957	-1265	-1141;4109075.000;57.687;29.092
0.02850;-5237	12084	8769;-404	-233	-137;1145	-1220	-1074;4109075.000;57.687;29.092
0.03250;-5302	12173	8637;-404	-233	-137;1205	-1266	-997;4109072.000;57.687;29.092
0.03700;-5130	12236	8572;-400	-233	-137;1265	-1246	-920;4109072.000;57.687;29.092
0.04150;-5201	12347	8642;-400	-233	-137;1334	-1314	-853;4109072.000;57.687;29.092
0.04600;-5064	12491	8562;-399	-240	-136;1390	-1223	-859;4109072.000;57.687;29.092
0.05050;-5084	12650	8674;-399	-240	-136;1397	-1249	-805;4109072.000;57.687;29.092
0.05500;-5069	12868	8603;-406	-234	-131;1362	-1272	-754;4109072.000;57.687;29.073
0.05950;-5095	12892	8611;-406	-234	-131;1422	-1292	-753;4109072.000;57.687;29.073
0.06400;-5141	12886	8523;-403	-234	-137;1431	-1398	-674;4109061.000;57.687;29.073
0.06850;-5103	12945	8416;-403	-234	-137;1510	-1330	-689;4109061.000;57.687;29.073
0.07300;-5270	13028	8246;-407	-232	-134;1589	-1392	-664;4109061.000;57.687;29.073
0.07750;-5283	13146	8269;-407	-232	-134;1554	-1457	-520;4109061.000;57.687;29.073
0.08200;-5257	13275	8168;-407	-236	-134;1523	-1392	-606;4109061.000;57.740;29.073
0.08650;-5339	13377	8214;-407	-236	-134;1485	-1437	-584;4109061.000;57.740;29.073
0.09100;-5327	13273	8209;-401	-235	-131;1485	-1395	-480;4109061.000;57.740;29.073
0.09550;-5219	13177	8102;-401	-235	-131;1456	-1447	-602;4109061.000;57.740;29.073
0.10000;-5202	13111	8017;-410	-237	-134;1450	-1350	-532;4109047.000;57.740;29.073
0.10450;-5189	13142	8048;-410	-237	-134;1438	-1427	-407;4109047.000;57.740;29.073
0.10900;-5170	13180	8079;-409	-233	-133;1375	-1330	-430;4109047.000;57.740;29.073
0.11350;-5233	13424	8169;-409	-233	-133;1299	-1333	-404;4109047.000;57.740;29.073
0.11800;-5205	13502	8222;-406	-232	-133;1174	-1288	-407;4109047.000;57.740;29.073
0.12250;-5134	13422	8371;-406	-232	-133;1092	-1301	-436;4109047.000;57.740;29.073
0.12700;-5145	13156	8397;-407	-238	-131;1073	-1240	-424;4109047.000;57.740;29.073
0.13150;-5225	13056	8357;-407	-238	-131;1042	-1171	-382;4109047.000;57.740;29.073
0.13600;-5353	13312	8395;-413	-236	-134;872	-1107	-408;4109050.000;57.740;29.073
0.14050;-5485	13542	8566;-413	-236	-134;844	-1087	-372;4109050.000;57.740;29.073
0.14500;-5648	13667	8529;-410	-235	-130;828	-1152	-379;4109050.000;57.740;29.073
0.14950;-5628	13632	8401;-410	-235	-130;875	-1129	-401;4109050.000;57.740;29.073
0.15400;-5656	13680	8146;-411	-234	-130;913	-1162	-372;4109050.000;57.740;29.073
0.15850;-5606	13723	8021;-411	-234	-130;982	-1155	-289;4109050.000;57.740;29.073
0.16300;-5594	13716	7952;-408	-235	-124;1189	-1161	-302;4109050.000;57.740;29.073
0.16750;-5556	13680	7993;-408	-235	-124;1192	-1123	-305;4109050.000;57.740;29.073
0.17200;-5522	13649	8056;-407	-236	-130;1277	-1055	-337;4109098.000;57.740;29.073
0.17650;-5522	13488	8067;-407	-236	-130;1416	-996	-206;4109098.000;57.740;29.073
0.18100;-5550	13613	8111;-409	-235	-127;1475	-958	-257;4109098.000;57.740;29.092
0.18550;-5542	13626	8227;-409	-235	-127;1592	-834	-129;4109098.000;57.740;29.092
0.19000;-5511	13713	8203;-414	-233	-121;1576	-851	-199;4109098.000;57.740;29.092
0.19450;-5585	13661	8206;-413	-240	-127;1535	-821	-275;4109098.000;57.740;29.092
0.19900;-5555	13535	8162;-413	-240	-127;1494	-779	-253;4109098.000;57.740;29.092
0.20350;-5505	13502	8052;-410	-236	-129;1459	-695	-310;4109098.000;57.740;29.092
0.20800;-5343	13582	8059;-410	-236	-129;1378	-585	-336;4109113.000;57.711;29.092
0.21250;-5441	13719	8226;-414	-237	-129;1271	-627	-282;4109113.000;57.711;29.092
0.21700;-5354	13807	8298;-414	-237	-129;1139	-660	-298;4109113.000;57.711;29.092
0.22150;-5269	13855	8435;-411	-242	-124;1161	-565	-423;4109113.000;57.711;29.092
0.22600;-5230	13882	8523;-411	-242	-124;1045	-588	-426;4109113.000;57.711;29.092
0.23050;-5326	13763	8464;-415	-235	-125;1092	-462	-474;4109113.000;57.711;29.092
0.23500;-5515	13714	8507;-415	-235	-125;1104	-442	-567;4109113.000;57.711;29.092
0.23950;-5706	13825	8453;-410	-232	-124;1095	-342	-541;4109090.000;57.711;29.092
0.24400;-5763	13951	8430;-410	-232	-124;1035	-306	-576;4109090.000;57.711;29.092
0.24850;-5813	14013	8391;-414	-238	-121;979	-219	-679;4109090.000;57.711;29.092
0.25300;-5815	14174	8382;-414	-238	-121;1007	-147	-769;4109090.000;57.711;29.092
0.25750;-5763	14372	8344;-411	-237	-128;991	-109	-689;4109090.000;57.711;29.092
0.26200;-5995	14438	8378;-411	-237	-128;1070	-102	-801;4109090.000;57.711;29.092
0.26650;-6230	14590	8400;-417	-238	-121;1095	-66	-820;4109090.000;57.711;29.092
0.27100;-6303	14627	8416;-417	-238	-121;1155	-167	-871;4109090.000;57.711;29.092
0.27550;-6204	14655	8408;-413	-237	-124;1243	-147	-952;4109116.000;57.711;29.092
0.28000;-6118	14546	8305;-413	-237	-124;1372	-212	-1081;4109116.000;57.711;29.092
0.28450;-6028	14690	8353;-411	-241	-126;1400	-73	-1084;4109116.000;57.711;29.092
0.28900;-6092	14794	8500;-411	-241	-126;1381	-79	-1228;4109116.000;57.711;29.092
0.29350;-6115	15042	8747;-415	-240	-118;1155	47	-1391;4109116.000;57.711;29.092
0.29800;-6241	15168	8981;-415	-240	-118;1020	89	-1468;4109116.000;57.711;29.092
0.30250;-6252	15155	9022;-418	-239	-125;847	89	-1570;4109116.000;57.711;29.092
0.30700;-6147	15294	9129;-418	-239	-125;605	183	-1775;4109116.000;57.711;29.092
0.31150;-6028	15495	9203;-419	-228	-122;448	229	-1900;4109102.000;57.711;29.092
0.31600;-6016	15685	9258;-419	-228	-122;243	206	-1988;4109102.000;57.711;29.092
0.32050;-6114	15898	9220;-419	-236	-124;1	258	-2158;4109102.000;57.711;29.092
0.32500;-6263	15964	9160;-419	-236	-124;-193	407	-2327;4109102.000;57.711;29.092
0.32950;-6370	15883	9150;-424	-234	-120;-426	429	-2420;4109102.000;57.711;29.092
0.33400;-6320	15753	9184;-424	-234	-120;-514	478	-2609;4109102.000;57.711;29.092
0.33850;-6271	15785	9178;-418	-239	-126;-621	598	-2786;4109102.000;57.578;29.092
0.34300;-6277	15614	9182;-418	-239	-126;-781	669	-2914;4109102.000;57.578;29.092
0.34750;-6419	15371	9156;-420	-239	-122;-926	698	-3045;4109110.000;57.578;29.092
0.35200;-6480	15249	8973;-420	-239	-122;-960	740	-3196;4109110.000;57.578;29.092
0.35650;-6438	15306	9010;-418	-232	-122;-1064	834	-3276;4109110.000;57.578;29.092
0.36100;-6477	15269	8959;-418	-232	-122;-1111	851	-3350;4109110.000;57.578;29.092
0.36550;-6485	15073	9000;-415	-232	-123;-1086	931	-3506;4109110.000;57.578;29.092
0.37000;-6686	14730	8997;-415	-232	-123;-1086	957	-3586;4109110.000;57.578;29.092
0.37450;-6643	14321	8870;-422	-227	-128;-1168	990	-3695;4109110.000;57.578;29.092
0.37900;-6750	14084	8990;-422	-227	-128;-1136	1032	-3804;4109110.000;57.578;29.092
0.38350;-6647	13942	9005;-421	-232	-126;-951	1084	-3964;4109110.000;57.578;29.092
0.38800;-6590	13973	8998;-421	-232	-126;-797	1123	-4064;4109110.000;57.578;29.092
0.39250;-6653	13950	8945;-426	-228	-127;-762	1246	-4201;4109110.000;57.578;29.092
0.39700;-6728	13870	8801;-420	-226	-126;-759	1181	-4304;4109110.000;57.578;29.092
0.40150;-6833	13566	8596;-420	-226	-126;-715	1285	-4358;4109110.000;57.578;29.092
0.40600;-7017	13297	8534;-426	-231	-126;-809	1243	-4438;4109110.000;57.578;29.092
0.41050;-7047	13147	8306;-426	-231	-126;-856	1194	-4557;4109110.000;57.578;29.092
0.41500;-6893	13187	8279;-418	-223	-124;-860	1207	-4612;4109117.000;57.578;29.092
0.41950;-6882	13298	8259;-418	-223	-124;-901	1207	-4712;4109117.000;57.578;29.092
0.42400;-7002	13515	8276;-424	-221	-130;-970	1220	-4766;4109117.000;57.578;29.092
0.42850;-7142	13701	8315;-424	-221	-130;-1080	1175	-4891;4109117.000;57.578;29.092
0.43300;-7324	13773	8411;-421	-217	-125;-1246	1207	-4942;4109117.000;57.578;29.073
0.43750;-7479	13691	8505;-421	-217	-125;-1391	1084	-5012;4109117.000;57.578;29.073
0.44200;-7389	13491	8502;-426	-214	-130;-1479	1045	-5112;4109117.000;57.578;29.073
0.44650;-7376	13308	8461;-426	-214	-130;-1526	984	-5182;4109117.000;57.578;29.073
0.45100;-7506	13227	8604;-425	-217	-134;-1545	1074	-5256;4109132.000;57.578;29.073
0.45550;-7656	13261	8709;-425	-217	-134;-1601	980	-5349;4109132.000;57.578;29.073
0.46000;-7739	13152	8634;-422	-217	-132;-1642	1039	-5448;4109132.000;57.578;29.073
0.46450;-7814	13186	8544;-422	-217	-132;-1784	909	-5547;4109132.000;57.605;29.073
0.46900;-7787	13238	8365;-426	-214	-128;-1850	902	-5589;4109132.000;57.605;29.073
0.47350;-7856	13272	8296;-426	-214	-128;-1878	880	-5698;4109132.000;57.605;29.073
0.47800;-7938	13180	8158;-427	-211	-130;-1890	854	-5663;4109132.000;57.605;29.073
0.48250;-8214	13144	8258;-427	-211	-130;-1947	828	-5762;4109132.000;57.605;29.073
0.48700;-8181	13273	8348;-425	-213	-132;-1956	799	-5865;4109124.000;57.605;29.073
0.49150;-8165	13219	8406;-425	-213	-132;-1994	795	-5788;4109124.000;57.605;29.073
0.49600;-8147	13328	8402;-429	-205	-130;-2060	776	-5894;4109124.000;57.605;29.073
0.50050;-8164	13303	8365;-429	-205	-130;-2148	766	-6012;4109124.000;57.605;29.073
0.50500;-8235	13136	8413;-427	-207	-135;-2211	786	-6038;4109124.000;57.605;29.073
0.50950;-8387	13032	8486;-427	-207	-135;-2343	799	-6070;4109124.000;57.605;29.073
0.51400;-8454	12803	8389;-434	-205	-129;-2334	750	-6182;4109124.000;57.605;29.073
