Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.21571;-2789	-1553	16457;-30	-34	-173;472	668	-285;4109004.000;53.277;30.486
30.22021;-2721	-1386	16564;-30	-34	-173;544	836	-164;4109004.000;53.277;30.486
30.22470;-2687	-1188	16460;-35	-39	-170;434	470	-67;4109004.000;53.277;30.486
30.22920;-2766	-1039	16561;-35	-39	-170;512	710	-112;4109013.000;53.277;30.486
30.23370;-2830	-895	16448;-35	-33	-171;421	732	-26;4109013.000;53.277;30.486
30.23820;-2857	-928	16306;-35	-33	-171;317	739	-29;4109013.000;53.277;30.486
30.24269;-2882	-962	16611;-33	-35	-172;110	716	41;4109013.000;53.277;30.486
30.24719;-2869	-1005	16537;-33	-35	-172;44	716	70;4109013.000;53.277;30.486
30.25169;-2925	-909	16521;-33	-36	-170;-107	700	57;4109013.000;53.277;30.486
30.25619;-2999	-881	16553;-33	-36	-172;-233	668	6;4109013.000;53.277;30.486
30.26068;-3091	-953	16491;-38	-33	-172;-361	512	45;4109013.000;53.277;30.486
30.26518;-3119	-1139	16376;-33	-31	-169;-512	441	115;4108994.000;53.277;30.486
30.26968;-3185	-1221	16455;-33	-31	-169;-525	373	103;4108994.000;53.277;30.486
30.27418;-3184	-1314	16633;-35	-38	-172;-556	256	176;4108994.000;53.277;30.486
30.27867;-3209	-1313	16408;-35	-38	-172;-619	87	102;4108994.000;53.277;30.431
30.28317;-3264	-1145	16673;-32	-31	-166;-745	78	151;4108994.000;53.277;30.431
30.28767;-3226	-1134	16626;-32	-31	-166;-874	-84	222;4108994.000;53.277;30.431
30.29217;-3299	-1332	16436;-31	-38	-173;-839	-194	158;4108994.000;53.277;30.431
30.29666;-3328	-1705	16476;-31	-38	-173;-839	-308	174;4108989.000;53.277;30.431
30.30116;-3308	-2057	16465;-33	-41	-170;-802	-519	260;4108989.000;53.277;30.431
30.30566;-3296	-2376	16503;-33	-41	-170;-603	-584	118;4108989.000;53.403;30.431
30.31016;-3194	-2291	16346;-30	-31	-172;-503	-730	186;4108989.000;53.403;30.431
30.31465;-3213	-2222	16453;-30	-31	-172;-421	-765	227;4108989.000;53.403;30.431
30.31915;-3029	-2036	16409;-34	-36	-168;-286	-843	71;4108989.000;53.403;30.431
30.32365;-3011	-1942	16456;-34	-36	-168;-207	-785	116;4108989.000;53.403;30.431
30.32815;-3084	-1825	16380;-37	-39	-175;-163	-840	135;4108989.000;53.403;30.431
30.33264;-3145	-1779	16336;-37	-39	-175;-113	-876	4;4108973.000;53.403;30.431
30.33714;-3141	-1665	16416;-34	-39	-170;-56	-993	-37;4108973.000;53.403;30.431
30.34164;-3115	-1516	16508;-34	-39	-170;-113	-1047	33;4108973.000;53.403;30.431
30.34614;-3076	-1434	16546;-36	-42	-175;-145	-1044	52;4108973.000;53.403;30.431
30.35063;-2933	-1557	16475;-36	-42	-175;-148	-1077	-34;4108973.000;53.403;30.431
30.35513;-2863	-1591	16438;-36	-38	-172;-154	-1060	-12;4108973.000;53.403;30.431
30.35963;-2813	-1539	16373;-36	-38	-172;-132	-1080	-53;4108973.000;53.403;30.431
30.36413;-2731	-1340	16416;-33	-35	-170;-195	-1047	-18;4108973.000;53.403;30.431
30.36862;-2635	-1296	16436;-33	-35	-170;-208	-963	-12;4108984.000;53.403;30.431
30.37312;-2620	-1406	16426;-31	-33	-177;-270	-898	19;4108984.000;53.403;30.431
30.37762;-2581	-1476	16391;-31	-33	-177;-302	-778	-10;4108984.000;53.403;30.431
30.38212;-2601	-1619	16395;-30	-36	-172;-295	-762	-29;4108984.000;53.403;30.431
30.38661;-2651	-1463	16520;-30	-36	-172;-380	-665	-58;4108984.000;53.403;30.431
30.39111;-2740	-1320	16445;-36	-35	-165;-528	-600	-35;4108984.000;53.403;30.431
30.39561;-2758	-1297	16510;-36	-35	-165;-607	-607	-54;4108984.000;53.403;30.431
30.40011;-2756	-1342	16604;-34	-39	-172;-679	-587	-61;4108984.000;53.403;30.431
