Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.34164;115	1927	16602;-393	-70	-178;-14	196	-119;4108803.000;54.439;29.972
30.34614;79	1778	16652;-393	-70	-178;5	160	-139;4108803.000;54.439;29.972
30.35063;94	1752	16680;-391	-65	-172;58	183	-184;4108803.000;54.439;29.972
30.35513;83	1719	16620;-391	-65	-172;64	154	-152;4108803.000;54.439;29.972
30.35963;44	1674	16685;-392	-71	-182;124	287	-142;4108803.000;54.439;29.972
30.36413;20	1793	16740;-392	-71	-182;193	277	-206;4108803.000;54.439;29.972
30.36862;-24	1798	16681;-389	-66	-178;265	274	-184;4108803.000;54.439;29.972
30.37312;-11	1780	16599;-389	-66	-178;316	287	-180;4108803.000;54.439;29.972
30.37762;-27	1854	16628;-389	-68	-181;394	225	-203;4108825.000;54.439;29.972
30.38212;-61	1928	16663;-389	-68	-181;363	277	-119;4108825.000;54.439;29.972
30.38661;-40	2016	16642;-389	-70	-179;394	199	-168;4108825.000;54.439;29.972
30.39111;-15	2086	16572;-389	-70	-179;313	271	-126;4108825.000;54.439;29.972
30.39561;-28	2165	16634;-384	-64	-178;256	180	-190;4108825.000;54.439;29.954
30.40011;-20	2227	16623;-384	-64	-178;209	232	-148;4108825.000;54.439;29.954
30.40460;0	2180	16578;-385	-68	-173;187	316	-177;4108825.000;54.439;29.954
30.40910;-48	2254	16594;-385	-68	-173;77	216	-205;4108825.000;54.439;29.954
30.41360;-50	2172	16610;-386	-67	-178;52	267	-167;4108841.000;54.439;29.954
30.41810;13	2125	16666;-386	-67	-178;20	245	-160;4108841.000;54.439;29.954
30.42259;65	2070	16615;-390	-63	-183;30	271	-193;4108841.000;54.439;29.954
30.42709;13	1993	16552;-390	-63	-183;27	177	-190;4108841.000;54.485;29.954
30.43159;-10	1922	16645;-385	-68	-178;48	157	-158;4108841.000;54.485;29.954
30.43609;16	1778	16643;-385	-68	-178;49	138	-187;4108841.000;54.485;29.954
