Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.24469;-495	2040	16551;-279	-48	-283;109	131	-288;4107102.000;48.824;33.349
30.24919;-554	2028	16547;-279	-48	-283;127	108	-375;4107102.000;48.824;33.349
30.25369;-569	1992	16454;-278	-40	-289;115	108	-295;4107107.000;48.824;33.349
30.25818;-654	1965	16494;-278	-40	-289;203	99	-317;4107107.000;48.824;33.349
30.26268;-583	1948	16582;-282	-44	-288;187	56	-295;4107107.000;48.824;33.349
30.26718;-593	1915	16558;-282	-44	-288;128	63	-218;4107107.000;48.824;33.349
30.27168;-465	1909	16636;-281	-44	-289;184	53	-333;4107107.000;48.824;33.349
30.27617;-509	1978	16514;-281	-44	-289;241	56	-282;4107107.000;48.824;33.349
30.28067;-451	1977	16556;-278	-40	-286;297	56	-305;4107107.000;48.824;33.349
30.28517;-460	1996	16493;-278	-40	-286;351	154	-333;4107147.000;48.824;33.349
30.28967;-538	2063	16581;-278	-49	-289;344	8	-301;4107147.000;48.824;33.349
30.29416;-512	2079	16530;-278	-49	-289;269	43	-285;4107147.000;48.824;33.349
30.29866;-546	2175	16554;-278	-47	-283;338	4	-295;4107147.000;48.824;33.349
30.30316;-541	2205	16630;-278	-47	-283;351	92	-369;4107147.000;48.824;33.349
30.30766;-543	2235	16609;-280	-52	-281;294	79	-340;4107147.000;48.824;33.349
30.31215;-463	2182	16535;-280	-52	-281;278	-18	-289;4107147.000;48.824;33.349
30.31665;-420	2179	16452;-278	-47	-286;162	-32	-311;4107147.000;48.824;33.349
30.32115;-522	2197	16477;-278	-47	-286;203	62	-388;4107154.000;48.824;33.349
30.32565;-370	2127	16520;-282	-47	-284;288	50	-291;4107154.000;48.824;33.367
30.33014;-412	2020	16466;-282	-47	-284;228	138	-371;4107154.000;48.824;33.367
30.33464;-500	2172	16564;-280	-43	-287;231	212	-384;4107154.000;48.824;33.367
