Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.18872;-1681	1175	16600;-214	-306	-213;28	162	-172;4107194.000;55.977;30.817
30.19322;-1658	1128	16672;-214	-306	-213;34	182	-229;4107194.000;55.977;30.817
30.19772;-1693	1156	16619;-219	-300	-212;47	201	-201;4107194.000;55.977;30.817
30.20222;-1657	1178	16602;-219	-300	-212;12	192	-178;4107194.000;55.977;30.817
30.20671;-1682	1162	16657;-209	-302	-220;-10	208	-229;4107194.000;55.977;30.817
30.21121;-1620	1127	16582;-209	-302	-220;9	166	-182;4107194.000;55.977;30.817
30.21571;-1660	1111	16628;-218	-302	-215;-4	143	-203;4107194.000;55.977;30.817
30.22021;-1700	1123	16656;-218	-302	-215;12	231	-203;4107194.000;55.977;30.817
30.22470;-1676	1076	16641;-214	-298	-218;9	195	-225;4107190.000;55.977;30.817
30.22920;-1663	1162	16576;-214	-298	-218;-10	120	-222;4107190.000;55.977;30.817
30.23370;-1627	1149	16585;-216	-305	-211;-26	159	-194;4107190.000;55.977;30.817
30.23820;-1641	1126	16582;-216	-305	-211;-38	169	-236;4107190.000;55.977;30.817
30.24269;-1576	1104	16700;-212	-303	-214;-67	162	-185;4107190.000;55.977;30.817
30.24719;-1640	1096	16657;-212	-303	-214;-82	175	-162;4107190.000;55.977;30.817
30.25169;-1616	1123	16604;-211	-301	-211;-26	237	-223;4107190.000;55.977;30.817
30.25619;-1618	1164	16654;-212	-301	-217;-26	224	-229;4107190.000;55.977;30.817
30.26068;-1592	1170	16634;-212	-301	-217;-70	192	-156;4107198.000;55.977;30.817
30.26518;-1609	1064	16581;-212	-303	-211;-66	208	-226;4107198.000;55.977;30.817
30.26968;-1643	1106	16568;-212	-303	-211;-48	228	-181;4107198.000;55.977;30.817
30.27418;-1650	1079	16604;-210	-299	-214;3	230	-191;4107198.000;55.977;30.817
30.27867;-1596	1135	16617;-210	-299	-214;12	214	-210;4107198.000;55.977;30.817
30.28317;-1693	1135	16594;-207	-299	-211;-26	149	-207;4107198.000;55.977;30.817
30.28767;-1654	1101	16677;-207	-299	-211;6	205	-162;4107198.000;55.977;30.817
30.29217;-1737	1100	16592;-214	-306	-208;59	172	-181;4107198.000;55.977;30.817
30.29666;-1729	1069	16665;-214	-306	-208;46	256	-188;4107171.000;55.977;30.817
30.30116;-1651	1099	16614;-211	-302	-217;15	175	-162;4107171.000;55.977;30.817
30.30566;-1667	1087	16668;-211	-302	-217;31	279	-149;4107171.000;55.977;30.817
