Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.19522;1349	3347	16488;-60	-109	-95;146	-172	-273;4110623.000;53.313;30.822
30.19922;1413	3468	16373;-59	-104	-101;166	-153	-270;4110555.000;53.313;30.822
30.20321;1428	3477	16322;-59	-104	-101;185	-92	-286;4110555.000;53.313;30.822
30.20721;1415	3600	16317;-60	-110	-94;153	-28	-242;4110555.000;53.313;30.822
30.21121;1368	3605	16334;-60	-110	-94;114	-28	-170;4110555.000;53.313;30.822
30.21521;1404	3667	16255;-63	-103	-98;146	-31	-210;4110555.000;53.313;30.822
30.21921;1372	3659	16325;-63	-103	-98;79	1	-173;4110555.000;53.313;30.822
30.22320;1315	3736	16382;-60	-109	-91;-4	-21	-141;4110555.000;53.313;30.822
30.22720;1370	3713	16370;-60	-109	-91;-84	-18	-142;4110555.000;53.313;30.822
30.23120;1347	3727	16428;-57	-111	-93;-165	11	-66;4110556.000;53.313;30.822
30.23520;1355	3656	16427;-58	-118	-94;-209	37	-82;4110556.000;53.313;30.822
30.23919;1327	3542	16424;-58	-118	-94;-264	43	-50;4110556.000;53.313;30.822
30.24319;1336	3522	16461;-57	-107	-95;-261	149	-57;4110556.000;53.313;30.822
30.24719;1261	3382	16468;-57	-107	-95;-290	126	-47;4110556.000;53.453;30.822
30.25119;1244	3336	16494;-59	-111	-92;-251	143	-54;4110556.000;53.453;30.822
30.25519;1218	3221	16552;-59	-111	-92;-254	172	13;4110556.000;53.453;30.822
30.25918;1197	3131	16553;-64	-112	-95;-171	94	-85;4110556.000;53.453;30.822
30.26318;1127	3050	16588;-64	-112	-95;-213	175	-25;4110491.000;53.453;30.822
30.26718;1175	3035	16605;-59	-103	-99;-197	168	-119;4110491.000;53.453;30.822
30.27118;1118	2950	16690;-59	-103	-99;-152	113	-113;4110491.000;53.453;30.822
30.27518;1076	2943	16739;-58	-111	-92;-149	139	-69;4110491.000;53.453;30.822
30.27917;1115	2907	16773;-58	-111	-92;-113	88	-76;4110491.000;53.453;30.822
30.28317;1081	2851	16757;-60	-109	-95;-91	97	-122;4110491.000;53.453;30.822
30.28717;1151	2864	16754;-60	-109	-95;-88	65	-126;4110491.000;53.453;30.822
30.29117;1165	2866	16739;-58	-108	-88;-46	-5	-195;4110491.000;53.453;30.822
30.29516;1233	2873	16796;-58	-108	-88;25	-38	-138;4110521.000;53.453;30.822
30.29916;1271	2896	16681;-52	-104	-95;38	-54	-173;4110521.000;53.453;30.822
30.30316;1242	2908	16756;-52	-104	-95;70	-12	-176;4110521.000;53.453;30.822
30.30716;1282	3018	16720;-60	-105	-92;70	-60	-166;4110521.000;53.453;30.822
30.31116;1301	3071	16627;-60	-105	-92;134	-89	-226;4110521.000;53.453;30.822
30.31515;1300	3152	16621;-57	-112	-95;134	-89	-232;4110521.000;53.453;30.822
30.31915;1348	3208	16618;-57	-112	-95;172	-156	-242;4110521.000;53.453;30.822
30.32315;1337	3324	16579;-60	-110	-88;130	-131	-292;4110521.000;53.453;30.822
30.32715;1400	3303	16536;-60	-110	-88;111	-121	-232;4110616.000;53.453;30.822
30.33114;1372	3408	16519;-58	-109	-90;114	-102	-317;4110616.000;53.453;30.803
30.33514;1445	3458	16400;-58	-109	-90;76	-76	-217;4110616.000;53.453;30.803
30.33914;1397	3521	16443;-55	-104	-93;54	-47	-286;4110616.000;53.453;30.803
30.34314;1465	3527	16374;-55	-104	-93;2	-34	-242;4110616.000;53.453;30.803
30.34714;1397	3582	16476;-58	-104	-98;-17	-66	-192;4110616.000;53.453;30.803
30.35113;1323	3615	16466;-58	-104	-98;-104	-9	-226;4110616.000;53.453;30.803
30.35513;1303	3577	16465;-61	-109	-96;-104	11	-151;4110616.000;53.453;30.803
30.35913;1239	3503	16416;-61	-109	-96;-117	24	-232;4110611.000;53.426;30.803
30.36313;1211	3430	16529;-59	-108	-94;-158	27	-163;4110611.000;53.426;30.803
30.36712;1205	3394	16572;-59	-108	-94;-194	66	-163;4110611.000;53.426;30.803
30.37112;1211	3309	16581;-61	-109	-98;-206	56	-113;4110611.000;53.426;30.803
