Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.24919;-1191	-7873	13604;-160	-248	-227;-1721	-47	-1157;4109036.000;55.109;29.734
30.25369;-1453	-7421	13783;-160	-248	-227;-2242	-167	-920;4109036.000;55.109;29.734
30.25818;-2055	-6927	14325;-157	-244	-234;-2902	-212	-155;4109036.000;55.109;29.734
30.26268;-2658	-6159	13655;-157	-244	-234;-3883	-323	56;4109024.000;55.109;29.734
30.26718;-3178	-5332	13700;-153	-245	-227;-5237	-709	678;4109024.000;55.109;29.734
30.27168;-3785	-5383	14432;-153	-245	-227;-7295	-1720	1424;4109024.000;55.109;29.734
30.27617;-2155	-5797	14035;-162	-245	-230;-8040	-2527	393;4109024.000;55.109;29.734
30.28067;-1456	-7148	13955;-162	-245	-230;-9351	-2229	-197;4109024.000;55.109;29.734
30.28517;-799	-7572	14868;-153	-247	-228;-10705	-2450	-1132;4109024.000;55.109;29.734
30.28967;-393	-8400	14455;-153	-247	-228;-11491	-2670	-1218;4109024.000;55.109;29.734
30.29416;-477	-9064	14775;-151	-243	-229;-12207	-653	-1381;4109024.000;55.165;29.734
30.29866;-839	-9256	15171;-151	-243	-229;-12836	-1269	-1824;4109016.000;55.165;29.734
30.30316;-850	-9752	14583;-147	-247	-221;-13301	-643	-2338;4109016.000;55.165;29.734
30.30766;-663	-11638	14188;-141	-252	-223;-13719	-780	-2604;4109016.000;55.165;29.734
30.31215;-1397	-11578	14341;-141	-252	-223;-14181	-122	-3193;4109016.000;55.165;29.734
30.31665;-1039	-13207	13304;-140	-248	-222;-13644	200	-3677;4109016.000;55.165;29.734
30.32115;-1367	-12433	13313;-140	-248	-222;-13600	640	-4209;4109016.000;55.165;29.734
30.32565;-1526	-13202	12538;-139	-246	-227;-13135	744	-4568;4109016.000;55.165;29.734
30.33014;-1410	-14411	12113;-139	-246	-227;-12811	952	-5103;4109016.000;55.165;29.734
30.33464;-1605	-13640	12483;-132	-246	-215;-12465	1098	-5291;4109003.000;55.165;29.734
30.33914;-1362	-12761	11880;-132	-246	-215;-11780	1308	-5251;4109003.000;55.165;29.734
