Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.33914;2001	-5764	15835;72	-258	-50;84	73	-330;4120291.000;51.656;31.586
30.34364;1958	-5834	15869;72	-258	-50;119	38	-411;4120291.000;51.656;31.586
30.34813;2042	-5808	15778;72	-256	-49;151	47	-339;4120291.000;51.729;31.586
30.35263;1985	-5767	15799;72	-256	-49;110	70	-283;4120291.000;51.729;31.586
30.35713;1977	-5738	15841;71	-259	-45;107	48	-430;4120291.000;51.729;31.586
30.36163;1952	-5759	15858;71	-259	-45;104	19	-302;4120291.000;51.729;31.586
30.36613;1920	-5748	15895;74	-261	-47;122	28	-383;4120291.000;51.729;31.586
30.37062;1901	-5791	15884;74	-261	-47;145	-7	-289;4120291.000;51.729;31.586
30.37512;1962	-5774	15824;71	-256	-43;97	-1	-311;4120228.000;51.729;31.586
30.37962;1939	-5645	15765;71	-256	-43;78	-4	-236;4120228.000;51.729;31.586
30.38412;1982	-5635	15772;68	-253	-48;1	3	-179;4120228.000;51.729;31.586
30.38861;1928	-5604	15763;68	-253	-48;-22	-58	-123;4120228.000;51.729;31.586
30.39311;1989	-5607	15688;76	-262	-46;-19	-113	-88;4120228.000;51.729;31.586
30.39761;2014	-5503	15788;76	-262	-46;-16	-97	-72;4120228.000;51.729;31.586
30.40211;2023	-5657	15795;67	-258	-45;-32	-106	-56;4120228.000;51.729;31.586
30.40660;1982	-5665	15786;67	-258	-45;-25	-100	-31;4120228.000;51.729;31.586
30.41110;1914	-5677	15877;74	-260	-51;29	-123	94;4120293.000;51.729;31.586
30.41560;1890	-5645	15859;74	-260	-51;7	-161	34;4120293.000;51.729;31.586
30.42010;1943	-5587	15845;75	-256	-45;-6	-165	131;4120293.000;51.729;31.586
30.42459;1972	-5588	15791;75	-256	-45;-118	-174	97;4120293.000;51.729;31.586
30.42909;2070	-5530	15796;71	-256	-45;-134	-174	157;4120293.000;51.729;31.586
30.43359;2096	-5636	15869;71	-256	-45;-150	-148	159;4120293.000;51.729;31.586
30.43809;2042	-5644	15791;66	-256	-42;-153	-129	194;4120293.000;51.729;31.586
30.44258;1967	-5744	15834;66	-256	-42;-128	-145	116;4120293.000;51.729;31.586
30.44708;1960	-5780	15839;68	-258	-43;-157	-123	200;4120359.000;51.729;31.586
30.45158;1865	-5883	15841;68	-258	-43;-74	-164	125;4120359.000;51.729;31.586
30.45608;1981	-5874	15876;71	-256	-47;17	-193	150;4120359.000;51.729;31.586
30.46057;2096	-5905	15923;71	-256	-47;23	-164	81;4120359.000;51.729;31.586
30.46507;2056	-5921	15898;75	-254	-39;116	-155	31;4120359.000;51.729;31.586
30.46957;2137	-5951	15862;75	-254	-39;155	-158	53;4120359.000;51.729;31.586
30.47407;2085	-5927	15958;72	-258	-48;167	-126	-13;4120359.000;51.779;31.586
30.47856;2093	-5838	15905;72	-258	-48;142	-129	-7;4120359.000;51.779;31.586
30.48306;2080	-5822	15954;69	-262	-50;164	-129	-44;4120274.000;51.779;31.586
30.48756;2117	-5902	15881;69	-262	-50;155	-171	-48;4120274.000;51.779;31.586
30.49206;2156	-5895	15878;71	-262	-44;174	-103	-95;4120274.000;51.779;31.586
30.49655;2119	-5959	15873;71	-262	-44;225	-161	-129;4120274.000;51.779;31.586
30.50105;2217	-5844	15872;69	-258	-43;308	-123	-131;4120274.000;51.779;31.586
30.50555;2255	-5785	15883;69	-258	-43;417	-180	-185;4120274.000;51.779;31.586
30.51005;2220	-5718	15972;70	-255	-45;479	-196	-138;4120274.000;51.779;31.586
30.51454;2208	-5635	15916;70	-255	-45;585	-222	-169;4120274.000;51.779;31.586
30.51904;2185	-5627	15985;72	-257	-42;540	-203	-173;4120341.000;51.779;31.586
30.52354;2154	-5600	15967;72	-257	-42;556	-241	-195;4120341.000;51.779;31.586
30.52804;2188	-5578	15974;62	-262	-46;559	-232	-157;4120341.000;51.779;31.586
30.53253;2052	-5567	15983;62	-262	-46;508	-184	-201;4120341.000;51.779;31.586
30.53703;2024	-5586	15940;64	-251	-45;479	-171	-141;4120341.000;51.779;31.586
30.54153;1991	-5595	15928;64	-251	-45;491	-216	-247;4120341.000;51.779;31.586
30.54603;1974	-5672	15901;66	-255	-46;494	-151	-248;4120341.000;51.779;31.586
30.55052;1974	-5623	15867;67	-259	-45;492	-174	-198;4120341.000;51.779;31.586
30.55502;1983	-5642	15810;67	-259	-45;527	-187	-327;4120395.000;51.779;31.586
30.55952;2088	-5681	15788;67	-254	-39;530	-180	-254;4120395.000;51.779;31.586
30.56402;2059	-5707	15780;67	-254	-39;540	-180	-314;4120395.000;51.779;31.586
30.56851;2062	-5756	15800;69	-253	-43;578	-151	-252;4120395.000;51.779;31.586
30.57301;2116	-5717	15764;69	-253	-43;562	-139	-258;4120395.000;51.779;31.605
30.57751;2121	-5702	15749;72	-255	-47;546	-119	-383;4120395.000;51.779;31.605
