Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;14106	-6154	5220;-234	-416	12;-13	354	-271;4108995.000;53.782;30.101
0.00850;14127	-6185	5253;-234	-416	12;-7	386	-252;4108995.000;53.782;30.101
0.01250;13969	-6034	5155;-233	-408	17;0	334	-235;4108995.000;53.782;30.101
0.01650;14025	-6091	5202;-233	-408	17;12	376	-274;4108995.000;53.782;30.101
0.02050;14020	-6105	5111;-233	-412	15;-70	286	-239;4108995.000;53.782;30.101
0.02450;14080	-6095	5174;-233	-412	15;-76	334	-223;4108995.000;53.782;30.101
0.02850;14094	-6088	5077;-233	-412	16;-86	272	-181;4108986.000;53.782;30.101
0.03250;14154	-6081	5094;-233	-412	16;-67	247	-191;4108986.000;53.782;30.101
0.03700;14143	-6145	5125;-237	-410	16;-79	237	-178;4108986.000;53.782;30.101
0.04150;14147	-6169	5155;-237	-410	16;-82	188	-165;4108986.000;53.782;30.101
0.04600;14155	-6114	5320;-236	-411	15;-67	198	-162;4108986.000;53.782;30.101
0.05050;14090	-6125	5225;-236	-411	15;-48	130	-104;4108986.000;53.782;30.101
0.05500;14126	-6106	5323;-234	-412	16;-41	91	-123;4108986.000;53.782;30.101
0.05950;14096	-6138	5255;-234	-412	16;-38	101	-159;4108986.000;53.782;30.101
0.06400;14154	-6103	5236;-235	-414	13;21	88	-88;4109000.000;53.782;30.101
0.06850;14184	-6050	5268;-235	-414	13;50	104	-130;4109000.000;53.782;30.101
0.07300;14169	-6061	5287;-232	-411	15;28	65	-136;4109000.000;53.782;30.101
0.07750;14196	-6033	5296;-232	-411	15;22	140	-34;4109000.000;53.782;30.101
0.08200;14170	-6064	5226;-233	-408	15;15	39	-81;4109000.000;53.782;30.101
0.08650;14225	-6023	5331;-233	-408	15;-10	-6	-133;4109000.000;53.815;30.101
0.09100;14221	-6014	5317;-228	-412	16;2	30	-20;4109000.000;53.815;30.101
0.09550;14171	-6031	5376;-228	-412	16;-10	78	-77;4109000.000;53.815;30.101
0.10000;14242	-6013	5446;-229	-414	18;-4	98	-125;4109009.000;53.815;30.101
0.10450;14201	-6042	5400;-229	-414	18;43	72	-110;4109009.000;53.815;30.101
0.10900;14294	-6027	5516;-236	-410	20;47	46	-127;4109009.000;53.815;30.101
0.11350;14239	-6037	5394;-236	-410	20;15	78	-114;4109009.000;53.815;30.101
0.11800;14377	-6005	5467;-230	-416	11;6	65	-117;4109009.000;53.815;30.101
0.12250;14397	-5982	5349;-230	-416	11;-76	78	-74;4109009.000;53.815;30.101
0.12700;14345	-6038	5407;-229	-411	21;-13	153	-91;4109009.000;53.815;30.101
0.13150;14228	-6009	5338;-229	-411	21;-35	136	-81;4109009.000;53.815;30.101
0.13600;14157	-6055	5451;-236	-412	14;-4	176	-45;4108998.000;53.815;30.101
0.14050;14144	-5970	5435;-234	-410	19;25	166	-90;4108998.000;53.815;30.101
0.14500;14171	-5970	5433;-234	-410	19;-13	169	-90;4108998.000;53.815;30.101
0.14950;14228	-5982	5464;-235	-413	11;-35	82	-87;4108998.000;53.815;30.101
0.15400;14281	-5987	5421;-235	-413	11;2	95	-110;4108998.000;53.815;30.101
0.15850;14277	-5915	5431;-233	-415	18;15	217	-82;4108998.000;53.815;30.101
0.16300;14198	-5968	5363;-233	-415	18;-48	104	-75;4108998.000;53.815;30.101
0.16750;14194	-5970	5298;-229	-415	12;-85	172	-107;4108998.000;53.815;30.101
0.17200;14264	-5973	5313;-229	-415	12;-48	159	-107;4109014.000;53.815;30.101
0.17650;14212	-5994	5249;-232	-417	17;-89	156	-87;4109014.000;53.815;30.101
0.18100;14214	-5979	5259;-232	-417	17;-101	172	-97;4109014.000;53.815;30.064
0.18550;14172	-6056	5213;-230	-412	16;-70	166	-148;4109014.000;53.815;30.064
0.19000;14228	-6135	5378;-230	-412	16;-32	163	-103;4109014.000;53.815;30.064
0.19450;14248	-6167	5346;-238	-413	14;-1	81	-100;4109014.000;53.815;30.064
0.19900;14171	-6218	5410;-238	-413	14;2	137	-202;4109014.000;53.815;30.064
0.20350;14168	-6213	5357;-228	-412	13;53	-48	-116;4108996.000;53.815;30.064
0.20800;14226	-6241	5396;-228	-412	13;65	4	-212;4108996.000;53.815;30.064
0.21250;14322	-6232	5428;-229	-410	16;113	13	-165;4108996.000;53.868;30.064
0.21700;14360	-6149	5373;-229	-410	16;197	17	-114;4108996.000;53.868;30.064
0.22150;14362	-6075	5336;-236	-414	16;147	33	-252;4108996.000;53.868;30.064
0.22600;14294	-6144	5309;-236	-414	16;175	39	-168;4108996.000;53.868;30.064
0.23050;14343	-6078	5450;-236	-412	16;147	0	-82;4108996.000;53.868;30.064
0.23500;14297	-6061	5322;-236	-412	16;122	39	-197;4108996.000;53.868;30.064
0.23950;14278	-6091	5319;-232	-412	16;135	43	-178;4109004.000;53.868;30.064
0.24400;14346	-6064	5373;-232	-412	16;112	-41	-42;4109004.000;53.868;30.064
0.24850;14332	-6110	5290;-234	-414	18;-10	33	-167;4109004.000;53.868;30.064
0.25300;14337	-6076	5320;-234	-414	18;9	20	-87;4109004.000;53.868;30.064
0.25750;14303	-6079	5299;-234	-413	17;62	127	-68;4109004.000;53.868;30.064
0.26200;14322	-6125	5367;-234	-413	17;12	120	-120;4109004.000;53.868;30.064
0.26650;14283	-6118	5265;-228	-414	18;2	65	-101;4109004.000;53.868;30.064
0.27100;14310	-6069	5285;-228	-414	18;68	78	-117;4109004.000;53.868;30.064
0.27550;14325	-6091	5295;-234	-411	15;-4	75	-72;4109005.000;53.868;30.064
0.28000;14310	-6116	5329;-234	-411	15;18	62	-81;4109005.000;53.868;30.064
0.28450;14275	-6071	5384;-230	-419	18;116	49	-164;4109005.000;53.868;30.064
0.28900;14304	-6018	5385;-230	-419	18;138	49	-36;4109005.000;53.868;30.064
0.29350;14181	-5949	5418;-241	-408	19;166	59	-52;4109005.000;53.868;30.064
0.29800;14202	-5998	5440;-241	-408	19;150	101	-110;4109005.000;53.868;30.064
0.30250;14160	-5946	5423;-235	-411	20;176	56	-72;4109005.000;53.868;30.064
0.30700;14245	-5931	5417;-235	-411	20;185	62	-155;4109005.000;53.868;30.064
0.31150;14208	-6016	5480;-233	-414	14;134	-22	-159;4109016.000;53.868;30.083
0.31600;14310	-5956	5372;-233	-414	14;28	82	-173;4109016.000;53.868;30.083
0.32050;14209	-6034	5389;-228	-413	14;43	46	-164;4109016.000;53.868;30.083
0.32500;14286	-6060	5329;-228	-413	14;44	39	-112;4109016.000;53.868;30.083
0.32950;14362	-6075	5360;-233	-415	19;9	88	-235;4109016.000;53.868;30.083
0.33400;14312	-6049	5417;-233	-415	19;2	104	-159;4109016.000;53.868;30.083
0.33850;14363	-6106	5425;-230	-410	17;-35	91	-59;4109016.000;53.759;30.083
0.34300;14326	-6120	5395;-230	-410	17;-73	91	-203;4109016.000;53.759;30.083
0.34750;14370	-6102	5474;-234	-414	13;-48	201	-151;4109019.000;53.759;30.083
0.35200;14381	-6164	5426;-229	-407	16;-48	111	-119;4109019.000;53.759;30.083
0.35650;14445	-6202	5506;-229	-407	16;-13	218	-173;4109019.000;53.759;30.083
0.36100;14362	-6165	5439;-233	-413	16;18	247	-167;4109019.000;53.759;30.083
0.36550;14320	-6106	5375;-233	-413	16;47	237	-136;4109019.000;53.759;30.083
0.37000;14291	-6067	5423;-235	-408	16;-23	263	-124;4109019.000;53.759;30.083
0.37450;14266	-6125	5331;-235	-408	16;18	321	-149;4109019.000;53.759;30.083
0.37900;14279	-6046	5332;-229	-409	20;53	308	-130;4109014.000;53.759;30.083
0.38350;14319	-6146	5282;-229	-409	20;-54	260	-145;4109014.000;53.759;30.083
0.38800;14252	-6130	5306;-233	-417	14;-1	292	-151;4109014.000;53.759;30.083
0.39250;14269	-6079	5343;-233	-417	14;6	263	-173;4109014.000;53.759;30.083
0.39700;14284	-6044	5314;-234	-417	16;-29	266	-164;4109014.000;53.759;30.083
0.40150;14346	-6025	5256;-234	-417	16;-13	218	-145;4109014.000;53.759;30.083
0.40600;14329	-6068	5302;-236	-409	21;-23	286	-151;4109014.000;53.759;30.083
0.41050;14351	-6049	5271;-236	-409	21;-67	192	-228;4109014.000;53.759;30.083
0.41500;14340	-6101	5305;-236	-411	17;-41	263	-190;4108994.000;53.759;30.083
0.41950;14314	-6163	5324;-236	-411	17;9	247	-175;4108994.000;53.759;30.083
0.42400;14257	-6145	5345;-230	-409	14;21	260	-248;4108994.000;53.759;30.083
0.42850;14212	-6189	5308;-230	-409	14;31	273	-200;4108994.000;53.759;30.083
0.43300;14214	-6158	5408;-234	-407	13;50	182	-181;4108994.000;53.759;30.083
0.43750;14189	-6135	5398;-234	-407	13;109	240	-273;4108994.000;53.759;30.083
0.44200;14147	-6122	5363;-231	-411	16;97	163	-228;4108994.000;53.759;30.083
0.44650;14098	-6153	5351;-231	-411	16;119	201	-174;4108994.000;53.759;30.083
0.45100;14154	-6116	5341;-232	-413	14;150	192	-306;4108968.000;53.759;30.083
0.45550;14175	-6071	5302;-232	-413	14;87	182	-235;4108968.000;53.759;30.083
0.46000;14185	-6043	5209;-234	-412	16;97	175	-283;4108968.000;53.759;30.083
0.46450;14216	-6099	5254;-234	-412	16;44	169	-271;4108968.000;53.759;30.083
0.46900;14231	-6051	5279;-230	-410	15;62	273	-277;4108968.000;53.974;30.083
0.47350;14219	-6106	5192;-230	-410	15;25	250	-156;4108968.000;53.974;30.083
0.47800;14243	-6110	5178;-237	-415	17;-20	298	-178;4108968.000;53.974;30.083
0.48250;14245	-6108	5208;-237	-415	17;-29	289	-232;4108968.000;53.974;30.083
0.48700;14308	-6194	5264;-234	-407	14;-23	270	-206;4108965.000;53.974;30.083
0.49150;14334	-6171	5238;-234	-407	14;-61	292	-196;4108965.000;53.974;30.083
0.49600;14288	-6220	5204;-235	-409	18;-64	273	-193;4108965.000;53.974;30.083
0.50050;14202	-6232	5272;-235	-409	18;-76	266	-222;4108965.000;53.974;30.083
0.50500;14246	-6280	5310;-234	-409	15;-95	253	-216;4108965.000;53.974;30.083
0.50950;14233	-6244	5306;-234	-409	15;-7	250	-207;4108965.000;53.974;30.083
