Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-15752	4568	120;-278	-49	120;-370	84	-386;4089822.000;57.915;30.134
0.00850;-15740	4564	86;-283	-46	119;-399	113	-352;4089822.000;57.915;30.134
0.01250;-15715	4556	0;-283	-46	119;-418	65	-368;4089822.000;57.915;30.134
0.01650;-15753	4490	69;-283	-43	115;-428	101	-312;4089822.000;57.915;30.134
0.02050;-15679	4483	56;-283	-43	115;-447	120	-443;4089822.000;57.915;30.096
0.02450;-15741	4491	0;-283	-45	112;-460	78	-446;4089822.000;57.915;30.096
0.02850;-15715	4447	33;-283	-45	112;-498	59	-345;4089935.000;57.915;30.096
0.03250;-15718	4438	-17;-289	-46	115;-514	120	-386;4089935.000;57.915;30.096
0.03700;-15768	4370	-51;-289	-46	115;-473	91	-367;4089935.000;57.915;30.096
0.04150;-15732	4339	-91;-284	-46	111;-479	136	-408;4089935.000;57.915;30.096
0.04600;-15758	4329	-49;-284	-46	111;-466	126	-367;4089935.000;57.915;30.096
0.05050;-15806	4284	-63;-286	-45	113;-463	178	-449;4089935.000;57.852;30.096
0.05500;-15824	4295	-87;-286	-45	113;-447	145	-386;4089935.000;57.852;30.096
0.05950;-15841	4262	-118;-284	-52	109;-437	97	-352;4089935.000;57.852;30.096
0.06400;-15860	4314	-95;-284	-52	109;-421	130	-396;4089900.000;57.852;30.096
0.06850;-15783	4264	-132;-285	-46	115;-357	133	-361;4089900.000;57.852;30.096
0.07300;-15819	4224	-135;-285	-46	115;-354	91	-367;4089900.000;57.852;30.096
0.07750;-15790	4221	-98;-284	-41	110;-344	78	-355;4089900.000;57.852;30.096
0.08200;-15800	4205	-121;-284	-41	110;-325	126	-320;4089900.000;57.852;30.096
0.08650;-15814	4163	-107;-287	-47	112;-290	142	-367;4089900.000;57.852;30.096
0.09100;-15781	4221	-162;-287	-47	112;-251	181	-323;4089900.000;57.852;30.096
0.09550;-15818	4210	-121;-287	-47	113;-232	213	-323;4089900.000;57.852;30.096
0.10000;-15871	4227	-148;-287	-47	113;-222	146	-345;4089842.000;57.852;30.096
0.10450;-15825	4265	-114;-284	-45	110;-174	133	-323;4089842.000;57.852;30.096
0.10900;-15857	4294	-27;-284	-45	110;-235	117	-326;4089842.000;57.852;30.096
0.11350;-15859	4300	-22;-282	-42	114;-235	117	-339;4089842.000;57.852;30.096
0.11800;-15859	4286	-13;-282	-42	114;-203	194	-320;4089842.000;57.852;30.096
0.12250;-15813	4383	16;-280	-38	114;-190	181	-339;4089842.000;57.852;30.096
0.12700;-15879	4328	7;-280	-38	114;-197	187	-270;4089842.000;57.852;30.096
0.13150;-15922	4357	29;-283	-48	113;-203	123	-349;4089842.000;57.852;30.096
0.13600;-15877	4392	-1;-283	-48	113;-213	139	-377;4089935.000;57.852;30.096
0.14050;-15900	4352	-35;-285	-40	116;-232	146	-258;4089935.000;57.852;30.096
0.14500;-15921	4415	-20;-285	-40	116;-213	136	-339;4089935.000;57.852;30.134
0.14950;-15841	4510	-53;-286	-44	110;-219	123	-245;4089935.000;57.852;30.134
0.15400;-15820	4422	-16;-286	-44	110;-203	97	-339;4089935.000;57.852;30.134
0.15850;-15843	4463	-70;-281	-41	114;-216	62	-254;4089935.000;57.852;30.134
0.16300;-15953	4523	-68;-281	-41	114;-193	104	-324;4089935.000;57.852;30.134
0.16750;-15910	4495	-125;-287	-43	114;-174	113	-324;4089935.000;57.852;30.134
0.17200;-15917	4513	-86;-287	-43	114;-197	85	-293;4090086.000;57.852;30.134
0.17650;-15953	4455	-100;-280	-48	109;-177	69	-340;4090086.000;57.845;30.134
0.18100;-15903	4491	-112;-280	-48	109;-229	43	-292;4090086.000;57.845;30.134
0.18550;-15904	4505	-31;-289	-46	112;-216	-5	-308;4090086.000;57.845;30.134
0.19000;-15848	4471	-33;-289	-46	112;-226	59	-285;4090086.000;57.845;30.134
0.19450;-15929	4450	-43;-280	-46	113;-232	40	-320;4090086.000;57.845;30.134
0.19900;-15868	4411	2;-280	-46	113;-223	1	-267;4090086.000;57.845;30.134
0.20350;-15787	4405	-7;-285	-43	112;-232	4	-342;4090086.000;57.845;30.134
0.20800;-15800	4393	-24;-285	-43	112;-210	40	-320;4090081.000;57.845;30.134
0.21250;-15849	4412	-59;-282	-47	110;-229	52	-367;4090081.000;57.845;30.134
0.21700;-15858	4355	-9;-279	-43	114;-232	110	-267;4090081.000;57.845;30.134
0.22150;-15822	4410	-27;-279	-43	114;-277	27	-323;4090081.000;57.845;30.134
0.22600;-15877	4314	-30;-286	-43	110;-280	-24	-308;4090081.000;57.845;30.134
0.23050;-15863	4342	-37;-286	-43	110;-293	-50	-301;4090081.000;57.845;30.134
0.23500;-15815	4304	-13;-290	-44	112;-306	-82	-295;4090081.000;57.845;30.134
0.23950;-15743	4310	2;-290	-44	112;-277	-82	-329;4090081.000;57.845;30.134
0.24400;-15721	4213	-32;-284	-47	114;-255	-98	-326;4090096.000;57.845;30.134
0.24850;-15663	4219	-94;-284	-47	114;-296	-143	-257;4090096.000;57.845;30.134
0.25300;-15625	4181	-115;-283	-42	113;-299	-111	-348;4090096.000;57.845;30.134
0.25750;-15649	4152	-176;-283	-42	113;-271	-25	-251;4090096.000;57.845;30.134
0.26200;-15656	4148	-238;-292	-45	109;-258	40	-342;4090096.000;57.845;30.134
0.26650;-15660	4080	-258;-292	-45	109;-264	158	-254;4090096.000;57.845;30.134
0.27100;-15774	4121	-230;-286	-39	112;-225	152	-352;4090096.000;57.845;30.153
0.27550;-15823	4193	-333;-286	-39	112;-142	171	-342;4090096.000;57.845;30.153
0.28000;-15889	4214	-321;-286	-44	115;-139	191	-339;4090181.000;57.845;30.153
