Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-14390	5675	4265;-201	87	-148;-1108	823	1171;4107389.000;50.287;32.890
0.00850;-14304	5641	4292;-200	88	-148;-1115	706	1143;4107389.000;50.287;32.890
0.01250;-14309	5556	4230;-200	88	-148;-1021	742	1098;4107389.000;50.287;32.890
0.01650;-14303	5508	4227;-197	89	-157;-983	742	1078;4107389.000;50.287;32.890
0.02050;-14267	5459	4173;-197	89	-157;-910	696	928;4107389.000;50.287;32.890
0.02450;-14206	5431	4191;-197	88	-150;-889	716	926;4107389.000;50.287;32.890
0.02850;-14252	5501	4149;-197	88	-150;-823	654	756;4107389.000;50.287;32.890
0.03250;-14131	5552	4053;-197	89	-154;-839	671	650;4107389.000;50.287;32.890
0.03700;-14203	5581	4082;-198	90	-147;-751	725	481;4107389.000;50.287;32.890
0.04150;-14204	5570	4079;-198	90	-147;-782	657	372;4107389.000;50.287;32.890
0.04600;-14198	5597	4067;-203	90	-155;-826	602	237;4107389.000;50.287;32.890
0.05050;-14265	5565	4049;-203	90	-155;-782	631	14;4107389.000;50.287;32.890
0.05500;-14263	5563	4075;-197	91	-150;-854	583	-76;4107389.000;50.287;32.890
0.05950;-14245	5622	4068;-197	91	-150;-949	648	-175;4107389.000;50.287;32.890
0.06400;-14285	5623	4035;-195	91	-150;-964	628	-441;4107390.000;50.287;32.890
0.06850;-14227	5630	4015;-195	91	-150;-920	761	-598;4107390.000;50.287;32.908
0.07300;-14329	5645	3979;-198	87	-145;-936	615	-713;4107390.000;50.287;32.908
0.07750;-14291	5604	3980;-198	87	-145;-1059	703	-918;4107390.000;50.287;32.908
0.08200;-14347	5572	3909;-197	86	-148;-965	683	-1037;4107390.000;50.287;32.908
0.08650;-14433	5553	3890;-197	86	-148;-920	784	-1155;4107390.000;50.287;32.908
0.09100;-14476	5667	3943;-199	87	-142;-1005	722	-1351;4107390.000;50.287;32.908
0.09550;-14562	5634	3873;-199	87	-142;-1002	706	-1396;4107397.000;50.287;32.908
0.10000;-14602	5589	3839;-200	92	-144;-961	787	-1479;4107397.000;50.247;32.908
0.10450;-14733	5613	3834;-200	92	-144;-888	713	-1534;4107397.000;50.247;32.908
0.10900;-14810	5595	3743;-196	93	-141;-876	680	-1553;4107397.000;50.247;32.908
0.11350;-14749	5591	3733;-196	93	-141;-870	612	-1601;4107397.000;50.247;32.908
0.11800;-14859	5767	3772;-197	95	-148;-841	586	-1607;4107397.000;50.247;32.908
0.12250;-14899	5822	3768;-197	95	-148;-756	492	-1630;4107397.000;50.247;32.908
0.12700;-14928	5939	3837;-194	89	-149;-719	427	-1571;4107397.000;50.247;32.908
0.13150;-15029	5966	3791;-194	89	-149;-716	378	-1504;4107380.000;50.247;32.908
0.13600;-15030	6061	3805;-196	91	-152;-691	346	-1546;4107380.000;50.247;32.908
0.14050;-15141	6112	3789;-196	91	-152;-660	333	-1552;4107380.000;50.247;32.908
0.14500;-15108	6143	3862;-193	95	-151;-672	249	-1507;4107380.000;50.247;32.908
0.14950;-15213	6111	3803;-193	95	-151;-700	258	-1533;4107380.000;50.247;32.908
0.15400;-15178	6194	3832;-197	85	-146;-616	177	-1613;4107380.000;50.247;32.908
0.15850;-15311	6250	3784;-197	85	-146;-537	194	-1526;4107380.000;50.247;32.908
0.16300;-15300	6279	3772;-194	95	-147;-559	80	-1568;4107380.000;50.247;32.908
0.16750;-15329	6247	3734;-194	95	-147;-531	125	-1603;4107398.000;50.247;32.908
0.17200;-15358	6225	3680;-193	93	-145;-436	80	-1446;4107398.000;50.247;32.908
0.17650;-15340	6251	3708;-193	93	-145;-370	129	-1494;4107398.000;50.247;32.908
0.18100;-15343	6154	3681;-191	93	-147;-317	61	-1514;4107398.000;50.247;32.908
0.18550;-15407	6244	3683;-191	93	-147;-329	-37	-1312;4107398.000;50.247;32.908
0.19000;-15381	6213	3628;-192	96	-146;-270	-53	-1350;4107398.000;50.247;32.908
0.19450;-15308	6244	3657;-192	96	-146;-216	-66	-1261;4107398.000;50.247;32.890
0.19900;-15284	6319	3669;-191	85	-146;-131	-37	-1069;4107398.000;50.247;32.890
0.20350;-15236	6340	3639;-191	85	-146;-144	-30	-937;4107349.000;50.247;32.890
0.20800;-15237	6418	3622;-190	90	-144;-46	-66	-896;4107349.000;50.247;32.890
0.21250;-15257	6444	3610;-190	90	-144;10	-79	-685;4107349.000;50.247;32.890
0.21700;-15244	6426	3727;-195	84	-151;4	-34	-595;4107349.000;50.247;32.890
