Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-15887	4196	2458;-409	16	-144;125	92	-177;4107188.000;56.440;30.394
0.00850;-15885	4172	2588;-409	16	-144;209	85	-197;4107188.000;56.440;30.394
0.01250;-15918	4185	2433;-415	16	-145;74	79	-219;4107188.000;56.440;30.394
0.01650;-15907	4201	2468;-415	16	-145;165	37	-216;4107188.000;56.440;30.394
0.02050;-15769	4170	2435;-411	16	-144;175	-25	-177;4107188.000;56.440;30.394
0.02450;-15858	4172	2478;-411	16	-144;146	43	-145;4107188.000;56.440;30.394
0.02850;-15799	4082	2498;-411	21	-146;150	11	-132;4107158.000;56.440;30.394
0.03250;-15730	4161	2444;-411	21	-146;194	46	-152;4107158.000;56.440;30.394
0.03700;-15859	4136	2436;-414	19	-140;140	33	-140;4107158.000;56.440;30.394
0.04150;-15794	4126	2370;-414	19	-140;143	14	-121;4107158.000;56.440;30.394
0.04600;-15827	4128	2384;-415	19	-147;134	-28	-146;4107158.000;56.440;30.394
0.05050;-15789	4091	2376;-415	19	-147;200	101	-101;4107158.000;56.440;30.394
0.05500;-15807	4115	2339;-413	18	-140;181	-28	-97;4107158.000;56.440;30.358
0.05950;-15806	4134	2352;-413	18	-140;178	-47	-72;4107158.000;56.440;30.358
0.06400;-15808	4097	2405;-415	18	-142;206	-73	-81;4107121.000;56.440;30.358
0.06850;-15809	4123	2438;-415	18	-142;225	11	-65;4107121.000;56.440;30.358
0.07300;-15818	4041	2391;-411	18	-143;197	-28	-68;4107121.000;56.440;30.358
0.07750;-15807	4157	2388;-411	18	-143;125	11	-91;4107121.000;56.440;30.358
0.08200;-15749	4104	2366;-412	22	-141;175	-12	-88;4107121.000;56.440;30.358
0.08650;-15834	4101	2350;-412	22	-141;200	-9	-56;4107121.000;56.440;30.358
0.09100;-15855	4037	2317;-420	19	-144;184	-9	-81;4107121.000;56.440;30.358
0.09550;-15858	4012	2352;-420	19	-144;200	4	-69;4107121.000;56.440;30.358
0.10000;-15846	4001	2397;-412	22	-145;247	-35	-130;4107145.000;56.440;30.358
0.10450;-15911	3988	2331;-412	22	-145;210	-58	-132;4107145.000;56.440;30.358
0.10900;-15906	4070	2326;-409	22	-143;241	43	-116;4107145.000;56.440;30.358
0.11350;-15843	4082	2332;-409	22	-143;241	14	-101;4107145.000;56.440;30.358
0.11800;-15803	4072	2308;-411	19	-140;206	-12	-177;4107145.000;56.440;30.358
0.12250;-15811	4054	2344;-411	19	-140;156	-51	-183;4107145.000;56.440;30.358
0.12700;-15829	4057	2317;-411	20	-140;153	-15	-128;4107145.000;56.440;30.358
0.13150;-15779	4075	2285;-411	20	-140;222	73	-196;4107145.000;56.440;30.358
0.13600;-15847	4054	2284;-407	15	-140;216	50	-208;4107143.000;56.440;30.358
0.14050;-15823	4056	2318;-407	15	-140;184	72	-139;4107143.000;56.440;30.358
0.14500;-15779	4082	2291;-415	16	-145;159	98	-267;4107143.000;56.440;30.358
0.14950;-15798	4044	2318;-415	16	-145;181	118	-277;4107143.000;56.440;30.358
0.15400;-15797	4047	2386;-412	18	-149;159	166	-178;4107143.000;56.440;30.358
0.15850;-15769	4078	2344;-412	18	-149;131	108	-247;4107143.000;56.440;30.358
0.16300;-15819	4087	2397;-415	18	-143;131	59	-218;4107143.000;56.440;30.358
0.16750;-15794	4066	2362;-415	18	-143;128	118	-208;4107143.000;56.440;30.358
0.17200;-15761	4088	2386;-410	21	-144;112	92	-196;4107171.000;56.440;30.358
0.17650;-15788	4055	2317;-410	21	-144;153	143	-232;4107171.000;56.440;30.358
0.18100;-15814	4011	2314;-416	14	-146;43	66	-206;4107171.000;56.440;30.358
