Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-16265	1955	1788;-171	76	-139;-59	213	-89;4107442.000;54.736;30.890
0.00850;-16428	1918	1772;-171	76	-139;-62	184	-108;4107442.000;54.736;30.890
0.01250;-16378	1881	1771;-173	74	-142;-81	210	-101;4107442.000;54.736;30.890
0.01650;-16454	1917	1801;-173	74	-142;-9	259	-232;4107442.000;54.736;30.890
0.02050;-16398	1876	1725;-170	78	-152;-28	275	-149;4107442.000;54.736;30.890
0.02450;-16379	1870	1749;-170	78	-152;-43	210	-152;4107442.000;54.736;30.890
0.02850;-16327	1829	1775;-165	74	-152;42	239	-194;4107442.000;54.736;30.890
0.03250;-16347	1825	1765;-165	74	-152;51	220	-239;4107461.000;54.736;30.890
0.03700;-16321	1899	1761;-167	79	-149;23	249	-207;4107461.000;54.736;30.890
0.04150;-16334	1958	1755;-167	79	-149;23	210	-230;4107461.000;54.736;30.890
0.04600;-16301	1985	1859;-168	76	-143;20	236	-204;4107461.000;54.736;30.890
0.05050;-16341	2010	1777;-168	76	-143;42	317	-214;4107461.000;54.736;30.890
0.05500;-16430	1987	1770;-170	70	-148;-21	284	-207;4107461.000;54.736;30.890
0.05950;-16377	2046	1742;-170	70	-148;-18	236	-217;4107461.000;54.736;30.890
0.06400;-16326	1948	1745;-171	72	-143;-46	203	-185;4107461.000;54.736;30.890
0.06850;-16344	1981	1771;-171	72	-143;17	252	-223;4107470.000;54.736;30.890
0.07300;-16346	1890	1741;-171	70	-140;-27	223	-185;4107470.000;54.773;30.890
0.07750;-16394	1956	1822;-171	70	-140;-40	200	-195;4107470.000;54.773;30.890
0.08200;-16401	1946	1771;-171	68	-144;-68	210	-204;4107470.000;54.773;30.890
0.08650;-16425	1951	1817;-171	68	-144;-81	226	-197;4107470.000;54.773;30.890
0.09100;-16397	1902	1774;-167	77	-142;-59	281	-169;4107470.000;54.773;30.890
0.09550;-16389	1931	1789;-167	77	-142;-65	223	-223;4107470.000;54.773;30.890
0.10000;-16379	1912	1777;-168	76	-142;-109	236	-223;4107470.000;54.773;30.890
0.10450;-16448	1955	1805;-168	76	-142;-59	246	-294;4107485.000;54.773;30.890
0.10900;-16472	1963	1842;-172	78	-143;-15	252	-204;4107485.000;54.773;30.890
0.11350;-16448	1972	1839;-172	78	-143;-6	242	-251;4107485.000;54.773;30.890
0.11800;-16461	1882	1869;-166	77	-146;-97	229	-238;4107485.000;54.773;30.890
0.12250;-16450	1944	1841;-166	77	-146;-37	246	-306;4107485.000;54.773;30.890
0.12700;-16431	1938	1878;-168	70	-146;-131	223	-254;4107485.000;54.773;30.890
0.13150;-16417	1914	1851;-168	70	-146;-100	194	-325;4107485.000;54.773;30.890
0.13600;-16430	1914	1864;-170	70	-145;-65	226	-293;4107485.000;54.773;30.890
0.14050;-16410	2032	1840;-170	70	-145;-84	203	-283;4107506.000;54.773;30.890
0.14500;-16408	1919	1853;-165	75	-140;-172	181	-219;4107506.000;54.773;30.890
0.14950;-16391	1957	1826;-165	75	-140;-66	148	-190;4107506.000;54.773;30.890
0.15400;-16420	1990	1941;-166	72	-145;-72	165	-245;4107506.000;54.773;30.890
0.15850;-16406	1986	1877;-166	72	-145;-81	216	-267;4107506.000;54.773;30.890
0.16300;-16320	1957	1915;-167	69	-142;-87	207	-107;4107506.000;54.773;30.890
0.16750;-16335	1976	1914;-167	69	-142;-34	171	-136;4107506.000;54.773;30.890
0.17200;-16280	1954	1918;-164	73	-144;-34	126	-120;4107436.000;54.773;30.890
0.17650;-16279	1982	1916;-164	73	-144;-65	64	-206;4107436.000;54.773;30.890
0.18100;-16303	1985	1827;-168	75	-147;-93	100	-116;4107436.000;54.773;30.890
0.18550;-16330	2027	1881;-168	75	-147;-94	142	-120;4107436.000;54.773;30.890
0.19000;-16293	1944	1847;-171	75	-143;-65	152	-213;4107436.000;54.773;30.890
0.19450;-16323	1917	1852;-171	75	-143;-81	64	-235;4107436.000;54.773;30.890
0.19900;-16357	2047	1849;-171	79	-144;-109	67	-140;4107436.000;54.763;30.890
0.20350;-16359	1997	1839;-171	79	-144;-59	74	-297;4107436.000;54.763;30.890
0.20800;-16298	1973	1826;-167	77	-147;-90	135	-255;4107449.000;54.763;30.890
0.21250;-16266	1972	1855;-167	77	-147;-9	203	-284;4107449.000;54.763;30.890
0.21700;-16341	1927	1801;-173	75	-143;-68	142	-249;4107449.000;54.763;30.890
0.22150;-16331	1971	1779;-171	76	-143;-75	151	-201;4107449.000;54.763;30.890
0.22600;-16302	1956	1804;-171	76	-143;10	177	-229;4107449.000;54.763;30.890
0.23050;-16308	1937	1846;-170	67	-146;-5	184	-261;4107449.000;54.763;30.890
0.23500;-16335	1961	1769;-170	67	-146;7	97	-197;4107449.000;54.763;30.890
0.23950;-16333	1936	1814;-167	75	-151;42	57	-184;4107449.000;54.763;30.890
0.24400;-16323	1956	1769;-167	75	-151;70	87	-148;4107402.000;54.763;30.890
0.24850;-16294	2019	1688;-166	78	-149;76	132	-174;4107402.000;54.763;30.890
0.25300;-16311	1946	1726;-166	78	-149;32	145	-148;4107402.000;54.763;30.890
0.25750;-16339	1948	1674;-171	74	-146;92	106	-40;4107402.000;54.763;30.890
0.26200;-16382	1932	1648;-171	74	-146;92	126	-110;4107402.000;54.763;30.890
0.26650;-16415	1922	1705;-164	73	-151;73	148	-168;4107402.000;54.763;30.890
0.27100;-16382	1928	1741;-164	73	-151;51	122	-91;4107402.000;54.763;30.890
0.27550;-16465	1913	1717;-170	76	-148;29	129	-142;4107402.000;54.763;30.890
0.28000;-16358	1879	1762;-170	76	-148;-43	87	-164;4107458.000;54.763;30.890
0.28450;-16337	1919	1706;-173	75	-144;23	129	-229;4107458.000;54.763;30.890
0.28900;-16332	1943	1667;-173	75	-144;1	70	-185;4107458.000;54.763;30.890
0.29350;-16310	2004	1687;-165	80	-149;-43	129	-197;4107458.000;54.763;30.890
0.29800;-16338	1970	1727;-165	80	-149;-21	109	-220;4107458.000;54.763;30.908
0.30250;-16233	1925	1654;-170	72	-152;-59	119	-232;4107458.000;54.763;30.908
0.30700;-16194	1917	1673;-170	72	-152;-53	113	-146;4107458.000;54.763;30.908
0.31150;-16214	1933	1644;-173	74	-142;-62	135	-213;4107458.000;54.763;30.908
0.31600;-16208	1901	1683;-173	74	-142;-31	229	-209;4107389.000;54.763;30.908
0.32050;-16237	1903	1686;-160	73	-145;4	171	-222;4107389.000;54.763;30.908
0.32500;-16186	1925	1646;-160	73	-145;-50	271	-149;4107389.000;54.683;30.908
0.32950;-16282	1941	1699;-175	73	-144;-12	203	-152;4107389.000;54.683;30.908
0.33400;-16272	1963	1613;-175	73	-144;-103	197	-212;4107389.000;54.683;30.908
0.33850;-16258	1969	1636;-172	75	-144;-21	239	-197;4107389.000;54.683;30.908
0.34300;-16337	1912	1575;-172	75	-144;-78	213	-110;4107389.000;54.683;30.908
0.34750;-16318	1868	1678;-168	72	-148;-78	181	-203;4107406.000;54.683;30.908
0.35200;-16325	1901	1664;-168	72	-148;-97	181	-180;4107406.000;54.683;30.908
0.35650;-16279	1918	1656;-168	72	-141;-31	291	-187;4107406.000;54.683;30.908
0.36100;-16324	1887	1683;-168	72	-141;-94	181	-155;4107406.000;54.683;30.908
0.36550;-16363	1864	1717;-167	73	-146;-27	271	-196;4107406.000;54.683;30.908
0.37000;-16225	1892	1704;-167	73	-146;-46	213	-139;4107406.000;54.683;30.908
0.37450;-16306	1901	1622;-168	77	-148;-9	219	-242;4107406.000;54.683;30.908
0.37900;-16270	1892	1678;-168	77	-148;-43	258	-140;4107406.000;54.683;30.908
0.38350;-16203	1866	1602;-169	76	-150;7	268	-114;4107421.000;54.683;30.908
0.38800;-16257	1863	1689;-169	76	-150;26	259	-251;4107421.000;54.683;30.908
0.39250;-16262	1887	1716;-165	74	-146;98	278	-225;4107421.000;54.683;30.908
0.39700;-16336	1858	1649;-165	74	-146;101	298	-152;4107421.000;54.683;30.908
0.40150;-16302	1928	1699;-171	75	-148;136	326	-226;4107421.000;54.683;30.908
0.40600;-16256	1887	1663;-171	75	-148;139	333	-219;4107421.000;54.683;30.908
0.41050;-16357	1863	1630;-169	79	-140;180	340	-293;4107421.000;54.683;30.908
0.41500;-16327	1930	1658;-169	79	-140;105	369	-216;4107421.000;54.683;30.908
0.41950;-16300	1980	1628;-172	79	-147;123	297	-276;4107431.000;54.683;30.908
0.42400;-16287	2022	1681;-172	79	-147;111	317	-197;4107431.000;54.683;30.945
0.42850;-16342	2055	1692;-164	71	-144;111	320	-286;4107431.000;54.683;30.945
0.43300;-16357	2065	1692;-164	71	-144;73	369	-219;4107431.000;54.683;30.945
0.43750;-16386	2087	1726;-170	79	-146;32	336	-238;4107431.000;54.683;30.945
0.44200;-16313	2055	1735;-171	78	-145;-28	336	-203;4107431.000;54.683;30.945
0.44650;-16316	1990	1761;-171	78	-145;-43	330	-273;4107431.000;54.683;30.945
0.45100;-16316	2058	1782;-166	77	-149;-112	310	-190;4107431.000;54.683;30.945
0.45550;-16280	1978	1777;-166	77	-149;-103	262	-222;4107404.000;54.822;30.945
0.46000;-16310	1967	1683;-169	77	-142;-144	197	-264;4107404.000;54.822;30.945
0.46450;-16275	1927	1688;-169	77	-142;-134	366	-248;4107404.000;54.822;30.945
0.46900;-16319	1988	1758;-169	74	-144;-65	317	-212;4107404.000;54.822;30.945
0.47350;-16378	1938	1706;-169	74	-144;-78	356	-168;4107404.000;54.822;30.945
0.47800;-16354	1923	1764;-167	76	-146;-62	398	-184;4107404.000;54.822;30.945
0.48250;-16312	1911	1807;-167	76	-146;-12	333	-341;4107404.000;54.822;30.945
0.48700;-16343	1918	1815;-167	77	-142;-56	356	-229;4107404.000;54.822;30.945
0.49150;-16383	1930	1783;-167	77	-142;7	395	-226;4107383.000;54.822;30.945
0.49600;-16366	1888	1775;-168	75	-141;60	301	-273;4107383.000;54.822;30.945
0.50050;-16273	1990	1784;-168	75	-141;85	427	-286;4107383.000;54.822;30.945
0.50500;-16375	1953	1803;-171	74	-153;57	398	-200;4107383.000;54.822;30.945
0.50950;-16410	2049	1769;-171	74	-153;120	404	-219;4107383.000;54.822;30.945
0.51400;-16346	2029	1888;-165	77	-142;114	398	-171;4107383.000;54.822;30.945
0.51850;-16518	2078	1844;-165	77	-142;89	382	-161;4107383.000;54.822;30.945
0.52300;-16427	2055	1809;-166	75	-143;67	340	-212;4107378.000;54.822;30.945
