Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;15692	-3892	1963;-313	-384	-110;-15	222	-141;4109075.000;55.241;29.202
0.00850;15721	-3948	1946;-313	-384	-110;1	271	-263;4109075.000;55.241;29.202
0.01250;15680	-3948	1959;-315	-380	-114;20	245	-186;4109075.000;55.241;29.202
0.01650;15707	-3915	1952;-315	-380	-114;38	158	-125;4109075.000;55.241;29.202
0.02050;15757	-3911	1992;-310	-380	-112;20	203	-185;4109075.000;55.241;29.202
0.02450;15748	-3878	1974;-310	-380	-112;7	245	-211;4109075.000;55.241;29.202
0.02850;15655	-3903	2041;-313	-383	-117;17	274	-131;4109075.000;55.241;29.202
0.03250;15660	-3974	1984;-313	-383	-117;-2	154	-124;4109078.000;55.241;29.202
0.03700;15667	-3936	1962;-307	-381	-113;39	277	-160;4109078.000;55.241;29.202
0.04150;15616	-3807	2020;-307	-381	-113;58	329	-151;4109078.000;55.241;29.202
0.04600;15610	-3826	2017;-311	-384	-112;39	281	-164;4109078.000;55.241;29.202
0.05050;15618	-3841	1993;-311	-384	-112;-2	291	-151;4109078.000;55.241;29.202
0.05500;15654	-3818	1962;-306	-380	-108;33	271	-218;4109078.000;55.241;29.202
0.05950;15596	-3890	1971;-306	-380	-108;36	271	-148;4109078.000;55.241;29.202
0.06400;15597	-3892	1945;-312	-381	-113;39	265	-189;4109048.000;55.241;29.202
0.06850;15659	-3923	1945;-312	-381	-113;39	222	-202;4109048.000;55.241;29.202
0.07300;15623	-3893	1917;-311	-388	-110;80	248	-131;4109048.000;55.241;29.202
0.07750;15544	-3876	1933;-311	-388	-110;74	297	-144;4109048.000;55.241;29.202
0.08200;15563	-3869	1950;-313	-378	-109;136	255	-237;4109048.000;55.189;29.202
0.08650;15524	-3804	1924;-313	-378	-109;26	265	-132;4109048.000;55.189;29.202
0.09100;15560	-3782	1970;-315	-386	-114;32	248	-148;4109048.000;55.189;29.202
0.09550;15594	-3860	1982;-315	-386	-114;33	190	-141;4109048.000;55.189;29.202
0.10000;15578	-3848	1899;-319	-377	-114;32	222	-138;4109031.000;55.189;29.202
0.10450;15638	-3930	1964;-319	-377	-114;30	154	-125;4109031.000;55.189;29.202
0.10900;15647	-3928	1887;-307	-377	-112;45	226	-144;4109031.000;55.189;29.202
0.11350;15672	-3956	1884;-307	-377	-112;39	216	-124;4109031.000;55.189;29.202
0.11800;15666	-3991	1871;-313	-380	-113;32	232	-70;4109031.000;55.189;29.202
0.12250;15715	-4000	1847;-313	-380	-113;57	206	-124;4109031.000;55.189;29.202
0.12700;15713	-4026	1849;-308	-383	-117;77	193	-41;4109031.000;55.189;29.202
0.13150;15712	-3924	1838;-308	-383	-117;127	278	-124;4109031.000;55.189;29.202
0.13600;15762	-3914	1900;-312	-382	-116;114	245	-160;4109042.000;55.189;29.202
0.14050;15684	-3936	1906;-312	-382	-116;142	287	-35;4109042.000;55.189;29.202
0.14500;15729	-3882	1869;-310	-383	-114;117	193	-89;4109042.000;55.189;29.202
0.14950;15730	-3897	1805;-310	-383	-111;155	261	-95;4109042.000;55.189;29.202
0.15400;15757	-3902	1839;-310	-383	-111;161	223	-44;4109042.000;55.189;29.202
0.15850;15731	-3883	1945;-312	-376	-116;158	177	-87;4109042.000;55.189;29.202
0.16300;15738	-3877	1951;-312	-376	-116;171	196	-109;4109042.000;55.189;29.202
0.16750;15705	-3856	1953;-313	-382	-111;145	141	-61;4109042.000;55.189;29.202
0.17200;15730	-3839	1955;-313	-382	-111;133	239	-61;4109073.000;55.189;29.202
0.17650;15639	-3805	1964;-311	-379	-109;117	184	-121;4109073.000;55.189;29.202
0.18100;15675	-3852	2000;-311	-379	-109;139	197	-105;4109073.000;55.189;29.220
0.18550;15647	-3831	1973;-314	-380	-109;133	197	-105;4109073.000;55.189;29.220
0.19000;15669	-3792	2015;-314	-380	-109;108	239	-105;4109073.000;55.189;29.220
0.19450;15699	-3811	2003;-317	-378	-112;108	210	-105;4109073.000;55.189;29.220
0.19900;15682	-3825	2007;-317	-378	-112;120	148	-89;4109073.000;55.189;29.220
0.20350;15688	-3771	2025;-313	-382	-120;133	180	-163;4109073.000;55.189;29.220
0.20800;15721	-3794	2022;-313	-382	-120;86	171	-99;4109039.000;55.182;29.220
0.21250;15661	-3801	2007;-311	-387	-118;89	187	-84;4109039.000;55.182;29.220
0.21700;15661	-3809	1918;-311	-387	-118;117	222	-119;4109039.000;55.182;29.220
0.22150;15714	-3816	1956;-309	-378	-116;139	235	-109;4109039.000;55.182;29.220
0.22600;15763	-3870	2005;-309	-378	-116;146	177	-128;4109039.000;55.182;29.220
0.23050;15718	-3921	1960;-311	-380	-118;130	203	-135;4109039.000;55.182;29.220
0.23500;15698	-3874	2004;-311	-380	-118;161	161	-138;4109039.000;55.182;29.220
0.23950;15677	-3875	1972;-313	-380	-110;149	193	-129;4109038.000;55.182;29.220
0.24400;15707	-3863	1970;-313	-380	-110;174	203	-145;4109038.000;55.182;29.220
0.24850;15648	-3884	2009;-319	-381	-116;108	216	-64;4109038.000;55.182;29.220
0.25300;15694	-3922	2012;-319	-381	-116;136	222	-74;4109038.000;55.182;29.220
0.25750;15653	-3949	2007;-315	-381	-111;142	167	-144;4109038.000;55.182;29.220
0.26200;15557	-3970	2032;-315	-381	-111;161	248	-58;4109038.000;55.182;29.220
0.26650;15638	-3873	2027;-306	-388	-112;158	255	-67;4109038.000;55.182;29.220
0.27100;15607	-3957	2004;-306	-388	-112;164	284	-190;4109038.000;55.182;29.220
0.27550;15579	-3894	1977;-312	-379	-117;142	265	-80;4109042.000;55.182;29.220
0.28000;15580	-3859	1954;-312	-379	-117;152	207	-38;4109042.000;55.182;29.220
0.28450;15565	-3895	1947;-316	-386	-116;86	222	-169;4109042.000;55.182;29.220
0.28900;15632	-3941	2042;-316	-386	-116;108	200	-121;4109042.000;55.182;29.220
0.29350;15574	-3928	2006;-315	-379	-119;105	216	-32;4109042.000;55.182;29.220
0.29800;15555	-3927	1961;-315	-379	-119;98	203	-211;4109042.000;55.182;29.220
0.30250;15603	-3895	1951;-317	-383	-108;67	255	-160;4109042.000;55.182;29.220
0.30700;15510	-3953	1972;-317	-383	-108;120	190	-124;4109042.000;55.182;29.202
0.31150;15612	-3936	1991;-315	-380	-114;86	307	-140;4109030.000;55.182;29.202
0.31600;15561	-3893	2102;-315	-380	-114;82	255	-115;4109030.000;55.182;29.202
0.32050;15580	-3916	2086;-312	-382	-115;108	210	-179;4109030.000;55.182;29.202
0.32500;15638	-3972	2095;-312	-382	-115;95	274	-188;4109030.000;55.182;29.202
0.32950;15605	-3947	2098;-312	-385	-115;32	236	-173;4109030.000;55.182;29.202
0.33400;15619	-3891	2092;-312	-385	-115;29	316	-195;4109030.000;55.182;29.202
0.33850;15631	-3856	2059;-318	-383	-112;13	313	-121;4109030.000;55.159;29.202
0.34300;15666	-3812	2008;-318	-383	-112;-2	268	-108;4109030.000;55.159;29.202
0.34750;15615	-3854	1968;-316	-384	-111;-18	310	-128;4109033.000;55.159;29.202
0.35200;15626	-3884	1971;-316	-384	-111;-77	375	-113;4109033.000;55.159;29.202
0.35650;15547	-3876	1920;-305	-379	-109;-52	329	-141;4109033.000;55.159;29.202
0.36100;15540	-3926	1888;-319	-383	-109;-84	252	-64;4109033.000;55.159;29.202
0.36550;15567	-3974	1975;-319	-383	-109;-30	307	-122;4109033.000;55.159;29.202
0.37000;15522	-3877	1894;-313	-383	-110;-40	265	-138;4109033.000;55.159;29.202
0.37450;15657	-3828	1954;-313	-383	-110;-81	235	-109;4109033.000;55.159;29.202
0.37900;15686	-3830	1965;-312	-383	-118;-140	261	-48;4109033.000;55.159;29.202
0.38350;15684	-3861	2069;-312	-383	-118;-153	265	-77;4109043.000;55.159;29.202
0.38800;15728	-3840	2075;-311	-381	-114;-194	281	-51;4109043.000;55.159;29.202
0.39250;15757	-3959	2015;-311	-381	-114;-210	339	-71;4109043.000;55.159;29.202
0.39700;15801	-3963	1999;-309	-382	-115;-247	219	-64;4109043.000;55.159;29.202
0.40150;15814	-4018	2088;-309	-382	-115;-229	290	-50;4109043.000;55.159;29.202
0.40600;15791	-4030	2045;-312	-378	-115;-191	268	-22;4109043.000;55.159;29.202
0.41050;15745	-4046	2061;-312	-378	-115;-156	336	-63;4109043.000;55.159;29.202
0.41500;15792	-3987	2163;-312	-376	-111;-194	329	-6;4109047.000;55.159;29.202
0.41950;15726	-4073	2134;-312	-376	-111;-140	368	-19;4109047.000;55.159;29.202
0.42400;15721	-4028	2099;-315	-384	-109;-184	375	3;4109047.000;55.159;29.202
0.42850;15654	-4104	2098;-315	-384	-109;-137	371	-32;4109047.000;55.159;29.202
0.43300;15674	-4070	2093;-316	-378	-111;-210	310	51;4109047.000;55.159;29.220
0.43750;15583	-4008	2082;-316	-378	-111;-137	355	29;4109047.000;55.159;29.220
0.44200;15568	-4011	2089;-313	-379	-114;-156	284	-51;4109047.000;55.159;29.220
0.44650;15640	-3938	2115;-313	-379	-114;-153	284	-23;4109047.000;55.159;29.220
0.45100;15616	-3887	2125;-313	-382	-118;-200	239	-29;4109040.000;55.159;29.220
0.45550;15643	-3932	2106;-313	-382	-118;-181	274	-51;4109040.000;55.159;29.220
0.46000;15782	-4053	2051;-316	-375	-119;-235	206	-42;4109040.000;55.159;29.220
0.46450;15773	-4142	1957;-316	-375	-119;-241	158	-13;4109040.000;55.179;29.220
0.46900;15938	-4154	1862;-312	-382	-111;-216	184	-6;4109040.000;55.179;29.220
0.47350;15922	-4266	1906;-312	-382	-111;-118	210	-38;4109040.000;55.179;29.220
0.47800;15989	-4190	1935;-310	-384	-116;-131	210	-76;4109040.000;55.179;29.220
0.48250;15930	-4182	2015;-310	-384	-116;-18	261	-12;4109040.000;55.179;29.220
0.48700;15986	-4025	2100;-313	-384	-119;7	197	-89;4109047.000;55.179;29.220
0.49150;15902	-4037	2034;-313	-384	-119;4	248	-73;4109047.000;55.179;29.220
0.49600;15833	-4046	2105;-312	-384	-115;17	249	-63;4109047.000;55.179;29.220
0.50050;15783	-4014	2183;-312	-384	-115;26	303	-108;4109047.000;55.179;29.220
0.50500;15720	-4017	2152;-304	-384	-112;-68	242	-61;4109047.000;55.179;29.220
0.50950;15657	-4039	2169;-304	-384	-112;-18	333	-119;4109047.000;55.179;29.220
0.51400;15551	-4089	2246;-309	-380	-113;7	271	-119;4109047.000;55.179;29.220
0.51850;15526	-4074	2282;-309	-380	-113;29	336	-100;4109047.000;55.179;29.220
0.52300;15423	-4126	2341;-312	-382	-115;33	271	-141;4109066.000;55.179;29.220
0.52750;15473	-4144	2218;-312	-382	-115;95	323	-77;4109066.000;55.179;29.220
0.53200;15378	-4111	2125;-309	-382	-113;111	362	-125;4109066.000;55.179;29.220
0.53650;15351	-3954	2154;-309	-382	-113;105	417	-182;4109066.000;55.179;29.220
0.54100;15299	-3906	2057;-312	-378	-112;26	394	-144;4109066.000;55.179;29.220
0.54550;15249	-3907	1915;-312	-378	-112;-27	352	-115;4109066.000;55.179;29.220
0.55000;15310	-3872	1951;-312	-388	-114;-68	375	-134;4109066.000;55.179;29.220
0.55450;15294	-3926	2048;-312	-388	-114;-118	346	-160;4109066.000;55.179;29.220
0.55900;15373	-4028	1972;-307	-385	-112;-134	329	-102;4109069.000;55.179;29.183
0.56350;15424	-3965	1848;-307	-381	-116;-228	329	-144;4109069.000;55.179;29.183
0.56800;15532	-3916	2033;-307	-381	-116;-241	336	-198;4109069.000;55.179;29.183
0.57250;15519	-4039	2128;-311	-383	-113;-216	372	-160;4109069.000;55.179;29.183
0.57700;15618	-4346	2230;-311	-383	-113;-266	420	-60;4109069.000;55.179;29.183
0.58150;15598	-4412	2156;-312	-383	-115;-272	453	-67;4109069.000;55.179;29.183
0.58600;15502	-4442	2158;-312	-383	-115;-144	485	-19;4109069.000;55.179;29.183
0.59050;15486	-4536	2196;-319	-385	-115;7	504	22;4109048.000;55.159;29.183
0.59500;15382	-4404	2120;-319	-385	-115;1	401	-23;4109048.000;55.159;29.183
0.59950;15451	-4343	2038;-315	-381	-111;102	362	-16;4109048.000;55.159;29.183
0.60400;15488	-4329	2137;-315	-381	-111;196	323	77;4109048.000;55.159;29.183
0.60850;15528	-4210	2145;-313	-385	-114;161	313	49;4109048.000;55.159;29.183
0.61300;15597	-4086	2107;-313	-385	-114;189	355	62;4109048.000;55.159;29.183
0.61750;15651	-3910	2209;-312	-381	-118;70	317	20;4109048.000;55.159;29.183
0.62200;15691	-3788	2355;-312	-381	-118;14	391	55;4109048.000;55.159;29.183
0.62650;15702	-3806	2247;-307	-377	-120;-87	317	93;4109057.000;55.159;29.183
0.63100;15678	-3803	2218;-307	-377	-120;-128	365	16;4109057.000;55.159;29.183
0.63550;15608	-3963	2305;-307	-383	-119;-159	378	26;4109057.000;55.159;29.183
0.64000;15701	-4058	2225;-307	-383	-119;-65	426	90;4109057.000;55.159;29.183
0.64450;15762	-3998	2041;-317	-383	-117;-74	313	87;4109057.000;55.159;29.183
0.64900;15780	-4054	2113;-317	-383	-117;-53	362	14;4109057.000;55.159;29.183
0.65350;15719	-4021	2205;-315	-384	-116;42	378	33;4109057.000;55.159;29.183
0.65800;15760	-3884	2055;-315	-384	-116;23	462	20;4109057.000;55.159;29.183
0.66250;15782	-3850	2252;-312	-384	-116;32	456	42;4109075.000;55.159;29.183
0.66700;15753	-3903	2179;-312	-384	-116;-37	498	-28;4109075.000;55.159;29.183
0.67150;15764	-3907	2061;-307	-379	-113;-93	524	29;4109075.000;55.159;29.183
0.67600;15715	-4023	2169;-307	-379	-113;-131	485	97;4109075.000;55.159;29.183
0.68050;15701	-4125	2237;-309	-378	-111;-150	495	-60;4109075.000;55.159;29.183
0.68500;15666	-4195	2172;-309	-378	-111;-134	443	-12;4109075.000;55.159;29.183
0.68950;15677	-4282	2089;-308	-385	-113;-103	511	-12;4109075.000;55.159;29.220
0.69400;15650	-4265	2095;-308	-385	-113;-59	417	-89;4109075.000;55.159;29.220
0.69850;15625	-4130	2144;-316	-380	-116;-21	498	-67;4109081.000;55.159;29.220
0.70300;15668	-4080	2098;-316	-380	-116;13	368	-50;4109081.000;55.159;29.220
0.70751;15720	-4099	2135;-311	-384	-113;-11	369	-25;4109081.000;55.159;29.220
0.71201;15705	-4118	2169;-311	-384	-113;-49	329	-25;4109081.000;55.159;29.220
0.71651;15732	-4225	2109;-315	-382	-116;-49	342	-12;4109081.000;55.202;29.220
0.72101;15750	-4269	2217;-315	-382	-116;-100	303	-38;4109081.000;55.202;29.220
0.72551;15774	-4268	2141;-302	-381	-119;-75	372	-15;4109081.000;55.202;29.220
0.73001;15797	-4338	2155;-302	-381	-119;-52	388	-39;4109081.000;55.202;29.220
0.73451;15710	-4264	2243;-312	-380	-119;-15	455	-35;4109074.000;55.202;29.220
0.73901;15657	-4220	2261;-312	-380	-119;1	492	-93;4109074.000;55.202;29.220
0.74351;15581	-4186	2230;-309	-382	-116;10	446	-90;4109074.000;55.202;29.220
0.74801;15475	-4154	2171;-309	-382	-116;-12	524	-73;4109074.000;55.202;29.220
0.75251;15311	-4162	2085;-310	-381	-112;-43	443	-60;4109074.000;55.202;29.220
0.75701;15249	-4081	2184;-315	-384	-117;-37	469	-22;4109074.000;55.202;29.220
0.76151;15199	-4120	2141;-315	-384	-117;7	401	-12;4109074.000;55.202;29.220
0.76601;15251	-4122	2084;-316	-381	-118;20	343	-25;4109074.000;55.202;29.220
0.77051;15262	-4086	2164;-316	-381	-118;29	424	-96;4109074.000;55.202;29.220
0.77501;15401	-4065	2133;-307	-381	-117;-128	339	-9;4109074.000;55.202;29.220
0.77951;15466	-3986	2009;-307	-381	-117;-87	320	-131;4109074.000;55.202;29.220
0.78401;15476	-3983	2115;-315	-380	-118;-103	271	-115;4109074.000;55.202;29.220
0.78851;15482	-4044	2217;-315	-380	-118;-134	333	-31;4109074.000;55.202;29.220
0.79301;15518	-4058	2100;-310	-380	-119;-172	359	-76;4109074.000;55.202;29.220
0.79751;15587	-4042	2147;-310	-380	-119;-191	336	-111;4109074.000;55.202;29.220
0.80201;15511	-4076	2216;-307	-380	-111;-159	372	-86;4109067.000;55.202;29.220
0.80651;15482	-4208	2257;-307	-380	-111;-131	336	-121;4109067.000;55.202;29.220
0.81101;15486	-4196	2153;-308	-382	-115;-163	300	-96;4109067.000;55.202;29.220
0.81551;15557	-4125	2245;-308	-382	-115;-128	278	-132;4109067.000;55.202;29.220
0.82001;15444	-4119	2283;-311	-389	-118;-90	358	-144;4109067.000;55.202;29.220
0.82451;15512	-4100	2173;-311	-389	-118;-59	420	-103;4109067.000;55.202;29.220
0.82901;15413	-4014	2199;-311	-383	-114;-178	362	-96;4109067.000;55.202;29.220
0.83351;15352	-4070	2329;-311	-383	-114;-131	365	-128;4109067.000;55.202;29.220
0.83801;15444	-4094	2200;-309	-386	-115;-172	258	-108;4109063.000;55.202;29.220
0.84251;15425	-4171	2244;-309	-386	-115;-81	278	-86;4109063.000;55.096;29.220
0.84701;15408	-4226	2345;-307	-376	-119;-84	203	-112;4109063.000;55.096;29.220
0.85151;15529	-4131	2285;-307	-376	-119;-62	249	-99;4109063.000;55.096;29.220
0.85601;15597	-4142	2265;-304	-379	-116;-112	229	-64;4109063.000;55.096;29.220
0.86051;15587	-4156	2302;-304	-379	-116;-71	274	-25;4109063.000;55.096;29.220
0.86501;15646	-4123	2367;-311	-380	-120;-71	355	-45;4109063.000;55.096;29.220
0.86951;15610	-4201	2410;-311	-380	-120;-96	320	-32;4109063.000;55.096;29.220
0.87401;15631	-4210	2202;-313	-381	-117;-147	287	13;4109014.000;55.096;29.220
0.87851;15568	-4133	2252;-313	-381	-117;-103	284	-23;4109014.000;55.096;29.220
0.88301;15593	-4179	2369;-308	-383	-114;-93	297	-31;4109014.000;55.096;29.220
0.88751;15534	-4319	2338;-308	-383	-114;-93	372	14;4109014.000;55.096;29.220
0.89201;15647	-4390	2295;-308	-385	-114;-78	349	-76;4109014.000;55.096;29.220
0.89651;15731	-4284	2185;-308	-385	-114;-93	352	-44;4109014.000;55.096;29.220
0.90101;15676	-4131	2306;-311	-380	-117;-37	417	-58;4109014.000;55.096;29.220
0.90551;15646	-4080	2243;-311	-380	-117;-62	375	-173;4109014.000;55.096;29.220
