Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;15333	3196	2790;-209	-327	-124;-442	86	-145;4109023.000;55.509;30.468
0.00850;15422	4625	2917;-203	-327	-129;-175	290	-619;4109023.000;55.509;30.468
0.01250;15403	6234	3177;-203	-327	-129;-272	264	-978;4109023.000;55.509;30.468
0.01650;15264	6711	3303;-201	-318	-127;-583	63	-803;4109023.000;55.509;30.486
0.02050;15014	5621	3267;-201	-318	-127;-875	-8	-456;4109023.000;55.509;30.486
0.02450;14704	4838	3108;-209	-325	-124;-1092	-73	-444;4109036.000;55.509;30.486
0.02850;14629	4057	3440;-209	-325	-124;-668	-157	-424;4109036.000;55.509;30.486
0.03250;15051	4353	2938;-200	-325	-125;-686	-381	-671;4109036.000;55.509;30.486
0.03700;15403	4986	2826;-200	-325	-125;-526	-317	-684;4109036.000;55.509;30.486
0.04150;15543	5307	2952;-205	-331	-126;-498	-196	-514;4109036.000;55.509;30.486
0.04600;15520	5352	2949;-205	-331	-126;-740	-64	-473;4109036.000;55.502;30.486
0.05050;15162	4866	3202;-204	-329	-124;-633	53	-396;4109036.000;55.502;30.486
0.05500;15029	4650	3185;-204	-329	-124;-501	31	-412;4109036.000;55.502;30.486
0.05950;14986	4786	3038;-201	-321	-127;-448	53	-351;4109042.000;55.502;30.486
0.06400;15000	5388	3059;-201	-321	-127;-577	-18	-431;4109042.000;55.502;30.486
0.06850;15100	5419	3316;-205	-326	-120;-441	-122	-502;4109042.000;55.502;30.486
0.07300;15084	5530	3228;-205	-326	-120;-721	-180	-495;4109042.000;55.502;30.486
0.07750;15043	4934	3271;-203	-329	-127;-639	-148	-338;4109042.000;55.502;30.486
0.08200;14982	5007	2969;-203	-329	-127;-831	-96	-396;4109042.000;55.502;30.486
0.08650;14828	5033	3126;-200	-325	-123;-797	-60	-409;4109042.000;55.502;30.486
0.09100;14703	5145	3235;-200	-325	-123;-809	-180	-463;4109042.000;55.502;30.486
0.09550;14802	5170	3090;-201	-329	-125;-828	-287	-437;4109045.000;55.502;30.486
0.10000;14981	4928	3021;-201	-329	-125;-885	-268	-338;4109045.000;55.502;30.486
0.10450;15059	4692	3150;-206	-319	-126;-724	-164	-505;4109045.000;55.502;30.486
0.10900;15031	4731	2937;-206	-319	-126;-668	-103	-473;4109045.000;55.502;30.486
0.11350;14976	5064	3012;-199	-323	-128;-573	-15	-530;4109045.000;55.502;30.486
0.11800;14954	5240	3073;-199	-323	-128;-441	37	-572;4109045.000;55.502;30.486
0.12250;15037	5189	3090;-198	-323	-120;-375	-57	-581;4109045.000;55.502;30.486
0.12700;15139	5180	3051;-198	-323	-120;-375	-106	-533;4109038.000;55.502;30.486
0.13150;15150	4906	3019;-200	-326	-126;-291	-2	-633;4109038.000;55.502;30.486
0.13600;15242	4955	2930;-200	-326	-126;-140	66	-530;4109038.000;55.502;30.486
0.14050;15259	4991	2912;-208	-325	-125;-42	92	-473;4109038.000;55.502;30.486
0.14500;15158	5127	2966;-208	-325	-125;-52	160	-703;4109038.000;55.502;30.486
0.14950;15116	5125	3006;-210	-326	-129;17	160	-569;4109038.000;55.502;30.486
0.15400;15046	5196	2964;-210	-326	-129;49	231	-485;4109038.000;55.502;30.486
0.15850;14879	5065	2998;-198	-329	-126;124	219	-598;4109038.000;55.502;30.486
0.16300;14847	4920	3006;-198	-329	-126;234	296	-639;4109086.000;55.502;30.486
0.16750;14795	4929	3016;-208	-327	-126;335	254	-623;4109086.000;55.502;30.486
0.17200;14798	4902	2987;-208	-327	-126;574	332	-681;4109086.000;55.482;30.486
0.17650;14818	4915	2934;-204	-324	-125;706	322	-700;4109086.000;55.482;30.486
0.18100;14865	4986	2931;-203	-331	-123;816	355	-729;4109086.000;55.482;30.486
0.18550;14895	5112	2967;-203	-331	-123;951	377	-710;4109086.000;55.482;30.486
0.19000;14829	5170	2975;-206	-332	-126;988	475	-668;4109086.000;55.482;30.486
0.19450;14880	5308	3105;-206	-332	-126;1064	465	-719;4109086.000;55.482;30.486
0.19900;14966	5365	3069;-208	-323	-124;1033	413	-684;4109062.000;55.482;30.486
0.20350;15140	5466	3067;-208	-323	-124;1067	400	-661;4109062.000;55.482;30.486
0.20800;15247	5543	3107;-204	-327	-124;1045	387	-635;4109062.000;55.482;30.486
0.21250;15332	5632	3239;-204	-327	-124;988	455	-712;4109062.000;55.482;30.486
0.21700;15356	5665	3187;-201	-330	-123;913	481	-632;4109062.000;55.482;30.486
