Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-5323	-6377	15298;-37	82	91;-1574	1541	206;4099593.000;56.412;30.611
0.00850;-5372	-6390	15271;-37	82	91;-1436	1496	278;4099593.000;56.412;30.611
0.01250;-5461	-6270	15227;-42	88	89;-1366	1512	313;4099593.000;56.412;30.611
0.01650;-5445	-6062	15101;-42	88	89;-1314	1502	360;4099593.000;56.412;30.611
0.02050;-5485	-5936	14889;-32	86	91;-1304	1470	347;4099593.000;56.412;30.611
0.02450;-5399	-5767	14817;-32	86	91;-1346	1383	373;4099593.000;56.412;30.611
0.02850;-5436	-5722	14683;-40	85	88;-1433	1361	331;4099521.000;56.412;30.611
0.03250;-5515	-5520	14581;-40	85	88;-1532	1358	353;4099521.000;56.412;30.611
0.03700;-5584	-5360	14402;-40	86	92;-1645	1338	316;4099521.000;56.412;30.611
0.04150;-5619	-5266	14298;-40	86	92;-1885	1319	291;4099521.000;56.412;30.611
0.04600;-5683	-5183	14200;-36	89	87;-2119	1271	319;4099521.000;56.412;30.611
0.05050;-5806	-5186	14057;-36	89	87;-2405	1178	281;4099521.000;56.552;30.611
0.05500;-5764	-5286	13935;-31	88	84;-2664	1072	300;4099521.000;56.552;30.611
0.05950;-5848	-5413	13829;-31	88	84;-2863	1011	335;4099521.000;56.552;30.611
0.06400;-5926	-5495	13752;-31	89	86;-3046	892	354;4099493.000;56.552;30.611
0.06850;-5809	-5410	13634;-31	89	86;-3286	825	354;4099493.000;56.552;30.611
0.07300;-5751	-5456	13517;-31	92	91;-3466	828	413;4099493.000;56.552;30.611
0.07750;-5687	-5637	13397;-31	92	91;-3534	722	388;4099493.000;56.552;30.611
0.08200;-5776	-5941	13319;-31	87	90;-3537	728	385;4099493.000;56.552;30.611
