Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.35163;1860	1924	15339;-254	-44	-166;943	-532	-2402;4108259.000;55.469;30.516
30.35563;1363	3946	16759;-254	-44	-166;-293	1655	-2199;4108259.000;55.469;30.516
30.35963;-643	4342	18323;-256	-42	-170;-1057	-641	-676;4108259.000;55.469;30.516
30.36363;598	3649	16207;-256	-42	-170;-1146	-1573	-234;4108259.000;55.469;30.516
30.36762;902	3245	16268;-250	-41	-168;-1233	-581	-811;4108259.000;55.469;30.516
30.37162;831	3020	16655;-250	-41	-168;-1593	-95	-936;4108259.000;55.589;30.516
30.37562;502	2682	17084;-251	-35	-166;-1528	-237	-946;4108259.000;55.589;30.516
30.37962;613	2778	17080;-251	-38	-171;-1837	-288	-968;4108319.000;55.589;30.516
30.38362;789	2828	16834;-251	-38	-171;-1971	-224	-971;4108319.000;55.589;30.516
30.38761;879	2687	16867;-250	-40	-173;-2141	-70	-905;4108319.000;55.589;30.516
30.39161;900	2452	16859;-250	-40	-173;-2113	146	-1015;4108319.000;55.589;30.516
30.39561;754	1039	16755;-248	-41	-165;-1715	441	-1030;4108319.000;55.589;30.516
30.39961;742	462	16406;-248	-41	-165;298	717	-2019;4108319.000;55.589;30.516
30.40360;376	1744	17135;-251	-39	-165;-1294	1524	-2057;4108319.000;55.589;30.516
30.40760;65	1955	17143;-251	-39	-165;-951	869	-1589;4108337.000;55.589;30.516
30.41160;223	2019	16569;-246	-39	-169;-511	1408	-773;4108337.000;55.589;30.516
30.41560;1174	974	15965;-246	-39	-169;740	840	-1649;4108337.000;55.589;30.516
30.41960;2015	7462	15946;-245	-37	-174;-7090	2044	-4599;4108337.000;55.589;30.516
30.42359;10496	4109	11762;-245	-37	-174;-7330	7631	-5899;4108337.000;55.589;30.516
30.42759;-4152	1957	20449;-242	-31	-166;-2655	4750	-2631;4108337.000;55.589;30.516
30.43159;-2153	3669	18432;-242	-31	-166;-2395	2832	-2192;4108337.000;55.589;30.516
30.43559;-4521	2344	19157;-243	-28	-170;-2347	1380	-1357;4108337.000;55.589;30.516
30.43958;-1476	-1538	14864;-243	-28	-170;-3364	521	-1030;4108238.000;55.589;30.516
30.44358;-4453	-3591	19146;-236	-33	-170;-33	859	-1388;4108238.000;55.589;30.516
30.44758;700	3282	17509;-236	-33	-170;-2680	856	-2801;4108238.000;55.589;30.516
30.45158;-588	3062	18276;-239	-31	-167;-2138	-1949	-410;4108238.000;55.589;30.516
30.45558;1366	2034	16168;-239	-31	-167;-1284	-1410	253;4108238.000;55.589;30.516
30.45957;1586	1496	16898;-236	-26	-168;-819	-124	158;4108238.000;55.589;30.516
30.46357;1103	672	17018;-236	-26	-168;-803	425	-422;4108238.000;55.589;30.516
30.46757;410	278	17143;-241	-29	-174;-749	762	-583;4108238.000;55.589;30.516
30.47157;-102	439	16968;-241	-29	-174;-418	702	-654;4108268.000;55.589;30.516
30.47556;-601	661	17157;-236	-32	-171;-39	608	-500;4108268.000;55.589;30.516
30.47956;-695	1029	17235;-236	-32	-171;102	303	-569;4108268.000;55.589;30.516
30.48356;-90	615	16410;-235	-26	-177;465	312	-622;4108268.000;55.486;30.516
30.48756;-1340	723	17813;-235	-26	-177;1267	695	-971;4108268.000;55.486;30.516
30.49156;-335	1747	17279;-238	-29	-169;1003	-426	-965;4108268.000;55.486;30.516
30.49555;370	2065	16894;-238	-29	-169;974	-330	-287;4108268.000;55.486;30.516
30.49955;486	2033	16887;-238	-28	-172;930	-57	-60;4108268.000;55.486;30.516
30.50355;350	1986	17039;-238	-28	-172;936	181	-42;4108265.000;55.486;30.516
30.50755;197	1614	17057;-234	-26	-167;933	239	-236;4108265.000;55.486;30.516
30.51155;111	1594	16945;-234	-26	-167;904	290	-287;4108265.000;55.486;30.516
