Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-769	12979	15791;-260	-292	-3;2894	3483	-3103;4108239.000;54.281;29.936
0.00850;-2788	11666	15470;-260	-288	-6;3033	2544	-2894;4108239.000;54.281;29.936
0.01250;-2978	9689	15424;-260	-288	-6;3061	531	-1738;4108239.000;54.281;29.936
0.01650;-2294	7329	15081;-258	-278	-2;2580	-1248	-332;4108239.000;54.281;29.936
0.02050;-1018	7686	15228;-258	-278	-2;2332	-2132	395;4108231.000;54.281;29.954
0.02450;1360	11334	15718;-262	-279	-4;1738	-2514	1866;4108231.000;54.281;29.954
0.02850;1404	10696	12686;-262	-279	-4;-204	-2236	3297;4108231.000;54.281;29.954
0.03250;1610	11845	13755;-262	-287	-8;-468	-1471	2667;4108231.000;54.281;29.954
0.03700;1014	9864	12414;-262	-287	-8;-1279	-1549	3160;4108231.000;54.281;29.954
0.04150;889	9403	12654;-255	-285	-6;-1405	-833	2673;4108231.000;54.281;29.954
0.04600;709	9081	13841;-255	-285	-6;-761	-655	3137;4108231.000;54.281;29.954
0.05050;205	9355	13875;-260	-287	-8;-135	-658	3499;4108231.000;54.277;29.954
0.05500;826	10515	12647;-260	-287	-8;-760	-690	3650;4108240.000;54.277;29.954
0.05950;1679	11150	12632;-258	-282	-10;-1587	-950	3964;4108240.000;54.277;29.954
0.06400;2761	11333	11742;-258	-282	-10;-2269	-541	4387;4108240.000;54.277;29.954
0.06850;2958	11422	12171;-258	-281	-7;-3202	567	4223;4108240.000;54.277;29.954
0.07300;2974	12135	12700;-258	-281	-7;-4274	1144	4124;4108240.000;54.277;29.954
0.07750;2435	12398	12822;-253	-288	-7;-5242	1756	3925;4108240.000;54.277;29.954
0.08200;2166	12630	13200;-257	-288	-4;-6159	2152	4175;4108240.000;54.277;29.954
