Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.34813;4614	4005	15706;52	-398	93;-3210	170	-1479;4096114.000;56.472;30.382
30.35263;4495	3785	15862;52	-398	93;-3377	128	-1372;4096114.000;56.472;30.382
30.35713;4510	3678	15921;56	-396	91;-3588	100	-1419;4096114.000;56.472;30.382
30.36163;4501	3536	16062;56	-396	91;-3749	3	-1325;4096114.000;56.472;30.382
30.36613;4532	3676	16027;56	-398	88;-3839	-35	-1250;4096114.000;56.472;30.382
30.37062;4560	3836	16034;56	-398	88;-3993	-19	-1146;4096114.000;56.472;30.382
30.37512;4618	3917	16328;64	-393	90;-4134	13	-1062;4096114.000;56.472;30.382
30.37962;4510	3840	16424;64	-393	90;-4336	10	-962;4096079.000;56.472;30.382
30.38412;4445	3782	16283;55	-395	88;-4438	19	-883;4096079.000;56.472;30.382
30.38861;4404	3758	16360;55	-395	88;-4384	-26	-783;4096079.000;56.472;30.382
30.39311;4494	3596	16179;54	-394	97;-4397	-77	-656;4096079.000;56.472;30.382
30.39761;4471	3505	16072;54	-394	97;-4236	-61	-581;4096079.000;56.472;30.382
30.40211;4482	3338	16044;59	-395	96;-4086	-19	-538;4096079.000;56.472;30.382
30.40660;4429	3228	16244;59	-395	96;-3954	29	-513;4096079.000;56.472;30.382
30.41110;4329	3322	16260;57	-395	97;-3746	-9	-463;4096079.000;56.472;30.382
30.41560;4381	3405	16355;57	-395	97;-3524	-55	-369;4096196.000;56.472;30.382
30.42010;4404	3444	16372;56	-392	96;-3332	-39	-319;4096196.000;56.472;30.382
30.42459;4419	3484	16480;56	-392	96;-3319	42	-176;4096196.000;56.472;30.382
30.42909;4303	3494	16397;60	-396	100;-3319	58	-79;4096196.000;56.472;30.382
30.43359;4265	3224	16322;60	-396	100;-3332	142	141;4096196.000;56.472;30.382
30.43809;4169	2867	16277;62	-396	96;-3374	135	169;4096196.000;56.472;30.382
30.44258;4197	2386	16298;64	-396	101;-3207	74	316;4096196.000;56.472;30.382
30.44708;4213	2245	16554;64	-396	101;-3105	112	376;4096196.000;56.472;30.382
30.45158;4248	2375	16675;62	-401	104;-2960	42	583;4096229.000;56.472;30.382
30.45608;4472	2538	16810;62	-401	104;-2893	-26	819;4096229.000;56.472;30.382
30.46057;4450	2763	16988;64	-390	96;-2822	-3	844;4096229.000;56.472;30.382
30.46507;4517	2987	17354;64	-390	96;-2874	0	944;4096229.000;56.472;30.382
30.46957;4476	2926	17531;69	-395	99;-2806	-6	972;4096229.000;56.472;30.382
30.47407;4349	2298	17585;69	-395	99;-2517	-9	1007;4096229.000;56.582;30.382
30.47856;4343	1679	17482;71	-397	97;-2033	-48	963;4096229.000;56.582;30.382
30.48306;4593	1197	17070;71	-397	97;-1459	-29	1001;4096229.000;56.582;30.382
30.48756;4715	553	16188;68	-392	100;-635	186	1136;4096178.000;56.582;30.382
30.49206;4666	-126	15349;68	-392	100;366	382	1142;4096178.000;56.582;30.382
30.49655;4755	-671	14363;70	-396	101;1536	629	1031;4096178.000;56.582;30.382
30.50105;4419	-517	14195;70	-396	101;2822	806	1075;4096178.000;56.582;30.382
30.50555;4703	1473	15024;72	-392	93;2309	533	1260;4096178.000;56.582;30.382
30.51005;4063	4164	16256;72	-392	93;1636	401	1352;4096178.000;56.582;30.382
30.51454;3989	6103	16762;71	-390	88;-51	321	1321;4096178.000;56.582;30.382
30.51904;3912	6801	16444;71	-390	88;-1831	295	1173;4096178.000;56.582;30.382
30.52354;4463	6423	16122;76	-388	95;-3489	132	1496;4096171.000;56.582;30.382
30.52804;4902	4589	15837;76	-388	95;-4448	193	1901;4096171.000;56.582;30.382
30.53253;4977	2482	15693;73	-392	95;-4881	430	1795;4096171.000;56.582;30.382
30.53703;4614	1100	15885;73	-392	95;-4945	485	1315;4096171.000;56.582;30.382
30.54153;4325	447	16178;78	-393	93;-4714	344	1088;4096171.000;56.582;30.382
30.54603;4187	418	16535;78	-393	93;-4211	100	1277;4096171.000;56.582;30.382
30.55052;4110	321	16471;83	-389	94;-3646	29	1399;4096171.000;56.582;30.382
30.55502;3953	170	16429;83	-389	94;-2883	-93	1424;4096171.000;56.582;30.382
30.55952;4073	-91	16357;85	-386	91;-2097	-276	1308;4096070.000;56.582;30.382
30.56402;4310	-514	16156;85	-386	91;-1183	-356	1220;4096070.000;56.582;30.382
30.56851;4651	-814	15925;86	-391	96;-269	-292	1192;4096070.000;56.582;30.382
30.57301;4737	-722	15848;86	-391	96;571	-167	1151;4096070.000;56.582;30.401
30.57751;4584	-530	15678;85	-391	90;1276	-55	1019;4096070.000;56.582;30.401
30.58201;4475	-229	15738;85	-391	90;1886	-51	1035;4096070.000;56.582;30.401
30.58650;4376	106	15677;93	-385	94;2367	-19	907;4096070.000;56.582;30.401
30.59100;4265	422	15648;93	-385	94;2723	26	847;4096070.000;56.582;30.401
30.59550;4405	415	15118;90	-385	88;2983	67	841;4096172.000;56.582;30.401
30.60000;4551	356	15318;90	-385	88;3082	61	737;4096172.000;56.452;30.401
30.60449;4740	311	15035;91	-388	93;3226	228	815;4096172.000;56.452;30.401
30.60899;4953	454	15086;91	-388	93;3412	305	759;4096172.000;56.452;30.401
30.61349;5114	648	14542;87	-390	89;3752	540	897;4096172.000;56.452;30.401
30.61799;5255	1228	15611;87	-390	89;3441	517	819;4096172.000;56.452;30.401
30.62248;5162	2220	16139;91	-386	85;3169	764	806;4096172.000;56.452;30.401
30.62698;5230	3521	16167;91	-386	85;2934	844	1016;4096210.000;56.452;30.401
30.63148;5190	3824	16138;90	-386	90;2517	947	1132;4096210.000;56.452;30.401
30.63598;5078	3314	16278;90	-386	90;2130	1044	1177;4096210.000;56.452;30.401
30.64047;4823	2740	16422;89	-390	90;1725	1127	1013;4096210.000;56.452;30.401
