Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-831	-8844	14526;-222	9	-112;-6289	1148	-580;4053356.000;59.285;27.917
0.00850;-805	-9222	14257;-221	15	-112;-6148	1071	-626;4053356.000;59.285;27.917
0.01250;-747	-9460	14026;-221	15	-112;-5943	978	-661;4053356.000;59.285;27.917
0.01650;-482	-9848	14099;-221	11	-105;-5564	1029	-673;4053356.000;59.285;27.936
0.02050;-458	-10077	13833;-221	11	-105;-5118	1023	-629;4053356.000;59.285;27.936
0.02450;-519	-10106	13754;-220	16	-107;-4615	847	-548;4053356.000;59.285;27.936
0.02850;-422	-10120	13857;-220	16	-107;-4147	789	-604;4053356.000;59.285;27.936
0.03250;-497	-10058	13715;-220	20	-107;-3791	687	-510;4053454.000;59.285;27.936
0.03700;-373	-10077	13795;-220	20	-107;-3470	677	-453;4053454.000;59.285;27.936
0.04150;-417	-10072	13655;-218	17	-108;-3172	613	-365;4053454.000;59.285;27.936
0.04600;-384	-10211	13572;-218	17	-108;-2928	577	-350;4053454.000;59.322;27.936
0.05050;-525	-10407	13410;-226	21	-107;-2614	536	-218;4053454.000;59.322;27.936
0.05500;-613	-10547	13426;-226	21	-107;-2197	411	-162;4053454.000;59.322;27.936
0.05950;-698	-10699	13345;-225	23	-112;-1828	340	-83;4053454.000;59.322;27.936
0.06400;-761	-10909	13333;-225	23	-112;-1382	234	-112;4053454.000;59.322;27.936
0.06850;-818	-10967	13302;-215	25	-107;-882	119	-18;4053450.000;59.322;27.936
0.07300;-755	-11002	13358;-215	25	-107;-382	-39	-51;4053450.000;59.322;27.936
0.07750;-707	-10870	13358;-221	23	-108;103	-151	-17;4053450.000;59.322;27.936
0.08200;-684	-10733	13558;-221	23	-108;539	-202	62;4053450.000;59.322;27.936
0.08650;-655	-10478	13554;-225	21	-100;856	-266	43;4053450.000;59.322;27.936
0.09100;-614	-10181	13631;-225	21	-100;1106	-337	64;4053450.000;59.322;27.936
0.09550;-495	-9991	13712;-218	18	-115;1353	-311	17;4053450.000;59.322;27.936
0.10000;-639	-9896	13717;-218	18	-115;1546	-340	33;4053500.000;59.322;27.936
0.10450;-679	-9836	13731;-216	15	-105;1767	-369	-8;4053500.000;59.322;27.936
0.10900;-704	-9811	13764;-216	15	-105;2027	-490	62;4053500.000;59.322;27.936
0.11350;-626	-9908	13566;-221	20	-112;2271	-507	-120;4053500.000;59.322;27.936
0.11800;-686	-10053	13604;-221	20	-112;2530	-529	24;4053500.000;59.322;27.936
0.12250;-741	-10154	13684;-220	19	-105;2729	-577	-139;4053500.000;59.322;27.936
0.12700;-789	-10256	13845;-220	23	-110;3002	-593	23;4053500.000;59.322;27.936
0.13150;-725	-10267	13978;-220	23	-110;3303	-641	-178;4053500.000;59.322;27.936
0.13600;-563	-9911	14160;-224	15	-114;3682	-731	-247;4053520.000;59.322;27.936
0.14050;-503	-9434	14417;-224	15	-114;3922	-686	-181;4053520.000;59.322;27.936
0.14500;-429	-8998	14659;-222	16	-111;4085	-670	-268;4053520.000;59.322;27.936
0.14950;-331	-8453	14774;-222	16	-111;4066	-609	-300;4053520.000;59.322;27.936
0.15400;-241	-8147	14892;-222	14	-110;3945	-570	-299;4053520.000;59.322;27.936
0.15850;-253	-7825	14915;-222	14	-110;3778	-542	-334;4053520.000;59.322;27.936
0.16300;-227	-7657	14896;-225	15	-110;3371	-392	-275;4053520.000;59.322;27.936
0.16750;-293	-7648	14989;-225	15	-110;3027	-305	-247;4053520.000;59.322;27.936
0.17200;-374	-7707	15092;-229	10	-108;2691	-215	-240;4053548.000;59.362;27.936
0.17650;-457	-7843	15126;-229	10	-108;2428	-247	-256;4053548.000;59.362;27.936
0.18100;-500	-7856	15215;-223	14	-112;2129	-208	-209;4053548.000;59.362;27.936
0.18550;-510	-7986	15182;-223	14	-112;1847	-157	-259;4053548.000;59.362;27.936
0.19000;-542	-8006	15040;-221	11	-109;1559	-151	-222;4053548.000;59.362;27.936
0.19450;-599	-7918	15026;-221	11	-109;1401	-119	-275;4053548.000;59.362;27.936
0.19900;-678	-7998	14879;-227	3	-114;1219	-80	-300;4053548.000;59.362;27.936
0.20350;-750	-7993	14752;-227	3	-114;1033	-83	-391;4053548.000;59.362;27.936
0.20800;-744	-8099	14940;-222	9	-110;872	19	-448;4053633.000;59.362;27.936
0.21250;-909	-8261	15114;-222	9	-110;699	48	-438;4053633.000;59.362;27.936
0.21700;-857	-8508	15186;-226	7	-108;622	0	-426;4053633.000;59.362;27.936
0.22150;-914	-8550	15254;-226	7	-108;552	-45	-423;4053633.000;59.362;27.936
0.22600;-960	-8377	15132;-228	7	-107;497	-67	-482;4053633.000;59.362;27.936
0.23050;-886	-8165	15039;-228	7	-107;507	-32	-495;4053633.000;59.362;27.936
0.23500;-914	-7919	15065;-228	9	-107;510	-80	-570;4053633.000;59.362;27.936
0.23950;-870	-7831	15106;-228	9	-107;433	32	-654;4053633.000;59.362;27.936
0.24400;-1107	-7837	14819;-226	3	-107;330	-22	-658;4053702.000;59.362;27.936
0.24850;-1064	-7975	13331;-226	3	-107;173	0	-717;4053702.000;59.362;27.936
0.25300;-1314	-8476	13782;-225	11	-105;103	-87	-767;4053702.000;59.362;27.936
0.25750;-1441	-9433	12736;-225	11	-105;-23	-144	-890;4053702.000;59.362;27.936
0.26200;-1179	-10452	13595;-228	14	-106;141	-231	-934;4053702.000;59.362;27.936
0.26650;-1161	-11418	13237;-228	14	-106;661	-234	-965;4053702.000;59.362;27.955
0.27100;-1034	-12053	13041;-229	8	-107;1815	-462	-1082;4053702.000;59.362;27.955
0.27550;-758	-12183	13120;-229	8	-107;3050	-811	-1072;4053702.000;59.362;27.955
0.28000;-406	-11747	13737;-233	9	-99;4070	-1177	-949;4053685.000;59.362;27.955
0.28450;170	-10933	14345;-233	9	-99;5099	-1366	-903;4053685.000;59.362;27.955
0.28900;723	-9534	14543;-232	4	-104;6100	-1385	-818;4053685.000;59.362;27.955
0.29350;911	-8121	14714;-232	4	-104;6446	-1289	-661;4053685.000;59.362;27.955
0.29800;954	-6828	14578;-238	8	-106;6049	-1106	-469;4053685.000;59.228;27.955
0.30250;865	-5978	14931;-238	8	-106;5099	-898	-171;4053685.000;59.228;27.955
0.30700;907	-5671	15786;-231	2	-106;4313	-657	87;4053685.000;59.228;27.955
0.31150;932	-5779	16436;-231	2	-106;3281	-516	307;4053685.000;59.228;27.955
0.31600;930	-6026	16359;-235	-4	-103;2328	-427	486;4053697.000;59.228;27.955
0.32050;849	-6205	16173;-235	-4	-103;1543	-311	633;4053697.000;59.228;27.955
0.32500;801	-6270	15226;-235	1	-106;693	-106	885;4053697.000;59.228;27.955
0.32950;517	-6135	15769;-235	1	-106;70	112	1227;4053697.000;59.228;27.955
0.33400;510	-6641	15024;-232	2	-107;-491	193	1387;4053697.000;59.228;27.955
0.33850;381	-7135	14560;-238	1	-105;-545	305	1453;4053697.000;59.228;27.955
0.34300;138	-8110	15258;-238	1	-105;-500	311	1667;4053697.000;59.228;27.955
0.34750;39	-9182	15832;-238	-5	-108;-131	87	1666;4053697.000;59.228;27.955
0.35200;259	-9632	15703;-238	-5	-108;558	-125	1572;4053772.000;59.228;27.955
0.35650;407	-9155	15348;-232	2	-106;1174	-80	1318;4053772.000;59.228;27.955
0.36100;365	-8387	14896;-232	2	-106;1440	-29	1177;4053772.000;59.228;27.955
0.36550;187	-8116	14832;-235	2	-107;1507	112	1167;4053772.000;59.228;27.955
0.37000;-109	-8411	14893;-235	2	-107;1398	215	1148;4053772.000;59.228;27.955
0.37450;-445	-8679	14752;-237	2	-102;1296	295	1189;4053772.000;59.228;27.955
0.37900;-776	-9068	14554;-237	2	-102;1456	231	1101;4053772.000;59.228;27.955
0.38350;-1055	-8829	13856;-232	-8	-102;1898	22	1032;4053772.000;59.228;27.955
0.38800;-923	-8194	14178;-232	-8	-102;2296	-353	853;4053820.000;59.228;27.955
0.39250;-785	-7896	13722;-238	-6	-105;2341	-125	780;4053820.000;59.228;27.955
0.39700;-1118	-7567	14583;-238	-6	-105;2300	-196	620;4053820.000;59.228;27.936
0.40150;-1099	-7322	16031;-236	-2	-105;2033	74	394;4053820.000;59.228;27.936
0.40600;-1422	-6922	16156;-236	-2	-105;1556	272	83;4053820.000;59.228;27.936
0.41050;-1640	-6192	15766;-237	-3	-106;1007	228	-175;4053820.000;59.228;27.936
0.41500;-1808	-5350	15754;-237	-3	-106;113	205	-350;4053820.000;59.228;27.936
0.41950;-1612	-4934	15594;-234	-7	-105;-590	58	-479;4053820.000;59.228;27.936
0.42400;-1128	-4777	15895;-234	-7	-105;-1110	29	-485;4053946.000;59.302;27.936
0.42850;-751	-4898	15622;-236	-4	-108;-1831	164	-516;4053946.000;59.302;27.936
0.43300;-516	-5204	15667;-236	-4	-108;-2919	321	-381;4053946.000;59.302;27.936
0.43750;-438	-5733	15136;-233	-5	-108;-4243	308	-334;4053946.000;59.302;27.936
0.44200;-257	-6431	14629;-233	-5	-108;-5333	488	-384;4053946.000;59.302;27.936
0.44650;-261	-7255	14165;-231	-5	-109;-5632	600	-526;4053946.000;59.302;27.936
0.45100;-206	-8173	13915;-231	-5	-109;-5490	590	-648;4053946.000;59.302;27.936
0.45550;-95	-9077	13822;-233	-2	-101;-5083	638	-651;4053946.000;59.302;27.936
0.46000;-65	-9863	13866;-233	-2	-101;-4509	536	-720;4054028.000;59.302;27.936
0.46450;-13	-10448	13892;-234	-3	-104;-3666	472	-664;4054028.000;59.302;27.936
0.46900;-64	-10770	14177;-234	-3	-104;-2585	372	-538;4054028.000;59.302;27.936
0.47350;-84	-10773	14372;-233	-5	-107;-1680	241	-416;4054028.000;59.302;27.936
0.47800;-138	-10527	14148;-233	-5	-107;-953	-25	-246;4054028.000;59.302;27.936
0.48250;-59	-10003	14071;-235	0	-102;-250	-179	-80;4054028.000;59.302;27.936
0.48700;-98	-9580	14177;-235	0	-102;196	-311	27;4054028.000;59.302;27.936
0.49150;-131	-9387	13657;-236	-2	-109;494	-462	52;4054028.000;59.302;27.936
0.49600;-76	-9150	13736;-236	-2	-109;933	-346	-55;4054103.000;59.302;27.936
0.50050;-25	-9066	14149;-228	2	-99;1228	-292	43;4054103.000;59.302;27.936
0.50500;-224	-9117	14267;-228	2	-99;1443	-423	65;4054103.000;59.302;27.936
0.50950;-233	-9026	14575;-234	2	-103;1687	-455	65;4054103.000;59.302;27.936
0.51400;-263	-8834	14542;-234	2	-103;1911	-433	-65;4054103.000;59.302;27.936
0.51850;-321	-8472	15089;-235	1	-102;2068	-452	-86;4054103.000;59.302;27.936
0.52300;-521	-8209	15331;-235	1	-102;2037	-349	-109;4054103.000;59.302;27.936
0.52750;-552	-7854	15525;-235	0	-105;1985	-314	-121;4054103.000;59.302;27.936
0.53200;-637	-7603	15488;-235	0	-105;1908	-337	-142;4054228.000;59.302;27.936
0.53650;-559	-7313	15711;-240	2	-105;1732	-282	-64;4054228.000;59.302;27.936
0.54100;-450	-7164	15827;-240	2	-105;1524	-260	-102;4054228.000;59.302;27.936
0.54550;-484	-7086	15678;-227	-4	-106;1296	-298	-54;4054228.000;59.302;27.936
0.55000;-442	-6742	15073;-232	-6	-107;837	-276	-102;4054228.000;59.498;27.936
0.55450;-261	-6436	14974;-232	-6	-107;571	-160	-215;4054228.000;59.498;27.936
0.55900;-350	-7174	15767;-230	3	-107;163	-22	-161;4054228.000;59.498;27.936
0.56350;-143	-7286	15771;-230	3	-107;-68	221	-290;4054348.000;59.498;27.936
0.56800;-386	-7527	14851;-228	-3	-104;-353	218	-271;4054348.000;59.498;27.936
0.57250;-589	-7652	14437;-228	-3	-104;-478	221	-337;4054348.000;59.498;27.936
0.57700;-764	-8140	14853;-231	2	-106;-439	308	-412;4054348.000;59.498;27.936
0.58150;-874	-8823	14940;-231	2	-106;-340	305	-516;4054348.000;59.498;27.936
0.58600;-964	-9087	14646;-230	-5	-106;-112	202	-547;4054348.000;59.498;27.936
0.59050;-1082	-8974	14568;-230	-5	-106;202	51	-557;4054348.000;59.498;27.936
0.59500;-1080	-8733	15014;-233	1	-107;516	-3	-613;4054348.000;59.498;27.936
0.59950;-1110	-8468	14942;-233	1	-107;635	-74	-510;4054378.000;59.498;27.936
0.60400;-1071	-8203	14989;-234	2	-107;689	-257	-504;4054378.000;59.498;27.936
0.60850;-973	-7937	14947;-234	2	-107;581	-157	-494;4054378.000;59.498;27.936
0.61300;-826	-7851	15023;-230	-2	-109;478	-199	-450;4054378.000;59.498;27.936
0.61750;-721	-7860	15079;-230	-2	-109;436	-151	-469;4054378.000;59.498;27.936
0.62200;-567	-7861	14860;-235	2	-110;372	-138	-444;4054378.000;59.498;27.936
0.62650;-531	-7917	14987;-235	2	-110;314	-61	-485;4054378.000;59.498;27.936
0.63100;-511	-7949	14982;-232	1	-110;317	-74	-444;4054378.000;59.498;27.936
0.63550;-296	-8204	15381;-232	1	-110;346	-35	-381;4054348.000;59.498;27.936
0.64000;-244	-8147	15005;-238	1	-108;334	42	-406;4054348.000;59.498;27.936
0.64450;-448	-8181	14377;-238	1	-108;369	-112	-303;4054348.000;59.498;27.936
