Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.30516;965	-1384	15539;-87	-214	-193;1428	-3551	-3220;4109328.000;55.363;29.917
30.30966;996	-655	15832;-87	-214	-193;1931	-3487	-3083;4109328.000;55.363;29.917
30.31415;1106	-351	15978;-87	-211	-196;2302	-3442	-3112;4109328.000;55.363;29.917
30.31865;1375	-420	16091;-87	-211	-196;2607	-3451	-3256;4109328.000;55.363;29.917
30.32315;1687	-734	16095;-84	-219	-195;2946	-3347	-3269;4109313.000;55.363;29.917
30.32765;1866	-933	16118;-84	-219	-195;3376	-3211	-3313;4109313.000;55.363;29.917
30.33214;2173	-1102	15990;-85	-212	-194;3734	-3052	-3467;4109313.000;55.363;29.917
30.33664;2501	-985	16003;-85	-212	-194;4124	-2621	-3410;4109313.000;55.363;29.917
30.34114;2656	-667	16231;-92	-219	-196;4319	-2164	-3426;4109313.000;55.363;29.917
30.34564;2899	-128	16422;-92	-219	-196;4291	-1668	-3569;4109313.000;55.363;29.917
30.35013;3002	339	16418;-92	-212	-200;4200	-1318	-3502;4109313.000;55.363;29.917
30.35463;3089	709	16581;-92	-212	-200;3998	-935	-3572;4109313.000;55.363;29.917
30.35913;2833	1125	16753;-93	-217	-200;3778	-585	-3633;4109269.000;55.363;29.917
30.36363;2736	1241	16856;-93	-217	-200;3543	-452	-3464;4109269.000;55.363;29.936
30.36812;2863	1132	16814;-95	-218	-195;3096	-228	-3297;4109269.000;55.363;29.936
30.37262;2925	758	16650;-95	-218	-195;2553	-147	-3121;4109269.000;55.363;29.936
30.37712;3056	574	16118;-98	-222	-199;2144	-11	-3005;4109269.000;55.363;29.936
30.38162;3170	481	15673;-98	-222	-199;1648	118	-2848;4109269.000;55.363;29.936
30.38611;3423	583	15309;-95	-227	-196;1076	411	-2669;4109269.000;55.363;29.936
30.39061;3480	1053	15307;-95	-227	-196;570	715	-2358;4109269.000;55.373;29.936
30.39511;3470	1560	15539;-93	-219	-207;202	1146	-2003;4109255.000;55.373;29.936
30.39961;3210	1932	16150;-98	-217	-195;-159	1373	-1484;4109255.000;55.373;29.936
30.40410;3002	2032	16755;-98	-217	-195;-480	1506	-1183;4109255.000;55.373;29.936
30.40860;2894	1879	17238;-95	-222	-200;-850	1516	-924;4109255.000;55.373;29.936
30.41310;2821	1496	17428;-95	-222	-200;-1105	1571	-706;4109255.000;55.373;29.936
30.41760;2771	1250	17549;-99	-221	-204;-1174	1535	-603;4109255.000;55.373;29.936
30.42209;2579	1030	17701;-99	-221	-204;-1278	1688	-546;4109255.000;55.373;29.936
30.42659;2204	842	17598;-101	-225	-199;-1199	1639	-418;4109255.000;55.373;29.936
30.43109;1875	786	17703;-101	-225	-199;-1221	1607	-328;4109295.000;55.373;29.936
30.43559;1584	861	17732;-99	-221	-195;-1177	1354	-162;4109295.000;55.373;29.936
30.44008;1527	713	17638;-99	-221	-195;-1121	1091	251;4109295.000;55.373;29.936
30.44458;1709	405	17438;-96	-222	-201;-1017	800	549;4109295.000;55.373;29.936
30.44908;1753	241	17340;-96	-222	-201;-895	696	560;4109295.000;55.373;29.936
30.45358;1828	250	17257;-93	-221	-197;-803	702	582;4109295.000;55.373;29.936
30.45807;1714	160	17238;-93	-221	-197;-709	712	563;4109295.000;55.373;29.936
30.46257;1585	-5	17168;-98	-227	-199;-687	679	489;4109295.000;55.373;29.936
30.46707;1524	-228	17089;-98	-227	-199;-611	702	441;4109301.000;55.373;29.936
30.47157;1320	-399	17060;-93	-224	-201;-480	696	437;4109301.000;55.373;29.936
30.47606;1348	-412	16984;-93	-224	-201;-492	663	457;4109301.000;55.373;29.936
30.48056;1293	-249	16991;-101	-221	-198;-470	712	463;4109301.000;55.373;29.936
30.48506;1119	-84	16995;-101	-221	-198;-464	696	461;4109301.000;55.373;29.936
30.48956;891	106	16958;-99	-221	-200;-382	634	412;4109301.000;55.373;29.954
30.49405;743	218	16949;-99	-221	-200;-329	479	297;4109301.000;55.373;29.954
30.49855;658	146	16991;-93	-219	-198;-338	333	214;4109295.000;55.373;29.954
30.50305;635	-32	16960;-93	-219	-198;-310	317	57;4109295.000;55.373;29.954
30.50755;525	-463	16882;-96	-217	-200;-326	291	-49;4109295.000;55.373;29.954
30.51204;533	-793	16872;-96	-217	-200;-291	329	-177;4109295.000;55.373;29.954
30.51654;499	-1108	16807;-100	-227	-199;-146	329	-139;4109295.000;55.373;29.954
30.52104;440	-1396	16891;-100	-227	-199;-52	420	-120;4109295.000;55.241;29.954
30.52554;443	-1488	17002;-97	-220	-191;45	440	-78;4109295.000;55.241;29.954
30.53004;351	-1506	17082;-97	-220	-191;111	440	63;4109295.000;55.241;29.954
30.53453;243	-1311	17088;-96	-219	-200;130	485	130;4109308.000;55.241;29.954
30.53903;205	-1058	16933;-96	-219	-200;54	699	252;4109308.000;55.241;29.954
30.54353;-66	-919	17119;-90	-217	-199;-52	731	293;4109308.000;55.241;29.954
30.54803;-265	-856	17037;-90	-217	-199;-219	822	319;4109308.000;55.241;29.954
30.55252;-329	-962	16753;-97	-218	-197;-363	900	300;4109308.000;55.241;29.954
30.55702;-482	-1083	16519;-97	-218	-197;-489	897	213;4109308.000;55.241;29.954
30.56152;-476	-1157	16359;-102	-221	-192;-652	936	223;4109308.000;55.241;29.954
30.56602;-485	-1275	16294;-102	-221	-192;-794	1010	293;4109308.000;55.241;29.954
30.57051;-490	-1245	16333;-93	-216	-194;-872	1276	178;4109296.000;55.241;29.954
30.57501;-595	-1189	16427;-93	-216	-194;-1033	1309	290;4109296.000;55.241;29.954
30.57951;-714	-1247	16458;-96	-218	-193;-1093	1416	370;4109296.000;55.241;29.954
30.58401;-785	-1268	16418;-96	-218	-193;-1259	1532	187;4109296.000;55.241;29.954
30.58850;-863	-1429	16328;-90	-219	-197;-1353	1591	156;4109296.000;55.241;29.954
30.59300;-1006	-1419	16254;-90	-219	-197;-1391	1542	57;4109296.000;55.241;29.954
30.59750;-1093	-1571	16197;-88	-219	-197;-1234	1441	-119;4109296.000;55.241;29.954
30.60200;-1123	-1723	15658;-88	-219	-197;-1092	1198	-174;4109296.000;55.241;29.954
30.60649;-1180	-1857	15264;-99	-217	-198;-1064	1137	-415;4109276.000;55.241;29.954
30.61099;-1060	-2055	15021;-94	-219	-196;-1005	916	-729;4109276.000;55.241;29.954
30.61549;-987	-2369	15225;-94	-219	-196;-860	796	-741;4109276.000;55.241;29.936
30.61999;-923	-2661	15766;-89	-217	-200;-647	667	-709;4109276.000;55.241;29.936
30.62448;-874	-2973	16230;-89	-217	-200;-511	556	-801;4109276.000;55.241;29.936
30.62898;-906	-3127	16866;-94	-216	-196;-448	388	-811;4109276.000;55.241;29.936
30.63348;-848	-3024	17372;-94	-216	-196;-219	313	-853;4109276.000;55.241;29.936
30.63798;-799	-2694	17098;-97	-224	-200;-153	326	-895;4109276.000;55.241;29.936
30.64247;-721	-2408	17104;-97	-224	-200;-137	200	-789;4109278.000;55.241;29.936
30.64697;-799	-2017	17168;-93	-222	-195;-169	115	-847;4109278.000;55.387;29.936
30.65147;-839	-1811	17392;-93	-222	-195;-322	-53	-857;4109278.000;55.387;29.936
30.65597;-862	-1607	17725;-92	-218	-194;-514	-150	-1077;4109278.000;55.387;29.936
30.66046;-830	-1370	18127;-92	-218	-194;-775	-481	-1333;4109278.000;55.387;29.936
30.66496;-734	-1029	18230;-92	-219	-199;-951	-643	-1429;4109278.000;55.387;29.936
30.66946;-556	-928	17912;-92	-219	-199;-989	-841	-1634;4109278.000;55.387;29.936
30.67396;-394	-1047	17319;-89	-217	-198;-1001	-1026	-1769;4109303.000;55.387;29.936
30.67845;-121	-1412	16684;-89	-217	-198;-810	-1217	-1788;4109303.000;55.387;29.936
30.68295;82	-1922	16414;-100	-220	-200;-637	-1318	-1913;4109303.000;55.387;29.936
30.68745;257	-2544	16678;-100	-220	-200;-143	-1113	-1910;4109303.000;55.387;29.936
30.69195;321	-2907	16834;-95	-222	-194;208	-981	-1890;4109303.000;55.387;29.936
30.69644;429	-3066	17178;-95	-222	-194;724	-708	-1823;4109303.000;55.387;29.936
30.70094;528	-3041	16885;-96	-217	-199;1117	-371	-1698;4109303.000;55.387;29.936
30.70544;650	-2686	16698;-96	-217	-199;1563	-232	-1538;4109303.000;55.387;29.936
30.70994;859	-1856	16811;-94	-224	-196;1956	44	-1211;4109315.000;55.387;29.936
