Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.44258;1993	-4096	20084;-209	-121	-58;-6876	1551	-1040;4119470.000;52.586;31.299
30.44708;2463	-5276	19754;-202	-123	-62;-6231	1985	-487;4119479.000;52.586;31.299
30.45158;2408	-5585	19539;-202	-123	-62;-5474	2798	-167;4119479.000;52.586;31.299
30.45608;1857	-5236	19001;-208	-122	-57;-4668	3312	-149;4119479.000;52.586;31.299
30.46057;1186	-4287	18245;-208	-122	-57;-3969	3675	171;4119479.000;52.586;31.299
30.46507;670	-4022	17286;-202	-116	-65;-3166	4080	306;4119479.000;52.586;31.299
30.46957;182	-4259	16436;-202	-116	-65;-2306	4427	178;4119479.000;52.586;31.299
30.47407;32	-3937	14944;-200	-116	-60;-1450	4831	206;4119479.000;52.586;31.299
30.47856;541	-2793	16010;-200	-116	-60;-1248	5381	175;4119479.000;52.586;31.299
30.48306;-327	-2849	16077;-202	-117	-60;-1142	5638	353;4119451.000;52.586;31.299
30.48756;-348	-3870	16378;-202	-117	-60;-429	5631	152;4119451.000;52.586;31.299
30.49206;31	-3957	16793;-203	-116	-60;-179	5795	222;4119451.000;52.586;31.299
30.49655;478	-3269	16948;-203	-116	-60;-147	5982	372;4119451.000;52.586;31.299
30.50105;248	-2859	17034;-205	-114	-56;-230	5998	218;4119451.000;52.586;31.299
30.50555;92	-3597	16043;-205	-114	-56;-291	5950	212;4119451.000;52.469;31.299
30.51005;-750	-5197	17239;-201	-116	-63;800	6364	-136;4119451.000;52.469;31.299
30.51454;-439	-2698	17320;-201	-116	-63;864	5494	-142;4119451.000;52.469;31.299
30.51904;-439	-1530	17157;-203	-111	-57;492	4970	-384;4119538.000;52.469;31.299
30.52354;-986	-2184	17030;-203	-111	-57;-76	4269	-820;4119538.000;52.469;31.299
30.52804;-1263	-3071	16716;-196	-110	-63;-423	3575	-1065;4119538.000;52.469;31.299
30.53253;-1189	-3505	16524;-196	-110	-63;-474	3081	-1206;4119538.000;52.469;31.299
30.53703;-858	-3369	16333;-201	-109	-55;-400	2698	-1303;4119538.000;52.469;31.299
30.54153;-793	-2874	16134;-201	-109	-55;-298	2223	-1472;4119538.000;52.469;31.299
30.54603;-1012	-2580	16341;-203	-104	-55;-375	1670	-1701;4119538.000;52.469;31.299
30.55052;-1117	-2592	16470;-203	-104	-55;-362	1059	-2037;4119538.000;52.469;31.299
30.55502;-1007	-2665	16459;-196	-104	-58;-433	555	-2184;4119564.000;52.469;31.299
30.55952;-762	-2706	16289;-196	-104	-58;-410	189	-2313;4119564.000;52.469;31.299
30.56402;-503	-2617	15830;-200	-104	-58;-410	44	-2253;4119564.000;52.469;31.299
30.56851;-655	-2440	15358;-200	-104	-58;-336	-84	-2325;4119564.000;52.469;31.299
30.57301;-1178	-2328	15211;-197	-101	-56;-311	-312	-2356;4119564.000;52.469;31.299
30.57751;-1570	-2373	15413;-197	-101	-56;-259	-701	-2388;4119564.000;52.469;31.299
30.58201;-1501	-2360	15841;-200	-102	-58;-243	-1025	-2450;4119564.000;52.469;31.299
30.58650;-1074	-2299	16238;-200	-102	-58;-160	-1276	-2413;4119564.000;52.469;31.299
30.59100;-756	-2249	16691;-196	-106	-56;-112	-1370	-2325;4119523.000;52.469;31.299
30.59550;-514	-2239	16833;-196	-106	-56;-5	-1443	-2307;4119523.000;52.469;31.299
30.60000;-539	-2272	16949;-199	-108	-57;-44	-1386	-2257;4119523.000;52.469;31.299
30.60449;-715	-2333	17022;-199	-108	-57;-83	-1447	-2254;4119523.000;52.469;31.338
30.60899;-633	-2563	17088;-195	-101	-51;-127	-1546	-2279;4119523.000;52.469;31.338
30.61349;-499	-2992	16899;-195	-101	-51;-95	-1710	-2405;4119523.000;52.469;31.338
30.61799;-256	-3376	16867;-203	-104	-55;20	-1842	-2395;4119523.000;52.469;31.338
30.62248;-117	-3545	16603;-203	-104	-55;100	-1813	-2351;4119523.000;52.469;31.338
