Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-2893	11653	14619;-243	-150	-240;-2275	-717	611;4109108.000;64.946;29.330
0.00850;-2787	13057	15762;-240	-155	-247;-2988	-684	438;4109108.000;64.946;29.330
0.01250;-3215	13994	14609;-240	-155	-247;-2925	-723	-100;4109108.000;64.946;29.330
0.01650;-3183	13592	15386;-239	-147	-246;-2111	-639	-392;4109108.000;64.946;29.330
0.02050;-2724	11755	16770;-239	-147	-246;-816	-377	-690;4109108.000;64.946;29.330
0.02450;-1924	9511	17033;-244	-151	-241;334	258	-1001;4109108.000;64.946;29.330
0.02850;-886	7665	17004;-244	-151	-241;1355	887	-1135;4109108.000;64.946;29.330
0.03250;11	6791	15542;-243	-150	-249;2380	1960	-1309;4109092.000;64.946;29.330
0.03700;-337	7003	15062;-243	-150	-249;2596	3168	-1408;4109092.000;64.946;29.330
0.04150;-1807	7668	14900;-244	-144	-241;1999	3978	-1513;4109092.000;64.946;29.330
0.04600;-3371	8554	14738;-242	-147	-240;789	4088	-1405;4109092.000;64.946;29.330
0.05050;-4399	8720	14389;-242	-147	-240;-697	3881	-1430;4109092.000;64.946;29.330
0.05500;-5049	8379	14145;-240	-150	-246;-1838	3535	-1472;4109092.000;64.946;29.312
0.05950;-5447	7425	13411;-240	-150	-246;-2595	3194	-1225;4109092.000;64.946;29.312
0.06400;-5455	6415	12680;-236	-146	-241;-2812	3233	-1209;4109092.000;64.946;29.312
0.06850;-5933	5650	13906;-236	-146	-241;-2375	2980	-1120;4109095.000;64.946;29.312
0.07300;-6310	5601	13434;-241	-138	-241;-1766	2737	-1142;4109095.000;64.946;29.312
0.07750;-6576	6240	11642;-241	-138	-241;-1913	2345	-1180;4109095.000;64.946;29.312
0.08200;-6695	6614	12260;-236	-141	-242;-1621	1924	-1045;4109095.000;64.969;29.312
0.08650;-5981	6404	13854;-236	-141	-242;-1426	1457	-712;4109095.000;64.969;29.312
0.09100;-5377	6251	13773;-235	-143	-244;-1288	1263	-634;4109095.000;64.969;29.312
0.09550;-4850	6161	14064;-235	-143	-244;-1332	936	-740;4109095.000;64.969;29.312
0.10000;-4572	6104	13849;-240	-145	-241;-1272	936	-970;4109095.000;64.969;29.312
0.10450;-4699	5880	14841;-240	-145	-241;-1187	1030	-973;4109084.000;64.969;29.312
0.10900;-5073	5455	14927;-236	-147	-240;-1115	1072	-1037;4109084.000;64.969;29.312
0.11350;-5118	5332	14764;-236	-147	-240;-1084	602	-967;4109084.000;64.969;29.312
0.11800;-4874	5670	14285;-242	-145	-236;-1247	226	-922;4109084.000;64.969;29.312
0.12250;-4746	6364	13709;-242	-145	-236;-1627	-156	-861;4109084.000;64.969;29.312
0.12700;-4583	7445	13528;-236	-135	-247;-2184	-577	-794;4109084.000;64.969;29.312
0.13150;-4648	8282	13462;-236	-135	-247;-2799	-827	-794;4109084.000;64.969;29.312
0.13600;-4579	8801	13670;-238	-143	-245;-3654	-1235	-775;4109112.000;64.969;29.312
0.14050;-4648	9108	13913;-238	-143	-245;-4497	-1621	-768;4109112.000;64.969;29.312
0.14500;-4588	9143	13632;-236	-144	-241;-5238	-2013	-823;4109112.000;64.969;29.312
0.14950;-4193	8790	13144;-236	-144	-241;-5873	-2139	-906;4109112.000;64.969;29.312
0.15400;-4131	8089	14176;-238	-141	-245;-6134	-2240	-647;4109112.000;64.969;29.312
0.15850;-3772	7182	13493;-238	-141	-245;-5543	-2398	-666;4109112.000;64.969;29.312
0.16300;-3893	6206	12444;-229	-141	-243;-5549	-2081	-762;4109112.000;64.969;29.312
0.16750;-4051	5372	15574;-229	-141	-243;-4918	-2023	-516;4109112.000;64.969;29.312
0.17200;-3745	5267	16278;-234	-148	-246;-3481	-1524	-788;4109102.000;64.969;29.312
0.17650;-3756	5230	15945;-234	-148	-246;-2724	-1083	-887;4109102.000;64.969;29.312
0.18100;-3897	5411	16187;-226	-150	-239;-1665	-824	-1006;4109102.000;64.969;29.330
0.18550;-4017	6278	16076;-226	-150	-239;-565	-668	-1291;4109102.000;64.969;29.330
0.19000;-3602	6966	16281;-226	-153	-237;88	-464	-1300;4109102.000;64.969;29.330
0.19450;-3206	7337	15416;-226	-153	-237;428	-224	-1440;4109102.000;64.969;29.330
0.19900;-2973	7310	15224;-229	-148	-238;676	-101	-1661;4109102.000;64.969;29.330
0.20350;-2778	6976	14789;-229	-148	-238;554	323	-1834;4109102.000;64.969;29.330
0.20800;-3267	6710	14277;-223	-149	-238;328	777	-1860;4109096.000;64.969;29.330
0.21250;-3680	6569	14453;-223	-149	-238;95	758	-1819;4109096.000;64.976;29.330
0.21700;-4493	6290	14426;-229	-145	-242;-40	877	-1861;4109096.000;64.976;29.330
0.22150;-5042	5941	14425;-229	-145	-242;425	524	-2075;4109096.000;64.976;29.330
0.22600;-5130	5520	14118;-223	-146	-240;752	213	-2283;4109096.000;64.976;29.330
0.23050;-5471	5769	14998;-223	-146	-240;1097	317	-2498;4109096.000;64.976;29.330
0.23500;-5566	6236	15283;-228	-148	-242;2207	249	-2540;4109096.000;64.976;29.330
0.23950;-5592	6343	14725;-228	-148	-242;2867	-95	-2976;4109096.000;64.976;29.330
0.24400;-5589	5870	14240;-230	-142	-239;3542	-351	-3456;4109113.000;64.976;29.330
0.24850;-5505	5843	14191;-230	-142	-239;4281	-380	-3693;4109113.000;64.976;29.330
0.25300;-5514	5587	14216;-232	-150	-241;4787	-613	-3533;4109113.000;64.976;29.330
0.25750;-5479	5580	14096;-236	-147	-238;5133	-775	-3574;4109113.000;64.976;29.330
0.26200;-5341	6061	13488;-236	-147	-238;5371	-814	-3696;4109113.000;64.976;29.330
0.26650;-5131	6721	13246;-235	-148	-244;5381	-629	-3715;4109113.000;64.976;29.330
0.27100;-5158	7425	13722;-235	-148	-244;4853	-526	-3584;4109113.000;64.976;29.330
0.27550;-5311	8199	13813;-234	-149	-241;3621	-645	-3305;4109113.000;64.976;29.330
0.28000;-5398	8900	13924;-234	-149	-241;2128	-947	-2902;4109123.000;64.976;29.330
0.28450;-5241	9454	13959;-238	-150	-245;378	-1407	-2610;4109123.000;64.976;29.330
0.28900;-5217	9653	14428;-238	-150	-245;-1301	-1689	-2488;4109123.000;64.976;29.330
0.29350;-4940	9829	15007;-235	-153	-241;-2988	-2019	-2254;4109123.000;64.976;29.330
0.29800;-4691	9581	14055;-235	-153	-241;-4025	-2136	-2184;4109123.000;64.976;29.330
0.30250;-4433	8749	13376;-231	-150	-238;-4506	-2129	-2236;4109123.000;64.976;29.330
0.30700;-4258	7495	14336;-231	-150	-238;-5254	-2217	-2056;4109123.000;64.976;29.367
0.31150;-4421	6909	14894;-237	-150	-239;-6130	-2068	-1662;4109121.000;64.976;29.367
0.31600;-4569	6802	14322;-237	-150	-239;-6225	-2223	-1587;4109121.000;64.976;29.367
0.32050;-4428	6199	14315;-230	-152	-238;-6109	-2424	-1424;4109121.000;64.976;29.367
0.32500;-4305	5541	14898;-230	-152	-238;-6080	-2178	-1132;4109121.000;64.976;29.367
0.32950;-4265	5505	15376;-229	-156	-243;-5989	-2149	-1038;4109121.000;64.976;29.367
0.33400;-4130	5580	15511;-229	-156	-243;-5952	-2243	-951;4109121.000;64.976;29.367
0.33850;-3899	5111	15160;-228	-156	-242;-5653	-2197	-756;4109121.000;64.996;29.367
0.34300;-3866	4438	15468;-228	-156	-242;-5336	-2084	-653;4109121.000;64.996;29.367
0.34750;-3955	3958	15773;-224	-160	-241;-5141	-2022	-486;4109143.000;64.996;29.367
0.35200;-4012	3749	15501;-224	-160	-241;-4899	-2016	-329;4109143.000;64.996;29.367
0.35650;-3922	3657	15257;-224	-155	-251;-4459	-2058	-322;4109143.000;64.996;29.367
0.36100;-3777	3608	15092;-224	-155	-251;-4138	-1964	-185;4109143.000;64.996;29.367
0.36550;-3616	3766	15348;-230	-155	-241;-4053	-1721	22;4109143.000;64.996;29.367
0.37000;-3549	4219	15858;-230	-155	-241;-3956	-1562	74;4109143.000;64.996;29.367
0.37450;-3289	4383	16392;-215	-155	-241;-3777	-1504	119;4109143.000;64.996;29.367
0.37900;-3021	4327	16321;-215	-155	-241;-3268	-1164	71;4109143.000;64.996;29.367
0.38350;-2798	4029	16721;-216	-161	-241;-2743	-879	-89;4109162.000;64.996;29.367
0.38800;-2756	3892	17060;-216	-161	-241;-2108	-581	-185;4109162.000;64.996;29.367
0.39250;-2643	3973	16777;-220	-154	-241;-1301	-435	-352;4109162.000;64.996;29.367
0.39700;-2487	3882	16638;-220	-154	-241;-524	-195	-496;4109162.000;64.996;29.367
0.40150;-2432	3827	16584;-219	-166	-244;151	129	-576;4109162.000;64.996;29.367
0.40600;-2431	4273	16186;-219	-166	-244;663	395	-679;4109162.000;64.996;29.367
0.41050;-2511	4728	16000;-211	-163	-245;1009	670	-775;4109162.000;64.996;29.367
0.41500;-2696	5218	15549;-211	-163	-245;1160	809	-762;4109162.000;64.996;29.367
0.41950;-2969	5465	15432;-221	-163	-245;1066	939	-714;4109128.000;64.996;29.367
0.42400;-3275	5518	15485;-221	-163	-245;751	962	-611;4109128.000;64.996;29.367
0.42850;-3514	5426	15302;-220	-158	-244;406	865	-640;4109128.000;64.996;29.367
0.43300;-3710	5316	15516;-220	-158	-244;189	699	-676;4109128.000;64.996;29.330
0.43750;-3700	5246	15459;-223	-158	-239;130	521	-778;4109128.000;64.996;29.330
0.44200;-3630	5373	15068;-223	-158	-239;217	498	-743;4109128.000;64.996;29.330
0.44650;-3797	5643	15021;-221	-162	-237;233	485	-791;4109128.000;64.996;29.330
0.45100;-4089	5812	15082;-221	-162	-237;199	233	-762;4109128.000;64.996;29.330
0.45550;-4145	6016	14574;-224	-155	-242;26	61	-676;4109156.000;64.996;29.330
0.46000;-4215	5968	14339;-220	-161	-239;-279	-65	-576;4109156.000;64.996;29.330
0.46450;-4342	5952	14763;-220	-161	-239;-515	-163	-519;4109156.000;64.824;29.330
0.46900;-4392	5911	14683;-219	-161	-242;-710	-224	-563;4109156.000;64.824;29.330
0.47350;-4458	5718	14760;-219	-161	-242;-782	-293	-608;4109156.000;64.824;29.330
0.47800;-4547	5387	15005;-224	-164	-242;-656	-438	-640;4109156.000;64.824;29.330
0.48250;-4420	5070	14980;-224	-164	-242;-424	-552	-624;4109156.000;64.824;29.330
0.48700;-4328	4964	14813;-223	-162	-241;-172	-668	-698;4109117.000;64.824;29.330
0.49150;-4102	5141	14650;-223	-162	-241;110	-714	-656;4109117.000;64.824;29.330
0.49600;-4007	5381	14924;-217	-164	-244;365	-733	-464;4109117.000;64.824;29.330
0.50050;-3897	5630	14965;-217	-164	-244;459	-652	-490;4109117.000;64.824;29.330
0.50500;-3872	5649	15041;-221	-161	-246;472	-555	-586;4109117.000;64.824;29.330
0.50950;-3805	5501	15171;-221	-161	-246;626	-535	-515;4109117.000;64.824;29.330
0.51400;-3906	5339	15227;-219	-158	-246;777	-558	-592;4109117.000;64.824;29.330
