Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.44058;11681	-7490	2997;181	-259	168;5217	-1805	7629;4131587.000;49.217;32.083
30.44508;11661	-7331	3023;181	-259	168;5429	-1869	7523;4131600.000;49.217;32.083
30.44958;11663	-7213	3066;185	-249	170;5615	-1933	7191;4131600.000;49.217;32.083
30.45408;11633	-7115	3175;185	-249	170;5718	-2030	6949;4131600.000;49.217;32.083
30.45857;11561	-6999	3201;191	-249	166;5750	-2004	6764;4131600.000;49.217;32.083
30.46307;11540	-6989	3349;194	-249	166;5769	-2052	6469;4131600.000;49.217;32.083
30.46757;11469	-6905	3358;194	-249	166;5727	-2004	6146;4131600.000;49.217;32.083
30.47207;11387	-6892	3473;196	-250	163;5631	-2007	5839;4131600.000;49.217;32.083
30.47656;11337	-6885	3500;196	-250	163;5515	-1985	5522;4131600.000;49.217;32.083
30.48106;11247	-6801	3589;196	-237	160;5384	-2026	5151;4131631.000;49.217;32.083
30.48556;11168	-6785	3558;196	-237	160;5160	-2014	4797;4131631.000;49.217;32.083
30.49006;11068	-6762	3626;193	-242	159;4990	-1950	4449;4131631.000;49.217;32.102
30.49455;11061	-6813	3694;193	-242	159;4736	-1908	4066;4131631.000;49.217;32.102
30.49905;11033	-6895	3697;197	-240	154;4537	-1879	3686;4131631.000;49.217;32.102
30.50355;10965	-6915	3732;197	-240	154;4364	-1680	3335;4131631.000;49.217;32.102
30.50805;10919	-7091	3755;196	-238	161;4206	-1754	2880;4131631.000;49.217;32.102
30.51254;10921	-7264	3714;196	-238	161;4075	-1696	2457;4131631.000;49.217;32.102
30.51704;10948	-7493	3696;194	-235	154;4030	-1660	2213;4131677.000;49.217;32.102
30.52154;10966	-7699	3686;194	-235	154;4004	-1593	1758;4131677.000;49.313;32.102
30.52604;10948	-7790	3670;196	-230	149;4007	-1538	1536;4131677.000;49.313;32.102
30.53053;11002	-7926	3580;196	-230	149;4004	-1461	1175;4131677.000;49.313;32.102
30.53503;11035	-7905	3588;192	-232	149;3937	-1394	964;4131677.000;49.313;32.102
30.53953;10988	-7810	3552;192	-232	149;3988	-1326	670;4131677.000;49.313;32.102
30.54403;10928	-7714	3502;200	-234	147;3943	-1259	337;4131677.000;49.313;32.102
30.54852;10902	-7627	3496;200	-234	147;3869	-1210	218;4131677.000;49.313;32.102
30.55302;10994	-7695	3476;202	-234	149;3821	-1082	-121;4131628.000;49.313;32.102
30.55752;10992	-7707	3499;202	-234	149;3837	-1063	-221;4131628.000;49.313;32.102
30.56202;11079	-7765	3483;192	-233	149;3760	-1034	-504;4131628.000;49.313;32.102
30.56651;11203	-7715	3543;192	-233	149;3693	-982	-701;4131628.000;49.313;32.102
30.57101;11277	-7753	3699;199	-235	144;3654	-931	-836;4131628.000;49.313;32.102
30.57551;11408	-7723	3763;199	-235	144;3516	-921	-1034;4131628.000;49.313;32.102
30.58001;11531	-7675	3838;198	-231	143;3398	-780	-1134;4131628.000;49.313;32.102
30.58451;11600	-7706	3948;198	-231	143;3285	-738	-1272;4131628.000;49.313;32.102
30.58900;11679	-7637	4018;201	-235	138;3134	-706	-1445;4131530.000;49.313;32.102
30.59350;11876	-7636	4057;201	-235	138;2897	-667	-1608;4131530.000;49.313;32.102
30.59800;12045	-7639	4147;198	-239	136;2762	-632	-1755;4131530.000;49.313;32.102
30.60250;12246	-7667	4157;198	-239	136;2608	-619	-1912;4131530.000;49.313;32.102
30.60699;12515	-7731	4239;195	-233	138;2502	-629	-2044;4131530.000;49.313;32.102
30.61149;12697	-7736	4269;195	-233	138;2313	-584	-2200;4131530.000;49.313;32.102
30.61599;12983	-7783	4318;197	-237	136;2156	-603	-2370;4131530.000;49.313;32.102
30.62049;13217	-7741	4264;197	-237	136;1979	-558	-2564;4131530.000;49.313;32.102
30.62498;13391	-7754	4316;197	-240	140;1857	-581	-2763;4131566.000;49.313;32.102
