Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.23370;-19555	2167	3528;-387	92	56;-1161	-6210	5179;4108800.000;52.039;30.229
30.23820;-20007	2262	3275;-388	91	49;-1145	-6483	5362;4108800.000;52.039;30.229
30.24269;-20534	2235	3049;-388	91	49;-1133	-6781	5785;4108800.000;52.039;30.229
30.24719;-21073	2139	2933;-390	87	48;-1117	-7183	6256;4108800.000;52.039;30.229
30.25169;-21423	2120	2778;-390	87	48;-1124	-7698	6470;4108800.000;52.039;30.229
30.25619;-21665	2090	2680;-395	94	47;-1205	-8354	6900;4108800.000;52.039;30.229
30.26068;-21752	2118	2571;-395	94	47;-1262	-8811	7348;4108800.000;52.039;30.229
30.26518;-21738	2050	2448;-393	92	39;-1290	-9394	7678;4108820.000;52.039;30.229
30.26968;-21710	1994	2323;-393	92	39;-1362	-9981	8056;4108820.000;52.039;30.229
30.27418;-21534	1892	2147;-400	93	42;-1447	-10445	8491;4108820.000;52.039;30.229
30.27867;-21409	1760	1985;-400	93	42;-1454	-10918	8799;4108820.000;52.039;30.266
30.28317;-21226	1640	1762;-401	86	34;-1403	-11430	9167;4108820.000;52.039;30.266
30.28767;-21071	1624	1517;-401	86	34;-1485	-11852	9565;4108820.000;52.039;30.266
30.29217;-20863	1544	1291;-405	84	33;-1394	-12186	9862;4108820.000;52.039;30.266
30.29666;-20630	1459	1054;-405	84	33;-1274	-12539	10176;4108820.000;52.039;30.266
30.30116;-20461	1375	889;-411	90	27;-1189	-12847	10545;4108809.000;52.039;30.266
30.30566;-20400	1364	669;-411	90	27;-1020	-13197	10830;4108809.000;52.039;30.266
30.31016;-20278	1290	619;-416	85	18;-856	-13405	11089;4108809.000;51.957;30.266
30.31465;-20056	1346	495;-416	85	18;-646	-13739	11503;4108809.000;51.957;30.266
30.31915;-19829	1346	415;-412	85	22;-454	-14092	11701;4108809.000;51.957;30.266
30.32365;-19524	1383	378;-419	83	20;-322	-14300	12037;4108809.000;51.957;30.266
30.32815;-19088	1329	275;-419	83	20;-74	-14672	12444;4108809.000;51.957;30.266
30.33264;-18722	1391	399;-428	81	12;99	-14841	12710;4108809.000;51.957;30.266
30.33714;-18263	1314	395;-428	81	12;266	-15078	12992;4108790.000;51.957;30.266
30.34164;-17902	1288	562;-433	82	3;473	-15191	13421;4108790.000;51.957;30.266
30.34614;-17571	1135	709;-433	82	3;633	-15289	13713;4108790.000;51.957;30.266
30.35063;-17300	1021	754;-432	78	-1;793	-15379	13998;4108790.000;51.957;30.266
30.35513;-17074	917	852;-432	78	-1;1079	-15373	14385;4108790.000;51.957;30.266
30.35963;-16855	788	901;-438	68	-6;1403	-15415	14561;4108790.000;51.957;30.266
30.36413;-16702	730	790;-438	68	-6;1648	-15486	14891;4108790.000;51.957;30.266
30.36862;-16536	626	683;-442	69	-12;1940	-15477	15119;4108790.000;51.957;30.266
30.37312;-16332	610	702;-442	69	-12;2305	-15418	15349;4108793.000;51.957;30.266
30.37762;-16087	514	594;-448	64	-11;2666	-15366	15554;4108793.000;51.957;30.266
30.38212;-15782	505	512;-448	64	-11;3113	-15395	15852;4108793.000;51.957;30.266
30.38661;-15572	503	389;-455	52	-13;3505	-15224	15961;4108793.000;51.957;30.266
30.39111;-15405	521	212;-455	52	-13;3898	-15100	16025;4108793.000;51.957;30.266
30.39561;-15178	617	162;-462	58	-24;4269	-14912	16182;4108793.000;51.957;30.266
30.40011;-15018	764	161;-462	58	-24;4542	-14731	16259;4108793.000;51.957;30.266
30.40460;-14860	957	89;-458	51	-23;4828	-14559	16265;4108793.000;51.957;30.266
30.40910;-14778	1171	135;-458	51	-23;5083	-14261	16291;4108829.000;51.957;30.229
30.41360;-14620	1415	237;-467	43	-33;5262	-14060	16220;4108829.000;51.957;30.229
30.41810;-14571	1697	367;-467	43	-33;5400	-13829	16128;4108829.000;51.957;30.229
30.42259;-14450	2105	608;-473	36	-25;5624	-13463	16009;4108829.000;51.957;30.229
30.42709;-14555	2437	760;-473	36	-25;5765	-13077	15852;4108829.000;51.957;30.229
30.43159;-14755	2718	887;-480	33	-27;5916	-12753	15644;4108829.000;51.957;30.229
30.43609;-15114	2813	938;-480	33	-27;6111	-12374	15349;4108829.000;52.010;30.229
30.44058;-15397	2982	969;-473	27	-28;6230	-12128	15035;4108803.000;52.010;30.229
30.44508;-15472	2982	949;-473	27	-28;6321	-12001	14786;4108803.000;52.010;30.229
30.44958;-15472	3021	810;-486	16	-30;6324	-11949	14513;4108803.000;52.010;30.229
30.45408;-15271	2956	808;-486	16	-30;6327	-11833	14135;4108803.000;52.010;30.229
30.45857;-14910	2987	628;-487	16	-34;6258	-11729	13841;4108803.000;52.010;30.229
30.46307;-14482	3007	445;-487	16	-34;6161	-11482	13524;4108803.000;52.010;30.229
30.46757;-14169	3108	369;-491	11	-34;6007	-11187	13194;4108803.000;52.010;30.229
30.47207;-13946	3283	178;-491	11	-34;5790	-10889	12867;4108803.000;52.010;30.229
30.47656;-13750	3512	97;-495	10	-39;5451	-10607	12502;4108812.000;52.010;30.229
30.48106;-13585	3778	69;-495	10	-39;5149	-10292	12146;4108812.000;52.010;30.229
30.48556;-13539	4040	-97;-498	0	-34;4832	-10052	11845;4108812.000;52.010;30.229
30.49006;-13401	4172	-82;-498	0	-34;4404	-9803	11390;4108812.000;52.010;30.229
30.49455;-13290	4350	-64;-498	-9	-33;4046	-9553	11009;4108812.000;52.010;30.229
30.49905;-13098	4399	-253;-498	-9	-33;3666	-9423	10663;4108812.000;52.010;30.229
30.50355;-12906	4420	-182;-502	-10	-38;3314	-9080	10176;4108812.000;52.010;30.229
30.50805;-12789	4377	-168;-502	-10	-38;2908	-8850	9763;4108812.000;52.010;30.229
30.51254;-12617	4416	-191;-512	-14	-43;2496	-8600	9401;4108780.000;52.010;30.229
30.51704;-12592	4262	-150;-512	-14	-43;2120	-8198	8882;4108780.000;52.010;30.229
30.52154;-12590	4139	-197;-509	-15	-40;1799	-7884	8485;4108780.000;52.010;30.229
30.52604;-12814	4024	-184;-509	-15	-40;1431	-7523	8005;4108780.000;52.010;30.229
30.53053;-12959	3752	-66;-509	-20	-38;1284	-7203	7566;4108780.000;52.010;30.229
