Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;24112	-2594	2976;-97	-406	21;-21624	-11840	-21204;4107315.000;56.984;29.404
0.00850;23898	-2983	3027;-108	-411	27;-22463	-11510	-20717;4107315.000;56.984;29.404
0.01250;23744	-3486	2962;-108	-411	27;-23192	-11137	-20403;4107315.000;56.984;29.404
0.01650;23568	-3867	2951;-117	-405	34;-23827	-10933	-20134;4107315.000;56.984;29.404
0.02050;23400	-4397	2868;-117	-405	34;-24408	-10638	-19794;4107315.000;56.984;29.404
0.02450;23274	-4853	2863;-124	-413	40;-24795	-10489	-19519;4107315.000;56.984;29.404
0.02850;23158	-5374	2906;-124	-413	40;-25084	-10321	-19323;4107315.000;56.984;29.404
0.03250;22992	-5860	2932;-141	-414	55;-25112	-10029	-18949;4107322.000;56.984;29.404
0.03700;22910	-6316	2970;-141	-414	55;-25077	-9838	-18792;4107322.000;56.984;29.404
0.04150;22851	-6734	3053;-150	-415	57;-25002	-9683	-18603;4107322.000;56.984;29.404
0.04600;22657	-7129	3154;-150	-415	57;-24669	-9452	-18359;4107322.000;56.984;29.404
0.05050;22481	-7455	3363;-164	-415	60;-24317	-9368	-18173;4107322.000;56.984;29.440
0.05500;22277	-7824	3492;-164	-415	60;-23833	-9135	-18001;4107322.000;56.984;29.440
0.05950;21995	-8111	3784;-177	-412	68;-23113	-8908	-17844;4107322.000;56.984;29.440
0.06400;21607	-8415	3982;-177	-412	68;-22387	-8711	-17668;4107331.000;56.984;29.440
0.06850;21191	-8568	4216;-186	-411	76;-21586	-8428	-17470;4107331.000;56.984;29.440
0.07300;20668	-8795	4582;-186	-411	76;-20593	-8244	-17267;4107331.000;56.984;29.440
0.07750;20075	-8990	4898;-198	-417	82;-19669	-7971	-17030;4107331.000;56.984;29.440
