Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.25619;21117	-628	248;11	-316	-80;-59	5770	7654;4107545.000;54.924;30.321
30.26068;21312	-627	159;3	-317	-92;-323	6231	7635;4107545.000;54.924;30.321
30.26518;21238	-701	176;3	-317	-92;-691	6801	7626;4107545.000;54.924;30.321
30.26968;21094	-689	108;10	-309	-83;-1118	7304	7593;4107545.000;54.835;30.321
30.27418;20921	-725	268;10	-309	-83;-1479	7622	7456;4107545.000;54.835;30.321
30.27867;20631	-678	304;12	-306	-96;-1869	7819	7428;4107545.000;54.835;30.321
30.28317;20334	-622	280;12	-306	-96;-2275	8069	7409;4107545.000;54.835;30.321
30.28767;19965	-595	277;17	-302	-88;-2692	8254	7335;4107512.000;54.835;30.321
30.29217;19656	-666	367;17	-302	-88;-3110	8419	7276;4107512.000;54.835;30.321
30.29666;19154	-666	449;21	-298	-94;-3525	8604	7235;4107512.000;54.835;30.321
30.30116;18662	-794	611;21	-298	-94;-3918	8620	7222;4107512.000;54.835;30.321
30.30566;18241	-893	728;18	-297	-82;-4323	8630	7222;4107512.000;54.835;30.321
30.31016;17890	-974	630;18	-297	-82;-4682	8471	7215;4107512.000;54.835;30.321
30.31465;17571	-1094	808;20	-295	-93;-4902	8438	7241;4107512.000;54.835;30.321
30.31915;17289	-1231	825;20	-295	-93;-5147	8231	7231;4107512.000;54.835;30.321
30.32365;17123	-1384	848;24	-295	-82;-5424	8092	7161;4107532.000;54.835;30.321
30.32815;16982	-1568	839;24	-295	-82;-5606	7978	7199;4107532.000;54.835;30.321
30.33264;16743	-1731	954;27	-287	-93;-5678	7852	7199;4107532.000;54.835;30.321
30.33714;16593	-1846	1063;27	-287	-93;-5860	7638	7104;4107532.000;54.835;30.321
30.34164;16500	-2000	1185;26	-284	-85;-5794	7408	6991;4107532.000;54.835;30.321
30.34614;16597	-2326	1287;26	-284	-85;-5772	7080	6877;4107532.000;54.835;30.321
30.35063;16938	-2489	1288;30	-279	-88;-5634	6792	6777;4107532.000;54.835;30.321
30.35513;17259	-2579	1292;30	-279	-88;-5562	6490	6675;4107532.000;54.835;30.321
30.35963;17559	-2531	1106;31	-274	-76;-5502	6438	6617;4107537.000;54.835;30.321
30.36413;17712	-2487	1261;31	-274	-76;-5493	6464	6527;4107537.000;54.835;30.321
30.36862;17575	-2620	1249;34	-272	-90;-5477	6490	6469;4107537.000;54.835;30.303
30.37312;17423	-2610	1247;34	-272	-90;-5373	6470	6395;4107537.000;54.835;30.303
30.37762;17256	-2664	1254;28	-270	-84;-5291	6406	6344;4107537.000;54.835;30.303
30.38212;17073	-2723	1203;28	-270	-84;-5150	6305	6296;4107537.000;54.835;30.303
30.38661;16963	-2644	1195;27	-266	-89;-5037	6185	6225;4107537.000;54.835;30.303
30.39111;16795	-2613	1051;27	-266	-89;-4933	6192	6242;4107537.000;54.835;30.303
30.39561;16746	-2638	946;40	-268	-81;-4839	6143	6201;4107528.000;54.835;30.303
30.40011;16590	-2594	1034;40	-268	-81;-4776	6098	6060;4107528.000;54.875;30.303
30.40460;16570	-2558	889;33	-267	-81;-4606	6140	6086;4107528.000;54.875;30.303
30.40910;16544	-2574	783;33	-267	-81;-4503	6088	5990;4107528.000;54.875;30.303
30.41360;16306	-2593	784;39	-259	-79;-4453	6201	5922;4107528.000;54.875;30.303
30.41810;16185	-2551	673;39	-259	-79;-4430	6218	5925;4107528.000;54.875;30.303
30.42259;16098	-2504	627;36	-258	-78;-4443	6357	5836;4107528.000;54.875;30.303
30.42709;15999	-2492	657;36	-258	-78;-4566	6328	5743;4107528.000;54.875;30.303
30.43159;15929	-2293	677;41	-251	-79;-4610	6467	5631;4107543.000;54.875;30.303
30.43609;15815	-2312	635;41	-251	-79;-4691	6435	5506;4107543.000;54.875;30.303
30.44058;15808	-2274	621;36	-255	-78;-4829	6487	5336;4107543.000;54.875;30.303
30.44508;15735	-2196	523;38	-251	-71;-4984	6539	5192;4107543.000;54.875;30.303
30.44958;15750	-2226	624;38	-251	-71;-5147	6487	5064;4107543.000;54.875;30.303
30.45408;15639	-2157	649;40	-247	-78;-5389	6594	4791;4107543.000;54.875;30.303
30.45857;15665	-2176	706;40	-247	-78;-5596	6571	4641;4107543.000;54.875;30.303
30.46307;15629	-2120	749;42	-247	-68;-5747	6616	4493;4107507.000;54.875;30.303
30.46757;15500	-2135	733;42	-247	-68;-5992	6587	4144;4107507.000;54.875;30.303
30.47207;15478	-2205	786;40	-240	-77;-6174	6633	3949;4107507.000;54.875;30.303
30.47656;15400	-2299	826;40	-240	-77;-6347	6633	3722;4107507.000;54.875;30.303
30.48106;15350	-2370	961;38	-243	-71;-6501	6581	3372;4107507.000;54.875;30.303
30.48556;15248	-2370	949;38	-243	-71;-6662	6591	3106;4107507.000;54.875;30.303
30.49006;15174	-2480	925;45	-235	-71;-6797	6529	2846;4107507.000;54.875;30.303
30.49455;15128	-2469	996;45	-235	-71;-6938	6513	2484;4107507.000;54.875;30.321
30.49905;15032	-2601	938;44	-232	-69;-7017	6516	2139;4107484.000;54.875;30.321
30.50355;14931	-2732	965;44	-232	-69;-7180	6432	1796;4107484.000;54.875;30.321
30.50805;14809	-2813	1101;41	-231	-62;-7274	6483	1482;4107484.000;54.875;30.321
30.51254;14758	-2902	1032;41	-231	-62;-7340	6390	1081;4107484.000;54.875;30.321
30.51704;14630	-2976	1074;43	-232	-63;-7456	6432	701;4107484.000;54.875;30.321
30.52154;14467	-3078	1140;43	-232	-63;-7583	6328	361;4107484.000;54.875;30.321
30.52604;14397	-3181	1189;47	-238	-63;-7623	6263	-74;4107484.000;54.908;30.321
30.53053;14278	-3270	1222;47	-238	-63;-7686	6150	-398;4107484.000;54.908;30.321
30.53503;14241	-3360	1208;43	-232	-57;-7667	6117	-785;4107453.000;54.908;30.321
30.53953;14167	-3365	1274;43	-232	-57;-7683	6046	-1134;4107453.000;54.908;30.321
30.54403;14166	-3366	1228;45	-233	-52;-7771	5965	-1496;4107453.000;54.908;30.321
30.54852;14082	-3396	1285;45	-233	-52;-7890	5946	-1781;4107453.000;54.908;30.321
30.55302;14059	-3416	1219;46	-229	-63;-7938	5848	-2115;4107453.000;54.908;30.321
30.55752;14085	-3460	1233;46	-229	-63;-8010	5790	-2407;4107453.000;54.908;30.321
30.56202;14093	-3632	1304;49	-236	-51;-8101	5754	-2653;4107453.000;54.908;30.321
30.56651;14074	-3701	1197;49	-236	-51;-8205	5718	-2958;4107453.000;54.908;30.321
30.57101;14114	-3815	1150;48	-237	-47;-8352	5683	-3223;4107464.000;54.908;30.321
30.57551;14321	-3878	1088;48	-237	-47;-8585	5621	-3425;4107464.000;54.908;30.321
30.58001;14361	-3884	1092;45	-239	-44;-8761	5660	-3719;4107464.000;54.908;30.321
30.58451;14467	-3894	999;45	-239	-44;-9003	5637	-3924;4107464.000;54.908;30.321
30.58900;14613	-3919	909;48	-235	-44;-9326	5683	-4143;4107464.000;54.908;30.321
30.59350;14608	-3996	853;48	-235	-44;-9584	5666	-4396;4107464.000;54.908;30.321
30.59800;14728	-3948	802;45	-243	-37;-9917	5692	-4591;4107464.000;54.908;30.321
30.60250;14842	-3954	707;45	-243	-37;-10285	5725	-4636;4107464.000;54.908;30.321
30.60699;14914	-3989	648;43	-240	-41;-10681	5748	-4927;4107486.000;54.908;30.321
30.61149;15014	-3954	564;43	-240	-41;-11052	5887	-5145;4107486.000;54.908;30.321
30.61599;15154	-3990	541;45	-242	-34;-11551	5858	-5155;4107486.000;54.908;30.321
30.62049;15249	-4033	405;45	-242	-34;-12039	5975	-5340;4107486.000;54.908;30.321
30.62498;15244	-4071	508;49	-244	-31;-12529	6010	-5459;4107486.000;54.908;30.303
30.62948;15308	-4121	490;49	-244	-31;-13101	6078	-5590;4107486.000;54.908;30.303
30.63398;15301	-4143	464;43	-248	-24;-13632	6010	-5753;4107486.000;54.908;30.303
30.63848;15306	-4153	390;43	-248	-24;-14188	6091	-5908;4107489.000;54.908;30.303
30.64297;15345	-4258	389;45	-250	-23;-14791	6036	-5969;4107489.000;54.908;30.303
30.64747;15300	-4407	355;45	-250	-23;-15342	6153	-6081;4107489.000;54.908;30.303
30.65197;15324	-4551	205;37	-249	-20;-15835	6231	-6270;4107489.000;54.829;30.303
30.65647;15193	-4729	145;37	-249	-20;-16438	6283	-6314;4107489.000;54.829;30.303
30.66096;15219	-4897	-27;42	-254	-17;-16818	6334	-6388;4107489.000;54.829;30.303
30.66546;15190	-4978	-200;42	-254	-17;-17221	6373	-6574;4107489.000;54.829;30.303
30.66996;15260	-5118	-503;36	-256	-8;-17610	6344	-6660;4107489.000;54.829;30.303
30.67446;15223	-5182	-565;37	-259	-4;-17909	6386	-6782;4107494.000;54.829;30.303
30.67895;15283	-5311	-817;37	-259	-4;-18211	6552	-6859;4107494.000;54.829;30.303
30.68345;15337	-5375	-1053;31	-265	5;-18484	6568	-6939;4107494.000;54.829;30.303
30.68795;15353	-5469	-1162;31	-265	5;-18638	6581	-7067;4107494.000;54.829;30.303
30.69245;15337	-5509	-1393;39	-264	6;-18845	6753	-7169;4107494.000;54.829;30.303
30.69694;15458	-5715	-1474;39	-264	6;-18980	6792	-7275;4107494.000;54.829;30.303
30.70144;15477	-5819	-1499;24	-267	13;-19081	6869	-7435;4107494.000;54.829;30.303
30.70594;15534	-5990	-1593;24	-267	13;-19229	6944	-7454;4107494.000;54.829;30.303
30.71044;15512	-6089	-1695;27	-276	20;-19310	7031	-7512;4107492.000;54.829;30.303
30.71493;15605	-6228	-1727;27	-276	20;-19329	7012	-7640;4107492.000;54.829;30.303
30.71943;15633	-6329	-1786;17	-281	30;-19402	7041	-7765;4107492.000;54.829;30.303
30.72393;15818	-6386	-1910;17	-281	30;-19402	7061	-7842;4107492.000;54.829;30.303
30.72843;15914	-6370	-1914;23	-282	31;-19408	7151	-7976;4107492.000;54.829;30.303
30.73292;16031	-6391	-2073;23	-282	31;-19461	7148	-8085;4107492.000;54.829;30.303
30.73742;16118	-6474	-2083;13	-282	41;-19449	7271	-8181;4107492.000;54.829;30.303
30.74192;16235	-6371	-2217;13	-282	41;-19581	7262	-8258;4107492.000;54.829;30.303
30.74642;16294	-6441	-2337;17	-282	36;-19647	7343	-8418;4107479.000;54.829;30.303
30.75091;16409	-6310	-2365;17	-282	36;-19801	7369	-8479;4107479.000;54.829;30.321
30.75541;16468	-6251	-2475;6	-286	43;-20065	7443	-8534;4107479.000;54.829;30.321
30.75991;16666	-6105	-2640;6	-286	43;-20329	7505	-8716;4107479.000;54.829;30.321
30.76441;16802	-6107	-2880;6	-288	49;-20571	7560	-8770;4107479.000;54.829;30.321
30.76890;16840	-6078	-3149;6	-288	49;-20832	7596	-8732;4107479.000;54.829;30.321
30.77340;16818	-5955	-3407;-10	-296	59;-21281	7787	-8736;4107479.000;54.829;30.321
30.77790;16890	-5884	-3500;-10	-296	59;-21639	7972	-8806;4107479.000;54.905;30.321
30.78240;16822	-5804	-3661;-5	-302	61;-21969	8079	-8886;4107472.000;54.905;30.321
30.78689;16724	-5713	-3859;-5	-302	61;-22463	8069	-8883;4107472.000;54.905;30.321
30.79139;16846	-5649	-3938;-7	-300	70;-22796	8137	-8921;4107472.000;54.905;30.321
30.79589;16996	-5674	-3981;-7	-300	70;-23104	8182	-8940;4107472.000;54.905;30.321
30.80039;17230	-5665	-4080;-11	-311	72;-23540	8063	-8854;4107472.000;54.905;30.321
30.80488;17300	-5640	-4202;-11	-311	72;-23921	8160	-8911;4107472.000;54.905;30.321
30.80938;17522	-5686	-4358;-30	-318	74;-24244	8173	-8940;4107472.000;54.905;30.321
30.81388;17525	-5669	-4529;-30	-318	74;-24489	8325	-8889;4107505.000;54.905;30.321
30.81838;17580	-5749	-4544;-24	-320	79;-24782	8302	-8934;4107505.000;54.905;30.321
30.82287;17565	-5718	-4719;-24	-320	79;-25030	8276	-8979;4107505.000;54.905;30.321
30.82737;17476	-5824	-4838;-34	-320	89;-25222	8267	-9024;4107505.000;54.905;30.321
30.83187;17604	-5901	-4909;-34	-320	89;-25338	8183	-9059;4107505.000;54.905;30.321
30.83637;17730	-6116	-4852;-46	-328	91;-25351	8189	-9165;4107505.000;54.905;30.321
30.84086;18001	-6308	-4843;-46	-328	91;-25294	7991	-9353;4107505.000;54.905;30.321
30.84536;18304	-6515	-4856;-55	-328	99;-25146	7891	-9437;4107505.000;54.905;30.321
30.84986;18413	-6733	-4904;-55	-328	99;-24901	7891	-9581;4107526.000;54.905;30.321
30.85436;18613	-6968	-4676;-61	-331	99;-24521	7917	-9837;4107526.000;54.905;30.321
30.85885;18496	-7309	-4811;-61	-331	99;-24100	7881	-9959;4107526.000;54.905;30.321
30.86335;18481	-7514	-4653;-72	-335	105;-23600	7855	-10177;4107526.000;54.905;30.321
30.86785;18284	-7736	-4516;-72	-335	105;-22966	7910	-10558;4107526.000;54.905;30.321
30.87235;18072	-7821	-4424;-76	-339	105;-22387	7771	-10737;4107526.000;54.905;30.321
30.87684;17873	-7927	-4276;-76	-339	105;-21755	7670	-10958;4107526.000;54.905;30.284
30.88134;17544	-8021	-4098;-85	-345	114;-21030	7547	-11211;4107526.000;54.905;30.284
30.88584;17278	-8024	-4002;-87	-349	111;-20401	7333	-11426;4107508.000;54.905;30.284
30.89034;17009	-7917	-3886;-87	-349	111;-19770	7210	-11593;4107508.000;54.905;30.284
30.89483;16707	-7686	-3676;-104	-348	111;-19175	7083	-11823;4107508.000;54.905;30.284
30.89933;16423	-7426	-3649;-104	-348	111;-18654	6937	-11990;4107508.000;54.905;30.284
30.90383;16074	-7147	-3495;-112	-359	113;-18223	6792	-12073;4107508.000;54.905;30.284
30.90833;15781	-6845	-3261;-112	-359	113;-17705	6399	-12130;4107508.000;54.951;30.284
30.91282;15642	-6564	-3138;-118	-359	119;-17343	6091	-12184;4107508.000;54.951;30.284
30.91732;15586	-6520	-3147;-118	-359	119;-16935	5628	-12235;4107508.000;54.951;30.284
30.92182;15690	-6467	-3036;-126	-365	113;-16649	5258	-12239;4107485.000;54.951;30.284
30.92632;15783	-6399	-2894;-126	-365	113;-16423	4879	-12287;4107485.000;54.951;30.284
