Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;13036	-5115	1515;85	-249	-54;-3131	11130	7952;4082987.000;52.946;30.306
0.00850;13028	-4918	1456;85	-249	-54;-2907	11281	7507;4082987.000;52.933;30.306
0.01250;12862	-4835	1459;88	-244	-58;-2749	11104	7419;4082987.000;52.933;30.306
0.01650;12662	-4792	1339;88	-244	-58;-2557	10883	7193;4082987.000;52.933;30.306
0.02050;12524	-4780	1307;92	-245	-54;-2396	10712	6936;4082987.000;52.933;30.306
0.02450;12488	-4710	1211;92	-245	-54;-2214	10430	6600;4082855.000;52.933;30.306
0.02850;12465	-4581	1125;91	-235	-57;-2095	10193	6217;4082855.000;52.933;30.306
0.03250;12364	-4670	1078;91	-235	-57;-1983	9987	5971;4082855.000;52.933;30.306
0.03700;12277	-4579	1072;85	-227	-56;-1893	9775	5541;4082855.000;52.933;30.306
0.04150;12241	-4513	1032;85	-227	-56;-1890	9586	5190;4082855.000;52.933;30.306
0.04600;12167	-4331	1018;94	-232	-56;-1896	9516	4772;4082855.000;52.933;30.306
0.05050;11868	-4204	1130;91	-222	-58;-1890	9275	4453;4082855.000;52.933;30.306
0.05500;11668	-4153	1174;91	-222	-58;-1983	8960	4149;4082855.000;52.933;30.306
0.05950;11491	-4007	1144;97	-214	-57;-2131	8771	3741;4082834.000;52.933;30.306
0.06400;11320	-4006	1143;97	-214	-57;-2249	8540	3254;4082834.000;52.933;30.306
0.06850;11244	-3836	1235;96	-209	-56;-2358	8280	2984;4082834.000;52.933;30.306
0.07300;11042	-3805	1239;96	-209	-56;-2573	7860	2676;4082834.000;52.933;30.306
0.07750;10908	-3904	1116;95	-207	-55;-2737	7517	2230;4082834.000;52.933;30.306
0.08200;10804	-3798	1137;95	-207	-55;-2845	7253	1787;4082834.000;52.933;30.306
0.08650;10747	-3825	1282;94	-208	-53;-3029	6971	1349;4082834.000;52.933;30.306
0.09100;10685	-3903	1210;94	-208	-53;-3154	6663	1032;4082928.000;52.933;30.306
0.09550;10585	-3892	1265;100	-205	-50;-3275	6355	536;4082928.000;52.933;30.306
0.10000;10431	-3842	1335;100	-205	-50;-3359	6028	272;4082928.000;52.933;30.306
0.10450;10286	-3927	1302;102	-196	-51;-3471	5636	-144;4082928.000;52.933;30.325
0.10900;10214	-3953	1274;102	-196	-51;-3558	5286	-772;4082928.000;52.933;30.325
0.11350;10106	-3955	1249;104	-197	-50;-3609	5065	-1152;4082928.000;52.933;30.325
0.11800;9933	-3975	1266;104	-197	-50;-3680	4773	-1657;4082928.000;52.933;30.325
0.12250;9854	-3992	1356;100	-196	-50;-3705	4433	-2040;4082928.000;52.933;30.325
0.12700;9708	-4020	1261;100	-196	-50;-3789	4096	-2498;4082876.000;52.933;30.325
0.13150;9527	-4092	1236;105	-197	-43;-3779	3833	-3001;4082876.000;52.916;30.325
0.13600;9423	-4137	1298;105	-197	-43;-3725	3412	-3641;4082876.000;52.916;30.325
0.14050;9319	-4155	1264;106	-196	-45;-3731	3037	-4115;4082876.000;52.916;30.325
0.14500;9232	-4216	1286;106	-196	-45;-3699	2588	-4620;4082876.000;52.916;30.325
0.14950;9169	-4230	1283;107	-197	-46;-3654	2158	-5163;4082876.000;52.916;30.325
0.15400;9343	-4342	1267;107	-197	-46;-3625	1676	-5663;4082876.000;52.916;30.325
0.15850;9460	-4347	1280;101	-198	-41;-3555	1240	-6269;4082876.000;52.916;30.325
0.16300;9616	-4442	1223;101	-198	-41;-3423	707	-6884;4082990.000;52.916;30.325
0.16750;9758	-4548	1138;105	-198	-43;-3416	325	-7565;4082990.000;52.916;30.325
