Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.27418;-10599	2676	-2454;-431	13	28;-62	-6486	-1437;4108639.000;51.845;30.083
30.27867;-10472	3088	-2079;-431	13	28;303	-5941	-2017;4108639.000;51.845;30.083
30.28317;-10410	3426	-1983;-440	20	28;435	-5487	-2443;4108639.000;51.845;30.083
30.28767;-10452	3677	-1828;-440	20	28;394	-4783	-2943;4108636.000;51.845;30.083
30.29217;-10670	3745	-1515;-439	18	21;365	-3937	-3405;4108636.000;51.845;30.083
30.29666;-10836	3714	-1464;-439	18	21;252	-3276	-3728;4108636.000;51.845;30.083
30.30116;-11090	3482	-1544;-435	19	27;39	-2624	-3984;4108636.000;51.845;30.083
30.30566;-11444	3138	-1725;-435	19	27;-232	-1917	-4228;4108636.000;51.845;30.083
30.31016;-11828	2976	-1859;-433	19	23;-552	-1512	-4339;4108636.000;51.845;30.083
30.31465;-12144	2993	-2097;-433	19	23;-995	-1097	-4425;4108636.000;51.845;30.083
30.31915;-12487	3089	-2365;-436	19	22;-1545	-763	-4563;4108636.000;51.845;30.083
30.32365;-12700	3241	-2695;-436	19	22;-2004	-695	-4499;4108649.000;51.845;30.083
30.32815;-12968	3456	-3024;-430	19	19;-2482	-523	-4365;4108649.000;51.845;30.083
30.33264;-13114	3588	-3153;-430	19	19;-2988	-555	-4336;4108649.000;51.845;30.083
30.33714;-13213	3563	-3246;-439	18	19;-3412	-539	-4157;4108649.000;51.845;30.083
30.34164;-13212	3628	-3305;-439	18	19;-3795	-452	-3977;4108649.000;51.845;30.083
30.34614;-13315	3598	-3518;-430	28	19;-4185	-296	-3795;4108649.000;51.845;30.083
30.35063;-13371	3657	-3737;-430	28	19;-4568	-127	-3554;4108649.000;51.845;30.083
30.35513;-13442	3709	-3904;-427	21	17;-4924	-11	-3343;4108661.000;51.845;30.083
30.35963;-13733	3831	-3998;-427	21	17;-5291	158	-3145;4108661.000;51.845;30.083
30.36413;-13963	3934	-4259;-433	24	19;-5518	249	-3016;4108661.000;51.845;30.083
30.36862;-14214	3836	-4487;-433	24	19;-5709	414	-2773;4108661.000;51.845;30.083
30.37312;-14550	3737	-4575;-428	25	8;-5813	550	-2622;4108661.000;51.845;30.083
30.37762;-14903	3484	-4479;-428	25	8;-5980	573	-2501;4108661.000;51.845;30.083
30.38212;-15286	3038	-4582;-434	22	11;-6005	469	-2347;4108661.000;51.845;30.083
30.38661;-15485	2530	-4426;-434	22	11;-6011	213	-2068;4108661.000;51.845;30.083
30.39111;-15524	2211	-4391;-431	21	12;-5958	-166	-1914;4108669.000;51.845;30.083
30.39561;-15380	1913	-4268;-431	21	12;-5800	-659	-1694;4108669.000;51.798;30.083
30.40011;-14910	1899	-4250;-426	24	7;-5552	-1042	-1294;4108669.000;51.798;30.083
30.40460;-14662	1915	-4164;-426	24	7;-5231	-1090	-916;4108669.000;51.798;30.083
30.40910;-14432	1902	-4059;-428	18	7;-4788	-1091	-605;4108669.000;51.798;30.083
30.41360;-14324	1883	-4134;-428	18	7;-4326	-1035	-361;4108669.000;51.798;30.083
