Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;22358	4109	7396;-223	-365	-2;5401	-7846	9521;4080389.000;56.635;29.465
0.00850;21922	4100	7465;-216	-369	-7;5006	-7795	9288;4080389.000;56.635;29.465
0.01250;21733	4099	7534;-216	-369	-7;4583	-7910	9025;4080389.000;56.635;29.465
0.01650;21531	3805	7555;-209	-373	-1;4301	-8138	8745;4080389.000;56.635;29.465
0.02050;21347	3385	7306;-209	-373	-1;4012	-8170	8526;4080389.000;56.489;29.465
0.02450;20888	2890	7255;-207	-375	7;3595	-7955	8209;4080389.000;56.489;29.465
0.02850;20161	2757	7444;-207	-375	7;2954	-7750	7945;4080389.000;56.489;29.465
0.03250;19238	3092	7727;-208	-377	7;2473	-7448	7422;4080389.000;56.489;29.465
0.03700;18147	3460	8154;-208	-377	7;2081	-7272	7155;4080384.000;56.489;29.465
0.04150;17069	3654	8617;-208	-383	7;1446	-7118	6653;4080384.000;56.489;29.465
0.04600;15977	3817	8948;-208	-383	7;520	-6765	6267;4080384.000;56.489;29.465
0.05050;14517	3802	9350;-210	-384	10;-539	-6434	5670;4080384.000;56.489;29.465
0.05500;13375	3473	9604;-210	-384	10;-1363	-6293	5024;4080384.000;56.489;29.465
0.05950;12416	3031	9883;-205	-385	15;-2331	-6180	4594;4080384.000;56.489;29.465
0.06400;11696	2594	10065;-205	-385	15;-3306	-6046	3850;4080384.000;56.489;29.465
0.06850;11301	2262	10214;-200	-380	15;-4047	-6068	3470;4080384.000;56.489;29.465
0.07300;11175	1914	10289;-200	-380	15;-4849	-5888	2849;4080463.000;56.489;29.465
0.07750;11191	1612	10391;-197	-390	19;-5689	-5760	2557;4080463.000;56.489;29.465
0.08200;11375	1260	10335;-197	-390	19;-6581	-5378	2067;4080463.000;56.489;29.465
0.08650;11489	867	9961;-201	-387	16;-7120	-4971	1637;4080463.000;56.489;29.465
0.09100;11519	757	9569;-198	-391	18;-7793	-4512	1471;4080463.000;56.489;29.465
0.09550;11341	953	9457;-198	-391	18;-8707	-4168	1207;4080463.000;56.489;29.465
0.10000;11430	1278	9219;-194	-394	19;-9474	-4037	861;4080463.000;56.489;29.465
0.10450;11705	1388	9064;-194	-394	19;-10044	-3922	845;4080463.000;56.489;29.465
0.10900;12229	1175	8741;-192	-391	22;-10602	-3649	789;4080514.000;56.489;29.465
0.11350;12627	1048	8759;-192	-391	22;-11000	-3382	616;4080514.000;56.489;29.465
