Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;908	-7196	14901;-10	-272	-130;-173	-96	143;4085429.000;57.032;29.847
0.00850;934	-7626	14818;-10	-272	-130;-369	-51	124;4085429.000;57.032;29.847
0.01250;790	-7858	14871;-11	-264	-121;-536	-93	127;4085429.000;57.032;29.847
0.01650;821	-8089	14675;-11	-264	-121;-568	-257	152;4085429.000;57.032;29.847
0.02050;790	-8242	14655;-10	-270	-123;-600	-244	-21;4085429.000;57.032;29.847
0.02450;808	-8240	14810;-10	-270	-123;-658	-231	-106;4085429.000;57.032;29.847
0.02850;787	-8348	14643;-12	-269	-127;-719	-263	-159;4085525.000;57.032;29.847
0.03250;775	-8439	14599;-12	-269	-127;-728	-301	-165;4085525.000;57.032;29.847
0.03700;903	-8579	14602;-7	-267	-126;-635	-404	-282;4085525.000;57.032;29.847
0.04150;969	-8961	14383;-7	-267	-126;-533	-362	-244;4085525.000;57.032;29.847
0.04600;891	-9502	14414;-10	-274	-126;-305	-353	-297;4085525.000;56.869;29.847
0.05050;1034	-9712	14469;-10	-274	-126;-170	-337	-376;4085525.000;56.869;29.847
0.05500;1181	-9379	14392;-12	-274	-121;-65	-253	-435;4085525.000;56.869;29.847
0.05950;1286	-8911	14502;-12	-274	-121;54	-221	-544;4085525.000;56.869;29.847
0.06400;1398	-8520	14482;-15	-277	-126;160	-192	-500;4085399.000;56.869;29.847
0.06850;1435	-8294	14605;-15	-277	-126;205	-106	-541;4085399.000;56.869;29.847
0.07300;1562	-8148	14676;-9	-272	-120;153	4	-359;4085399.000;56.869;29.847
0.07750;1638	-8365	14759;-9	-272	-120;118	87	-372;4085399.000;56.869;29.847
0.08200;1595	-8735	14746;-10	-269	-122;67	231	-199;4085399.000;56.869;29.847
0.08650;1491	-8835	14912;-10	-269	-122;-7	382	-86;4085399.000;56.869;29.847
0.09100;1317	-8745	14806;-7	-276	-123;-106	427	-93;4085399.000;56.869;29.847
0.09550;1149	-8600	14762;-7	-276	-123;-174	565	-62;4085399.000;56.869;29.847
0.10000;948	-8372	14881;-9	-275	-127;-263	600	-137;4085547.000;56.869;29.847
0.10450;875	-8057	14957;-9	-275	-127;-417	581	-222;4085547.000;56.869;29.847
0.10900;824	-7785	14797;-13	-265	-127;-619	462	-265;4085547.000;56.869;29.847
0.11350;683	-7828	14884;-13	-265	-127;-645	507	-287;4085547.000;56.869;29.847
0.11800;712	-7979	14940;-16	-276	-124;-841	408	-334;4085547.000;56.869;29.847
0.12250;758	-8164	14819;-16	-276	-124;-943	212	-237;4085547.000;56.869;29.847
0.12700;840	-8224	14764;-8	-269	-126;-1036	190	-369;4085547.000;56.869;29.847
