Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.31515;-154	14293	13462;-352	-286	-170;-3539	1308	-1227;4109740.000;54.558;31.018
30.31965;-312	14888	13443;-352	-286	-170;-4793	1340	-1166;4109740.000;54.558;31.018
30.32415;-190	14648	13338;-346	-287	-167;-5990	1353	-1143;4109748.000;54.558;31.018
30.32865;-54	13852	13207;-346	-287	-167;-6842	1333	-936;4109748.000;54.558;31.018
30.33314;-361	11830	14078;-342	-288	-167;-6474	1087	-811;4109748.000;54.558;31.018
30.33764;-1587	8064	16568;-342	-288	-167;-5032	431	-551;4109748.000;54.558;31.018
30.34214;-2290	7265	16308;-349	-288	-172;-3658	801	-916;4109748.000;54.558;31.018
30.34664;-2326	9000	15962;-349	-288	-172;-3118	1239	-1480;4109748.000;54.558;31.018
30.35113;-1582	9691	15582;-345	-288	-173;-3498	334	-1027;4109748.000;54.558;31.018
30.35563;-983	7902	14372;-345	-288	-173;-3841	-580	-89;4109748.000;54.558;31.037
30.36013;-694	6022	13399;-345	-285	-172;-3947	-541	429;4109780.000;54.558;31.037
30.36463;-678	5256	13527;-345	-285	-172;-3388	211	583;4109780.000;54.558;31.037
30.36912;-846	4925	13618;-348	-282	-171;-2301	451	528;4109780.000;54.558;31.037
30.37362;-947	4691	13498;-342	-285	-169;-1298	357	442;4109780.000;54.558;31.037
30.37812;-921	4867	13496;-342	-285	-169;-352	273	224;4109780.000;54.558;31.037
30.38262;-939	5477	13716;-342	-284	-177;333	325	38;4109780.000;54.558;31.037
30.38711;-950	6421	14001;-342	-284	-177;964	315	23;4109780.000;54.495;31.037
30.39161;-964	7148	14570;-348	-288	-173;1549	289	224;4109780.000;54.495;31.037
30.39611;-867	7238	14650;-348	-288	-173;2086	114	419;4109777.000;54.495;31.037
30.40061;-719	6768	14313;-346	-289	-170;2577	3	561;4109777.000;54.495;31.037
30.40510;-724	6280	13864;-346	-289	-170;3259	71	397;4109777.000;54.495;31.037
