Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-4209	12656	9818;-448	-253	-48;2487	2447	-3077;4109921.000;52.350;32.394
0.00850;-5028	13076	9618;-448	-253	-48;2214	861	-1032;4109921.000;52.350;32.394
0.01250;-1495	13695	8023;-444	-249	-49;2267	-12	-1144;4109921.000;52.350;32.394
0.01650;609	14922	8458;-444	-249	-49;3373	1143	-1304;4109921.000;52.350;32.394
0.02050;-1291	15089	8289;-449	-244	-49;3458	2269	-1209;4109921.000;52.350;32.394
0.02450;-4238	13938	9104;-449	-244	-49;2805	1503	-859;4109921.000;52.350;32.394
0.02850;-2244	13834	8645;-447	-250	-43;2613	290	-1217;4109897.000;52.350;32.394
0.03250;-1569	14144	8687;-447	-250	-43;3050	754	-487;4109897.000;52.350;32.394
0.03700;-2836	13193	9522;-444	-249	-47;3839	712	-273;4109897.000;52.350;32.394
0.04150;-1335	13186	9057;-444	-249	-47;4445	141	-645;4109897.000;52.350;32.394
0.04600;-1551	13047	8225;-450	-246	-42;4656	387	-277;4109897.000;52.350;32.394
0.05050;-1527	13242	8300;-450	-246	-42;4715	491	-664;4109897.000;52.350;32.394
0.05500;-1112	13854	8019;-448	-247	-47;4637	663	-792;4109897.000;52.350;32.394
0.05950;-1235	14197	7966;-448	-247	-47;4439	1182	-952;4109897.000;52.350;32.394
0.06400;-1790	14271	8144;-449	-243	-38;4649	1234	-1295;4109874.000;52.350;32.394
0.06850;-1838	14519	7553;-449	-243	-38;4241	1215	-1423;4109874.000;52.350;32.376
0.07300;-1999	14920	7293;-449	-247	-41;3842	1494	-1436;4109874.000;52.350;32.376
0.07750;-2301	15640	6969;-449	-247	-41;3427	1312	-1343;4109874.000;52.350;32.376
0.08200;-2646	16346	6908;-452	-248	-38;2739	1186	-1176;4109874.000;52.350;32.376
0.08650;-3016	16923	6740;-451	-245	-39;1859	919	-850;4109874.000;52.350;32.376
0.09100;-3026	17131	6938;-451	-245	-39;583	361	-532;4109874.000;52.350;32.376
0.09550;-2592	16750	6851;-443	-242	-41;-470	-93	-324;4109874.000;52.350;32.376
0.10000;-2039	15942	7188;-443	-242	-41;-1149	-96	-311;4109895.000;52.442;32.376
0.10450;-1933	14995	7439;-443	-248	-41;-1614	-141	-247;4109895.000;52.442;32.376
0.10900;-2089	14334	7694;-443	-248	-41;-1897	-193	-417;4109895.000;52.442;32.376
0.11350;-1928	14384	7567;-450	-246	-40;-2318	-190	-415;4109895.000;52.442;32.376
0.11800;-1948	14631	7625;-450	-246	-40;-2619	-41	-491;4109895.000;52.442;32.376
0.12250;-2173	14584	8037;-449	-245	-37;-2798	24	-555;4109895.000;52.442;32.376
0.12700;-2104	14194	8199;-449	-245	-37;-2698	-122	-442;4109895.000;52.442;32.376
0.13150;-2081	13742	8459;-452	-246	-40;-2579	-50	-433;4109895.000;52.442;32.376
0.13600;-2069	13391	8468;-452	-246	-40;-2233	34	-484;4109927.000;52.442;32.376
0.14050;-2203	13446	8537;-450	-245	-44;-1984	17	-331;4109927.000;52.442;32.376
0.14500;-2285	13533	8542;-450	-245	-44;-1787	-73	-162;4109927.000;52.442;32.376
0.14950;-2218	13699	8507;-449	-245	-41;-1689	-63	-40;4109927.000;52.442;32.376
0.15400;-2177	13655	8502;-449	-245	-41;-1450	-41	18;4109927.000;52.442;32.376
0.15850;-1797	13984	8312;-446	-240	-41;-1346	-18	-56;4109927.000;52.442;32.376
0.16300;-1846	14085	8341;-446	-240	-41;-1211	238	-158;4109927.000;52.442;32.376
0.16750;-2893	13223	8151;-448	-242	-42;-1061	102	565;4109938.000;52.442;32.376
0.17200;-2438	13344	8599;-448	-242	-42;-1089	-122	95;4109938.000;52.442;32.376
0.17650;-1475	13529	8415;-447	-243	-41;-834	-203	150;4109938.000;52.442;32.376
0.18100;-1692	13719	8474;-447	-243	-41;-668	157	22;4109938.000;52.442;32.376
0.18550;-1888	14052	8149;-446	-244	-46;-731	229	9;4109938.000;52.442;32.376
0.19000;-2084	14314	8393;-446	-244	-46;-721	319	-55;4109938.000;52.442;32.376
0.19450;-2143	14247	8338;-451	-245	-45;-901	160	-94;4109938.000;52.442;32.358
0.19900;-2155	14375	8152;-451	-245	-45;-963	57	28;4109938.000;52.442;32.358
0.20350;-2027	14580	7998;-448	-248	-43;-1117	105	25;4109916.000;52.442;32.358
0.20800;-1865	14701	8013;-448	-248	-43;-1416	105	-177;4109916.000;52.442;32.358
0.21250;-1800	14646	8192;-448	-241	-45;-1548	99	-359;4109916.000;52.442;32.358
0.21700;-1628	14517	8061;-448	-241	-45;-1718	186	-634;4109916.000;52.442;32.358
0.22150;-1529	14619	7723;-446	-242	-49;-2239	274	-865;4109916.000;52.442;32.358
0.22600;-1703	14944	7810;-446	-242	-49;-2654	517	-1057;4109916.000;52.300;32.358
0.23050;-2072	15192	7915;-442	-245	-47;-3185	504	-1140;4109916.000;52.300;32.358
0.23500;-2240	15385	7803;-442	-245	-47;-3952	488	-1156;4109916.000;52.300;32.358
0.23950;-2158	15568	7540;-447	-241	-44;-4741	530	-1204;4109909.000;52.300;32.358
0.24400;-2105	15658	7494;-447	-241	-44;-5529	598	-1211;4109909.000;52.300;32.358
0.24850;-2228	16266	7397;-451	-244	-48;-6569	683	-1090;4109909.000;52.300;32.358
0.25300;-3862	17702	7984;-451	-244	-48;-7409	69	168;4109909.000;52.300;32.358
0.25750;-6820	16065	8728;-446	-247	-47;-7754	-1806	1766;4109909.000;52.300;32.358
0.26200;-2180	15816	8436;-446	-247	-47;-8392	-3139	1242;4109909.000;52.300;32.358
0.26650;-47	14501	8147;-447	-242	-57;-8939	-2292	1020;4109909.000;52.300;32.358
0.27100;-111	13173	8295;-447	-242	-57;-8858	-1322	957;4109909.000;52.300;32.358
0.27550;-1958	12609	8925;-453	-249	-55;-8892	-875	1021;4109897.000;52.300;32.358
0.28000;-2975	12671	9448;-453	-249	-55;-8945	-1021	1007;4109897.000;52.300;32.358
0.28450;-2737	12700	10879;-445	-248	-57;-8581	-1098	693;4109897.000;52.300;32.358
0.28900;-1301	12058	10366;-445	-248	-57;-7701	-1351	485;4109897.000;52.300;32.358
0.29350;-990	10985	10128;-450	-250	-60;-6337	-940	363;4109897.000;52.300;32.358
0.29800;-1357	10246	10350;-450	-250	-60;-5030	-790	108;4109897.000;52.300;32.358
0.30250;-1810	10098	10473;-443	-244	-64;-4357	-547	134;4109897.000;52.300;32.358
