Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.37162;1720	6931	14117;-413	-296	-105;177	-5834	-3906;4109849.000;47.949;33.734
30.37612;1809	6625	14191;-415	-292	-105;812	-5948	-3842;4109849.000;47.949;33.734
30.38062;1858	7625	14761;-415	-292	-105;1460	-5730	-3986;4109849.000;47.949;33.734
30.38511;1969	8800	14874;-410	-303	-101;2104	-5873	-3826;4109849.000;47.949;33.734
30.38961;2542	10099	14898;-410	-303	-101;2551	-5990	-3496;4109849.000;47.949;33.734
30.39411;3460	11032	14738;-412	-296	-104;2349	-5860	-3054;4109849.000;47.949;33.734
30.39861;3917	11286	15119;-412	-296	-104;2070	-5688	-2533;4109849.000;47.949;33.734
30.40310;4401	11016	13759;-409	-292	-100;1557	-5016	-1954;4109814.000;47.949;33.734
30.40760;4356	10756	13759;-409	-292	-100;1545	-4445	-1791;4109814.000;47.949;33.734
30.41210;4283	10614	12880;-414	-294	-104;1457	-4069	-1525;4109814.000;47.949;33.734
30.41660;4196	10740	11673;-414	-294	-104;1293	-3426	-1387;4109814.000;47.949;33.734
30.42109;4034	11080	10976;-420	-296	-97;978	-2974	-1364;4109814.000;47.949;33.734
30.42559;3870	11605	9687;-420	-296	-97;639	-2569	-1246;4109814.000;47.949;33.734
30.43009;3959	12270	9088;-416	-296	-97;57	-2192	-695;4109814.000;47.949;33.734
30.43459;4493	13151	8224;-416	-296	-97;-676	-1965	-103;4109814.000;47.949;33.734
30.43909;4678	13812	8206;-414	-301	-90;-1524	-1731	528;4109795.000;47.949;33.734
30.44358;4980	14253	9052;-414	-301	-90;-2864	-1423	829;4109795.000;47.949;33.734
30.44808;5181	14051	10090;-415	-292	-93;-4414	-894	630;4109795.000;47.949;33.734
30.45258;5106	13418	11164;-415	-292	-93;-5738	-394	456;4109795.000;47.949;33.734
30.45708;4629	12718	11528;-413	-292	-97;-6751	298	639;4109795.000;47.949;33.734
30.46157;3767	12255	12196;-413	-292	-97;-7395	703	757;4109795.000;47.949;33.734
30.46607;3103	11613	12437;-420	-301	-97;-7986	915	1036;4109795.000;47.949;33.734
30.47057;2599	10676	12222;-420	-301	-97;-8502	1096	1269;4109812.000;47.949;33.752
30.47507;2036	10123	13779;-413	-297	-101;-8754	1025	1474;4109812.000;47.949;33.752
30.47956;1467	9944	14520;-413	-297	-101;-9078	1051	1586;4109812.000;47.949;33.752
30.48406;1076	9992	14067;-410	-302	-109;-9621	1070	1525;4109812.000;47.949;33.752
30.48856;1396	9357	13577;-410	-302	-109;-9770	1022	1661;4109812.000;47.949;33.752
30.49306;1786	7867	13123;-409	-292	-102;-9710	947	1965;4109812.000;47.949;33.752
30.49755;2256	6007	12346;-408	-292	-109;-9295	1200	2090;4109812.000;47.963;33.752
30.50205;2334	4754	12192;-408	-292	-109;-8773	1359	1884;4109812.000;47.963;33.752
30.50655;2074	3894	12363;-406	-298	-112;-7744	1573	1637;4109831.000;47.963;33.752
30.51105;1639	3336	12040;-406	-298	-112;-6178	1888	1471;4109831.000;47.963;33.752
30.51554;851	3338	12633;-406	-298	-108;-4795	2080	1010;4109831.000;47.963;33.752
30.52004;218	4016	13600;-406	-298	-108;-3943	2035	656;4109831.000;47.963;33.752
30.52454;152	4931	13515;-406	-298	-108;-3091	1350	668;4109831.000;47.963;33.752
30.52904;716	5715	13507;-406	-298	-108;-2594	768	941;4109831.000;47.963;33.752
30.53353;1421	6288	13724;-404	-302	-114;-2116	642	1088;4109831.000;47.963;33.752
30.53803;1764	6715	14461;-404	-302	-114;-1877	875	1078;4109831.000;47.963;33.752
30.54253;1829	7008	15041;-405	-298	-118;-1679	1161	739;4109830.000;47.963;33.752
30.54703;1715	7118	15799;-405	-298	-118;-1368	1340	601;4109830.000;47.963;33.752
30.55152;1342	6833	16201;-404	-300	-120;-773	1401	512;4109830.000;47.963;33.752
30.55602;978	6692	16438;-404	-300	-120;-399	1395	150;4109830.000;47.963;33.752
30.56052;973	6803	16481;-404	-298	-113;-179	1223	-257;4109830.000;47.963;33.752
30.56502;1095	7021	16539;-404	-298	-113;-219	1006	-321;4109830.000;47.963;33.752
30.56951;1484	7033	16043;-400	-299	-120;-528	840	-298;4109830.000;47.963;33.752
30.57401;1900	7046	15133;-400	-299	-120;-955	726	-141;4109830.000;47.963;33.752
30.57851;2237	7123	14367;-402	-297	-116;-1141	746	-39;4109856.000;47.963;33.752
30.58301;2436	7220	14180;-402	-297	-116;-1172	668	153;4109856.000;47.963;33.752
30.58750;2651	7033	14378;-408	-301	-117;-993	778	118;4109856.000;47.963;33.752
30.59200;2647	6683	14443;-408	-301	-117;-773	963	-33;4109856.000;47.963;33.752
30.59650;2616	6659	14520;-403	-300	-119;-553	931	-311;4109856.000;47.963;33.734
30.60100;2613	6724	14801;-403	-300	-119;-399	937	-548;4109856.000;47.963;33.734
30.60549;2643	7158	15191;-405	-304	-121;-509	993	-714;4109856.000;47.963;33.734
30.60999;2645	7612	15560;-405	-304	-121;-667	1074	-618;4109856.000;47.963;33.734
30.61449;2586	7909	15822;-404	-299	-117;-811	1122	-490;4109849.000;47.963;33.734
30.61899;2402	8634	16240;-404	-299	-117;-1276	1184	-426;4109849.000;47.963;33.734
30.62348;2398	9045	16301;-395	-300	-115;-1673	1320	-353;4109849.000;47.963;33.734
30.62798;2216	8881	16237;-395	-300	-115;-2150	1508	-215;4109849.000;48.042;33.734
30.63248;2022	8548	15893;-399	-296	-116;-2720	1629	-391;4109849.000;48.042;33.734
30.63698;2130	8219	14987;-399	-296	-116;-3267	1694	-481;4109849.000;48.042;33.734
30.64147;2044	7980	14348;-404	-303	-118;-3723	1811	-308;4109849.000;48.042;33.734
30.64597;1881	7531	13467;-404	-303	-118;-4003	1921	-90;4109852.000;48.042;33.734
30.65047;1632	7243	13344;-405	-294	-120;-4022	1976	3;4109852.000;48.042;33.734
30.65497;1829	6264	11121;-405	-294	-120;-3798	1921	182;4109852.000;48.042;33.734
30.65946;1983	4011	13037;-402	-297	-123;-2286	1892	198;4109852.000;48.042;33.734
30.66396;1095	1581	18295;-402	-297	-123;-201	1515	569;4109852.000;48.042;33.734
30.66846;-587	950	17684;-400	-302	-121;2425	1158	-17;4109852.000;48.042;33.734
30.67296;-1595	4648	17714;-400	-302	-121;3286	174	-1428;4109852.000;48.042;33.734
30.67745;-531	9704	16499;-398	-296	-127;2343	-848	-2184;4109852.000;48.042;33.734
30.68195;1603	12922	14874;-398	-296	-127;570	-1436	-1425;4109844.000;48.042;33.734
30.68645;3100	12365	13275;-400	-298	-121;-1147	-1108	-484;4109844.000;48.042;33.734
30.69095;3628	9473	13265;-400	-298	-121;-2512	-147	35;4109844.000;48.042;33.734
30.69544;3522	6325	14062;-399	-298	-124;-3326	564	-193;4109844.000;48.042;33.734
30.69994;2832	3910	14193;-399	-298	-124;-3204	1099	-817;4109844.000;48.042;33.734
30.70444;1827	3381	14593;-405	-295	-125;-2496	1285	-1540;4109844.000;48.042;33.734
30.70894;752	4000	14913;-405	-295	-125;-1626	1268	-2049;4109844.000;48.042;33.734
30.71343;268	5053	15242;-400	-290	-129;-949	898	-1982;4109844.000;48.042;33.734
30.71793;355	5959	15025;-400	-290	-129;-358	551	-1377;4109838.000;48.042;33.734
30.72243;641	6816	15547;-395	-299	-127;507	444	-670;4109838.000;48.042;33.771
30.72693;700	7489	16024;-395	-299	-127;1016	583	-61;4109838.000;48.042;33.771
30.73142;736	8257	16676;-395	-295	-127;1142	837	224;4109838.000;48.042;33.771
