Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-2184	7337	14087;-338	-14	-223;19	-172	-208;4108747.000;56.010;29.514
0.00850;-1964	7248	13629;-339	-18	-225;186	-7	-393;4108747.000;56.010;29.514
0.01250;-2081	7716	13417;-339	-18	-225;359	216	-221;4108747.000;56.010;29.514
0.01650;-2259	7785	13294;-337	-15	-226;425	242	-259;4108747.000;56.010;29.514
0.02050;-2314	8047	13350;-337	-15	-226;249	275	-474;4108747.000;56.010;29.514
0.02450;-2293	8139	13358;-335	-19	-224;183	249	-378;4108747.000;56.010;29.514
0.02850;-2203	8120	13280;-335	-19	-224;130	242	-323;4108747.000;56.010;29.514
0.03250;-2296	8178	13633;-334	-14	-225;32	259	-387;4108753.000;56.010;29.514
0.03700;-1989	8125	13758;-334	-14	-225;-15	97	-425;4108753.000;56.010;29.514
0.04150;-2364	8192	14209;-334	-17	-227;-22	-201	-9;4108753.000;56.010;29.514
0.04600;-1169	8677	14027;-334	-17	-227;-59	-179	-278;4108753.000;56.010;29.514
0.05050;-1524	8765	14246;-333	-10	-221;-172	-78	206;4108753.000;56.010;29.514
0.05500;-1783	8441	14196;-333	-10	-221;-248	-231	301;4108753.000;56.010;29.514
0.05950;-1784	8270	14514;-336	-15	-225;-352	19	36;4108753.000;56.010;29.514
0.06400;-1676	7930	14592;-336	-15	-225;-383	-49	221;4108757.000;56.010;29.514
0.06850;-1926	7554	14447;-333	-14	-220;-314	3	404;4108757.000;56.010;29.514
0.07300;-2707	8293	14618;-333	-14	-220;-370	-72	125;4108757.000;56.010;29.514
0.07750;-143	6930	14134;-334	-14	-215;-191	-254	-391;4108757.000;56.010;29.514
0.08200;-2963	7500	14047;-334	-14	-215;-59	2005	827;4108757.000;56.010;29.514
0.08650;-4938	5991	14864;-336	-13	-226;924	1104	-54;4108757.000;55.961;29.514
0.09100;-4074	9252	16159;-336	-13	-226;918	803	-51;4108757.000;55.961;29.514
0.09550;-4166	10139	16201;-330	-13	-234;-72	485	462;4108757.000;55.961;29.514
0.10000;-5129	7924	16168;-330	-13	-234;-1102	242	221;4108746.000;55.961;29.514
0.10450;-5756	5949	15547;-334	-12	-226;-1165	152	39;4108746.000;55.961;29.514
0.10900;-6038	4860	15365;-334	-12	-226;-618	-49	-157;4108746.000;55.961;29.514
0.11350;-6511	5286	15933;-331	-19	-225;48	-525	-154;4108746.000;55.961;29.514
0.11800;-6230	5433	15974;-331	-19	-225;840	-642	-160;4108746.000;55.961;29.514
0.12250;-5798	5136	15836;-335	-11	-224;1672	-782	-349;4108746.000;55.961;29.514
0.12700;-5317	5479	15684;-331	-20	-222;2364	-879	-668;4108746.000;55.961;29.514
0.13150;-4911	6448	15335;-331	-20	-222;2788	-956	-841;4108746.000;55.961;29.514
0.13600;-4697	6926	15204;-338	-14	-226;2958	-1131	-874;4108752.000;55.961;29.514
0.14050;-4661	7363	15175;-338	-14	-226;2892	-1115	-893;4108752.000;55.961;29.514
0.14500;-4752	7568	15199;-336	-16	-227;2807	-1323	-1043;4108752.000;55.961;29.514
0.14950;-4549	7863	15246;-336	-16	-227;2618	-1469	-1222;4108752.000;55.961;29.514
0.15400;-4407	7938	15476;-340	-19	-224;2304	-1601	-1498;4108752.000;55.961;29.514
0.15850;-4390	8129	15613;-340	-19	-224;2040	-1634	-1732;4108752.000;55.961;29.514
0.16300;-4376	8243	15708;-339	-19	-230;1361	-1838	-2018;4108752.000;55.961;29.514
0.16750;-4065	6727	15319;-339	-19	-230;742	-2052	-2456;4108752.000;55.961;29.514
0.17200;-4618	6374	16111;-339	-15	-227;321	-2058	-2841;4108799.000;55.961;29.514
0.17650;-4544	6821	16888;-339	-15	-227;374	-2651	-2677;4108799.000;55.961;29.514
0.18100;-4097	6326	16773;-343	-15	-231;899	-2865	-2645;4108799.000;55.961;29.532
0.18550;-3846	6548	16798;-343	-15	-231;1295	-3215	-3023;4108799.000;55.961;29.532
0.19000;-3527	7185	16782;-334	-19	-227;1572	-3289	-3256;4108799.000;55.961;29.532
0.19450;-3467	7430	16770;-334	-19	-227;1867	-3568	-3240;4108799.000;55.961;29.532
0.19900;-3402	7585	16549;-338	-19	-227;2169	-3711	-3231;4108799.000;55.961;29.532
0.20350;-3231	7903	16211;-338	-19	-227;2521	-3847	-3176;4108799.000;55.961;29.532
0.20800;-3132	8302	15877;-345	-19	-230;2889	-3918	-3042;4108783.000;55.961;29.532
0.21250;-3030	8645	15631;-345	-19	-230;3096	-3863	-3033;4108783.000;55.968;29.532
0.21700;-2819	9016	15198;-340	-15	-228;3250	-3853	-2969;4108783.000;55.968;29.532
0.22150;-2778	9294	14703;-340	-15	-228;3382	-3740	-2646;4108783.000;55.968;29.532
0.22600;-2554	9592	14107;-335	-16	-232;3319	-3558	-2514;4108783.000;55.968;29.532
0.23050;-2413	10059	13643;-335	-16	-232;3058	-3445	-2377;4108783.000;55.968;29.532
0.23500;-2262	10569	13106;-344	-17	-230;2722	-3111	-2136;4108783.000;55.968;29.532
0.23950;-2150	10726	13010;-344	-17	-230;2288	-2946	-2021;4108803.000;55.968;29.532
0.24400;-1916	10726	12816;-345	-15	-226;1669	-2657	-1956;4108803.000;55.968;29.532
0.24850;-1724	10530	12840;-345	-15	-226;1251	-2502	-1751;4108803.000;55.968;29.532
0.25300;-1537	10426	12654;-351	-19	-228;1009	-2246	-1629;4108803.000;55.968;29.532
0.25750;-1449	10524	12503;-351	-19	-228;692	-1799	-1517;4108803.000;55.968;29.532
0.26200;-1314	10841	12307;-350	-21	-234;526	-1436	-1355;4108803.000;55.968;29.532
0.26650;-1206	10940	12071;-350	-21	-234;199	-1274	-1114;4108803.000;55.968;29.532
0.27100;-918	10835	11945;-343	-15	-228;-226	-911	-1179;4108803.000;55.968;29.532
0.27550;-728	10171	11905;-343	-15	-228;-606	-710	-1153;4108787.000;55.968;29.532
0.28000;-606	9549	11847;-345	-19	-236;-908	-318	-1150;4108787.000;55.968;29.532
0.28450;-741	9159	11982;-345	-19	-236;-1105	41	-1150;4108787.000;55.968;29.532
0.28900;-769	8992	11875;-341	-15	-230;-1410	330	-1079;4108787.000;55.968;29.532
0.29350;-845	8749	11844;-341	-15	-230;-1671	683	-951;4108787.000;55.968;29.532
0.29800;-857	8345	11598;-341	-18	-233;-1985	884	-967;4108787.000;55.968;29.532
0.30250;-1072	7971	11530;-341	-18	-233;-2152	1188	-884;4108787.000;55.968;29.532
0.30700;-1322	7550	11691;-343	-16	-236;-2115	1383	-849;4108787.000;55.968;29.514
0.31150;-1244	6918	11916;-343	-16	-236;-1894	1901	-1022;4108775.000;55.968;29.514
0.31600;-1263	6439	11822;-338	-10	-229;-1426	2342	-1105;4108775.000;55.968;29.514
0.32050;-1099	5972	11638;-338	-10	-229;-785	2741	-1179;4108775.000;55.968;29.514
0.32500;-892	5726	11465;-341	-12	-236;-59	3100	-1512;4108775.000;55.968;29.514
0.32950;-716	5728	11347;-341	-12	-236;720	3463	-1781;4108775.000;55.968;29.514
0.33400;-539	5962	11383;-338	-16	-238;1468	3629	-1960;4108775.000;55.968;29.514
0.33850;332	6320	11678;-342	-10	-225;2137	3508	-1819;4108775.000;55.968;29.514
0.34300;1474	6577	12125;-342	-10	-225;2772	3437	-1415;4108775.000;55.968;29.514
0.34750;2167	7018	12340;-344	-10	-229;3288	3269	-868;4108762.000;55.968;29.514
