Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.34464;-1532	8925	14557;-395	-288	-125;479	226	-18;4109819.000;47.071;33.569
30.34913;-1898	9610	14905;-393	-283	-133;101	330	-217;4109819.000;47.104;33.569
30.35363;-2101	10047	15071;-393	-283	-133;-276	346	-338;4109819.000;47.104;33.569
30.35813;-2139	10096	15334;-395	-287	-124;-584	281	-223;4109819.000;47.104;33.569
30.36263;-2238	9819	15507;-395	-287	-124;-770	48	-85;4109819.000;47.104;33.569
30.36712;-2155	9079	15439;-396	-283	-131;-911	-245	20;4109819.000;47.104;33.569
30.37162;-2043	8405	15421;-396	-283	-131;-980	-277	30;4109819.000;47.104;33.569
30.37612;-1777	7839	15278;-394	-282	-132;-1031	-384	4;4109832.000;47.104;33.569
30.38062;-1404	7494	15167;-394	-282	-132;-1005	-540	142;4109832.000;47.104;33.569
30.38511;-1006	7711	14803;-390	-288	-130;-886	-615	391;4109832.000;47.104;33.569
30.38961;-713	8143	14947;-390	-288	-130;-547	-793	673;4109832.000;47.104;33.569
30.39411;-389	8287	14650;-394	-287	-129;-125	-864	859;4109832.000;47.104;33.569
30.39861;-159	7877	14243;-394	-287	-129;331	-1001	779;4109832.000;47.104;33.569
30.40310;254	7218	13589;-395	-287	-132;649	-527	529;4109832.000;47.104;33.569
30.40760;504	6887	13214;-395	-287	-132;900	-420	459;4109832.000;47.104;33.569
30.41210;766	6653	12539;-392	-284	-131;1180	-232	509;4109857.000;47.104;33.569
30.41660;1002	7129	12702;-392	-284	-131;1469	83	445;4109857.000;47.104;33.569
30.42109;1033	7793	12944;-393	-289	-125;1601	311	602;4109857.000;47.104;33.569
30.42559;1116	8497	12988;-385	-288	-124;1702	366	602;4109857.000;47.104;33.569
30.43009;1257	9146	13210;-385	-288	-124;1557	567	481;4109857.000;47.104;33.569
30.43459;1281	9497	13332;-396	-291	-130;1296	707	449;4109857.000;47.104;33.569
30.43909;1291	9682	13741;-396	-291	-130;963	664	500;4109857.000;47.104;33.569
30.44358;1457	9550	13809;-387	-288	-124;737	632	446;4109857.000;47.104;33.569
30.44808;1712	9091	13811;-387	-288	-124;529	720	263;4109884.000;47.104;33.550
30.45258;1842	8641	13690;-397	-280	-124;284	866	-38;4109884.000;47.104;33.550
30.45708;1823	8537	13809;-397	-280	-124;111	1187	-255;4109884.000;47.104;33.550
30.46157;1317	8610	13810;-389	-286	-131;61	1336	-470;4109884.000;47.104;33.550
30.46607;707	8711	14119;-389	-286	-131;20	1408	-543;4109884.000;47.104;33.550
30.47057;54	8785	14342;-389	-284	-128;29	1434	-598;4109884.000;47.104;33.550
30.47507;-465	8896	14506;-389	-284	-128;-2	1398	-707;4109884.000;47.104;33.550
30.47956;-743	8969	14404;-392	-286	-130;-25	1323	-758;4109847.000;47.180;33.550
30.48406;-1003	9031	14664;-392	-286	-130;-235	1148	-639;4109847.000;47.180;33.550
30.48856;-1142	8979	15016;-388	-282	-124;-540	927	-626;4109847.000;47.180;33.550
