Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.36862;555	12574	12118;-325	-270	-222;-1847	-411	104;4109741.000;46.979;33.257
30.37312;622	12726	12290;-325	-270	-222;-1983	-258	226;4109741.000;46.979;33.257
30.37762;851	12659	11691;-315	-259	-220;-1960	-226	108;4109741.000;46.979;33.257
30.38212;1066	12332	11107;-315	-259	-220;-2055	-155	104;4109741.000;46.979;33.257
30.38661;920	11718	10781;-322	-266	-226;-1866	99	-40;4109741.000;46.979;33.257
30.39111;475	11033	10016;-322	-266	-226;-1388	144	-338;4109741.000;46.979;33.257
30.39561;708	11551	11017;-329	-266	-223;-1042	281	-460;4109741.000;46.979;33.257
30.40011;586	12332	11379;-329	-266	-223;-929	335	-233;4109745.000;46.979;33.257
30.40460;399	12038	11466;-325	-269	-218;-637	400	-255;4109745.000;46.979;33.257
30.40910;434	11388	11798;-325	-269	-218;-401	329	-377;4109745.000;46.979;33.257
30.41360;531	11278	11765;-316	-264	-225;-193	488	-396;4109745.000;46.979;33.257
30.41810;340	12020	11818;-316	-264	-225;-30	595	-306;4109745.000;46.979;33.257
30.42259;422	12616	11118;-319	-268	-222;237	550	-424;4109745.000;46.979;33.257
30.42709;331	13129	10759;-319	-268	-222;253	751	-437;4109745.000;46.979;33.257
30.43159;278	13370	10373;-320	-263	-225;111	670	-328;4109745.000;46.979;33.257
30.43609;263	13415	9935;-320	-263	-225;-96	722	-280;4109767.000;46.979;33.257
30.44058;197	13498	9834;-322	-264	-221;-234	826	-162;4109767.000;46.979;33.257
30.44508;224	13525	10085;-322	-264	-221;-392	920	-217;4109767.000;46.979;33.257
30.44958;290	13496	9651;-314	-268	-228;-700	767	-271;4109767.000;46.979;33.257
30.45408;298	13201	9401;-314	-268	-228;-847	679	-277;4109767.000;46.979;33.257
30.45857;305	12815	8792;-319	-271	-225;-848	641	-265;4109767.000;46.979;33.294
30.46307;148	12333	8734;-319	-271	-225;-807	514	-169;4109767.000;46.979;33.294
30.46757;316	11829	8633;-317	-267	-221;-728	271	-165;4109778.000;46.979;33.294
30.47207;719	11823	8890;-317	-267	-221;-587	160	-136;4109778.000;46.979;33.294
30.47656;1083	12329	9037;-324	-263	-229;-307	147	8;4109778.000;46.979;33.294
30.48106;881	12964	9069;-324	-263	-229;-83	60	-101;4109778.000;46.979;33.294
30.48556;672	13326	10549;-311	-260	-228;74	134	-114;4109778.000;46.979;33.294
30.49006;15	12517	10985;-317	-266	-224;168	-48	-274;4109778.000;46.877;33.294
30.49455;-134	11987	11204;-317	-266	-224;300	-129	-569;4109778.000;46.877;33.294
30.49905;-136	12435	11355;-321	-267	-224;319	-184	-552;4109778.000;46.877;33.294
30.50355;-363	13073	12155;-321	-267	-224;545	-83	-527;4109751.000;46.877;33.294
30.50805;-356	13838	12262;-320	-267	-226;410	-259	-578;4109751.000;46.877;33.294
30.51254;-188	13473	12018;-320	-267	-226;341	-323	-639;4109751.000;46.877;33.294
30.51704;166	12780	11090;-315	-260	-224;363	-138	-633;4109751.000;46.877;33.294
30.52154;448	12585	11213;-315	-260	-224;741	287	-396;4109751.000;46.877;33.294
30.52604;494	12830	11976;-315	-264	-225;800	433	-181;4109751.000;46.877;33.294
30.53053;136	12871	12138;-315	-264	-225;741	595	-239;4109751.000;46.877;33.294
30.53503;-253	12559	11717;-319	-261	-221;825	832	-175;4109751.000;46.877;33.294
30.53953;-1112	12601	10621;-319	-261	-221;813	676	-492;4109726.000;46.877;33.294
30.54403;-592	13250	10294;-321	-267	-229;652	540	-668;4109726.000;46.877;33.294
30.54852;6	13907	9621;-321	-267	-229;511	407	-341;4109726.000;46.877;33.294
30.55302;-68	13862	9108;-324	-268	-225;303	423	-226;4109726.000;46.877;33.294
30.55752;-97	13365	8291;-324	-268	-225;-14	329	-514;4109726.000;46.877;33.294
30.56202;57	13428	8658;-317	-265	-226;-426	465	-325;4109726.000;46.877;33.294
30.56651;360	13954	9239;-317	-265	-226;-722	271	-72;4109726.000;46.877;33.294
30.57101;383	14127	9714;-316	-264	-230;-926	287	-319;4109726.000;46.877;33.294
30.57551;414	13406	9989;-316	-264	-230;-1033	193	-418;4109724.000;46.877;33.294
30.58001;858	12684	9955;-325	-269	-228;-1027	151	-332;4109724.000;46.877;33.294
30.58451;885	12623	9998;-325	-269	-228;-885	271	-421;4109724.000;46.877;33.294
30.58900;308	12547	10272;-315	-265	-226;-788	241	-322;4109724.000;46.877;33.275
30.59350;140	11479	9702;-315	-265	-226;-524	141	-309;4109724.000;46.877;33.275
30.59800;40	10381	9244;-322	-264	-218;-241	-28	-245;4109724.000;46.877;33.275
30.60250;-106	10481	9080;-322	-264	-218;-11	-164	17;4109724.000;46.877;33.275
30.60699;68	11489	9510;-313	-261	-223;140	-223	82;4109724.000;46.877;33.275
30.61149;631	12756	10002;-313	-261	-223;266	-252	63;4109706.000;46.877;33.275
30.61599;776	13301	10725;-315	-259	-229;391	-252	56;4109706.000;46.969;33.275
30.62049;466	12970	11422;-315	-259	-229;700	-404	239;4109706.000;46.969;33.275
30.62498;548	12365	10920;-321	-268	-228;187	-502	88;4109706.000;46.969;33.275
30.62948;278	11505	10697;-321	-268	-228;109	-476	-104;4109706.000;46.969;33.275
30.63398;363	10789	10683;-320	-269	-229;278	-482	-313;4109706.000;46.969;33.275
30.63848;604	12024	11010;-320	-269	-229;109	-498	-399;4109706.000;46.969;33.275
30.64297;310	13692	10995;-314	-272	-228;-171	-525	-399;4109719.000;46.969;33.275
30.64747;64	14410	11023;-314	-272	-228;-228	-538	-453;4109719.000;46.969;33.275
30.65197;65	14424	11080;-315	-267	-220;-700	-531	-447;4109719.000;46.969;33.275
30.65647;245	13449	10425;-315	-267	-220;-810	-570	-460;4109719.000;46.969;33.275
30.66096;560	13037	10818;-324	-267	-226;-747	-622	-406;4109719.000;46.969;33.275
30.66546;536	12589	10269;-324	-267	-226;-429	-372	-265;4109719.000;46.969;33.275
30.66996;412	12521	10447;-327	-264	-225;-583	-463	-204;4109719.000;46.969;33.275
30.67446;265	13663	11719;-327	-264	-225;-684	-317	-95;4109719.000;46.969;33.275
30.67895;44	13901	11636;-320	-268	-225;-1002	-165	-2;4109736.000;46.969;33.275
30.68345;80	12906	11213;-320	-268	-225;-1083	-51	-63;4109736.000;46.969;33.275
30.68795;478	11597	11364;-314	-264	-225;-1033	199	81;4109736.000;46.969;33.275
30.69245;363	11205	11660;-314	-264	-225;-747	469	187;4109736.000;46.969;33.275
30.69694;280	11938	11779;-316	-264	-225;-533	589	184;4109736.000;46.969;33.275
30.70144;-158	12964	11736;-316	-264	-225;-502	842	-82;4109736.000;46.969;33.275
30.70594;85	13214	11259;-313	-262	-225;-722	638	-389;4109736.000;46.969;33.275
30.71044;467	12535	11008;-313	-262	-225;-706	712	-328;4109736.000;46.969;33.275
30.71493;744	12200	10444;-317	-269	-228;-599	787	-274;4109736.000;46.969;33.257
30.71943;520	12571	10594;-317	-269	-228;-344	995	-409;4109736.000;46.969;33.257
30.72393;243	12616	10865;-314	-266	-231;-159	1004	-492;4109736.000;46.969;33.257
30.72843;-63	12947	10742;-314	-266	-231;-55	813	-610;4109736.000;46.969;33.257
30.73292;-518	13645	8775;-320	-262	-224;-326	676	-636;4109736.000;46.969;33.257
30.73742;-605	14339	7910;-313	-264	-224;-404	462	-559;4109736.000;46.969;33.257
